f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,class
2197.6,1087.9,3313.0,4399.6,128.63,5513.6,2030.3,0.041251,0.036246,0.03085,0.049392,0.11803,0.041119,0.43233,0.018839,0.016873,0.041682,1.0758,0.11049,0.017889,0.01817,0.33114,0.062962,0.034299,0.019261,0.01378,0.015361,0.018333,0.03903,0.20627,1.2147,0.47332,0.11087,3
684.13,1339.3,132.85,1985.6,809.04,2669.6,930.0,0.2679,0.54509,0.39861,0.31674,0.1824,0.58227,0.28091,0.18061,0.27803,0.17035,0.074542,0.11196,0.26937,0.65808,0.46476,0.24788,0.099111,0.13202,0.092823,0.07514,0.093935,0.12297,0.05426,0.058452,0.044994,0.064727,4
1388.0,695.26,2788.5,2096.5,3483.5,4176.5,1303.4,0.012033,0.17349,0.027777,0.29351,0.012939,0.4043,0.30701,0.018667,0.76108,0.044388,0.01199,0.010692,0.027308,0.45301,1.034,0.30614,0.056312,0.016086,0.014776,0.19257,0.0082877,0.032257,0.11662,0.01003,0.037484,0.010313,4
990.43,1975.1,82.831,2971.7,3958.2,4949.6,1830.1,0.056528,0.039769,0.032268,0.42696,0.032712,0.42196,0.028404,0.023569,0.079911,0.50294,0.068913,0.023486,0.055264,0.097872,0.029221,0.030085,0.018163,0.020006,0.021923,0.075886,0.44533,0.50654,0.26895,0.064423,0.022154,0.019245,3
1734.2,866.24,2623.2,3491.8,90.271,4349.3,1607.1,0.061518,0.046918,0.19602,0.046877,0.37024,0.03018,0.025881,0.35061,0.29837,0.024415,0.034518,0.49927,0.043273,0.0193,0.011769,0.020091,0.059992,0.3869,0.9021,0.29844,0.070958,0.023137,0.015474,0.01594,0.0463,0.028093,1
1035.9,2060.0,3095.4,130.79,4092.9,5119.9,1879.3,0.12407,0.10736,0.088452,0.48609,0.10647,0.45225,0.16049,0.032795,0.064599,0.72013,0.56859,0.068746,0.034485,0.29773,0.090493,0.099791,0.026844,0.021183,0.024217,0.059168,0.20025,0.84486,0.99873,0.56368,0.15007,0.065389,3
1031.5,514.58,2071.3,1545.5,2585.1,3102.5,968.89,0.097142,0.095127,0.036579,0.29056,0.076586,0.22847,0.061664,0.020715,0.035174,0.3384,0.29333,0.075754,0.041089,0.043092,0.024469,0.056383,0.032446,0.031006,0.020737,0.015615,0.041887,0.25917,0.39861,0.18878,0.032047,0.02599,0
981.37,481.47,1464.9,1973.5,2456.8,2936.9,920.07,0.15699,0.15571,0.032972,0.47692,0.051673,0.34678,0.063451,0.027506,0.13198,0.54082,0.1282,0.04748,0.037944,0.042171,0.062124,0.058604,0.041135,0.03226,0.018565,0.072063,0.34791,0.36558,0.12896,0.024694,0.031188,0.01549,0
643.96,1287.4,1933.7,53.441,2544.0,2662.2,1048.5,0.11088,0.70427,0.40269,0.096248,0.10942,0.78135,0.089683,0.1926,0.091509,0.035052,0.043747,0.10948,0.66757,0.79797,0.33686,0.086105,0.04863,0.049227,0.035215,0.054356,0.14046,0.032019,0.032241,0.021672,0.016584,0.03442,2
1210.6,636.78,1810.2,2412.2,48.759,3011.3,1108.6,0.050503,0.20605,0.1898,0.054226,0.30034,0.19932,0.065961,0.30476,0.069876,0.02553,0.064721,0.36534,0.47557,0.19901,0.090812,0.045907,0.073367,0.019366,0.062516,0.065845,0.026722,0.023072,0.021069,0.018555,0.042602,0.23907,2
1384.3,693.4,2105.1,2795.5,84.818,4179.7,1486.9,0.065751,0.20077,0.071689,0.24925,0.024313,0.45828,0.25957,0.034427,0.63435,0.066701,0.042647,0.021575,0.05993,0.50596,0.88044,0.25563,0.087217,0.024816,0.023235,0.081712,0.020694,0.05362,0.17513,0.037859,0.030223,0.022759,4
