,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.4180602006688963,0.3854917835909237,0.39568106174753087,56,2.490621328353882,0.5416666666666666,0.08269560209062182,0.48148148148148145,0.07101326649479996,0.65,0.13354970010513642,0.18181818181818182,0.07679926637402108,0.4375,0.13508695157745257,0.3793103448275862,0.09825862030396565,0.4,0.11627055838555798,0.4666666666666667,0.10347828801993908,0.23529411764705882,0.09653327298407305,0.3225806451612903,0.07967762210643786,0,0
1,1000,0.396,0.32680792216746035,0.3276936776491541,56,6.036205053329468,0.35714285714285715,0.08575451841692353,0.46808510638297873,0.08651069803939072,0.5111111111111111,0.07414321300468486,0.07317073170731707,0.07792601018215486,0.5263157894736842,0.1397305630389091,0.4,0.08694426205444557,0.45901639344262296,0.10716077972230034,0.7115384615384616,0.08991087850005205,0.125,0.10436144490073256,0.25862068965517243,0.14751402481978962,0,0
2,1500,0.404,0.3660980586296698,0.3369349484233292,56,9.392173290252686,0.3157894736842105,0.11352605107714817,0.375,0.0746637116800189,0.5,0.07760863336748408,0.3275862068965517,0.1313702345791566,0.5510204081632653,0.09411641414434883,0.18,0.09044871405686156,0.6078431372549019,0.10464291535619995,0.75,0.10018902415200232,0.22807017543859648,0.1105621768721533,0.21621621621621623,0.10287183819346563,0,0
3,2000,0.386,0.33833555749502553,0.3166540533321462,56,12.305468082427979,0.5348837209302325,0.1128737234755232,0.2653061224489796,0.0822022278458211,0.425531914893617,0.11315113146625126,0.33962264150943394,0.09199096773913695,0.5348837209302325,0.07898133589979886,0.32786885245901637,0.1400842437553798,0.5660377358490566,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.11904761904761904,0.09330127070117016,0.1320754716981132,0.08702710183402462,0,0
4,2500,0.4,0.32586120004794555,0.3325145511827843,56,15.167724609375,0.6,0.07501667401951395,0.27450980392156865,0.12062828625741702,0.37209302325581395,0.11009590725983731,0.41379310344827586,0.10183003283885027,0.4,0.0925519169462429,0.5490196078431373,0.09470413428061988,0.66,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.06382978723404255,0.10736424864283944,0.08928571428571429,0.0990068558914072,0,0
5,3000,0.398,0.34574908940729604,0.3326475048554883,56,17.95356559753418,0.5535714285714286,0.09537868913164053,0.3269230769230769,0.12395232582143492,0.49056603773584906,0.10965395680557559,0.425531914893617,0.09470708152742018,0.5476190476190477,0.05566178869274879,0.30612244897959184,0.0821254452193677,0.6428571428571429,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.125,0.10329001684982597,0.0847457627118644,0.17584284521305849,0,0
6,3500,0.366,0.310485363786276,0.29651542118087765,56,20.94834852218628,0.4166666666666667,0.11184889864798458,0.2786885245901639,0.12629287972591835,0.41509433962264153,0.08775518578360776,0.3137254901960784,0.10771595796033519,0.46153846153846156,0.06706756075951653,0.3157894736842105,0.07253866941602873,0.6875,0.14175222244075045,0.5952380952380952,0.08515902987401566,0.09230769230769231,0.11903005258878933,0.1,0.0808395428030528,0,0
7,4000,0.446,0.35879483905636883,0.3817543890974507,56,23.885879278182983,0.5121951219512195,0.10704440581285511,0.42592592592592593,0.11814903001503188,0.45454545454545453,0.0962039574183572,0.4583333333333333,0.09212110076295262,0.6,0.10985058211965743,0.3548387096774194,0.12694439933281543,0.7037037037037037,0.09689149428673309,0.6785714285714286,0.09152871386846485,0.04878048780487805,0.09522182109708545,0.1568627450980392,0.06604449528604679,0,0
8,4500,0.454,0.3486305580904462,0.3918223497489318,56,26.939552545547485,0.3673469387755102,0.10585286415520291,0.42592592592592593,0.1331658193259243,0.5409836065573771,0.12069940843801613,0.46153846153846156,0.10295006316166642,0.7291666666666666,0.09303699333845909,0.4418604651162791,0.057975925975497555,0.7241379310344828,0.11236862087721801,0.574468085106383,0.11099109666447372,0.0425531914893617,0.08963414561593001,0.11904761904761904,0.07332506244761176,0,0
9,5000,0.456,0.3848901976335926,0.39371244137734274,56,29.818706035614014,0.5,0.07787376578341873,0.56,0.10175829513664565,0.45652173913043476,0.09729844562575245,0.4482758620689655,0.08565795200903513,0.5227272727272727,0.10693882208800819,0.4426229508196721,0.12840270882637253,0.7037037037037037,0.15056647330986922,0.6595744680851063,0.08435268323908617,0.08888888888888889,0.06950445038313405,0.13043478260869565,0.0976464035986779,0,0
