,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5484949832775919,0.5350529661001207,0.5137117578964061,56,1.736086130142212,0.6862745098039216,0.15370886858542177,0.5483870967741935,0.21034896647915746,0.3442622950819672,0.23334557188141802,0.5,0.2197488464054971,0.676923076923077,0.1762108950905109,0,0
1,1000,0.584,0.5447427531977538,0.4804338377454825,56,3.681589126586914,0.7415730337078652,0.17226521645631415,0.686046511627907,0.15206922318683969,0.21495327102803738,0.22667482509335454,0.6548672566371682,0.19707165822235237,0.6698113207547169,0.2518754697205222,0,0
2,1500,0.612,0.6119158311280821,0.5141935613117775,56,5.479710102081299,0.6571428571428571,0.18818976275716703,0.62,0.20897886794664075,0.5858585858585859,0.18456512820121035,0.5631067961165048,0.20483193950820228,0.6382978723404256,0.21343401506561901,0,0
3,2000,0.59,0.5841220238500175,0.48640347141146345,56,7.314666032791138,0.6086956521739131,0.19507595132134437,0.63,0.20514209920538823,0.4230769230769231,0.21906557965517867,0.6636363636363637,0.20038799540031166,0.631578947368421,0.18032837253519482,0,0
4,2500,0.618,0.613839742014474,0.5224880622015551,56,9.222792625427246,0.7395833333333334,0.19564496027693107,0.6039603960396039,0.21192594009868762,0.46226415094339623,0.18725605122686284,0.6210526315789474,0.19880194385090255,0.6796116504854369,0.20637110453424665,0,0
5,3000,0.592,0.5789598568625072,0.488849912302681,56,11.264780282974243,0.6759259259259259,0.21933101495307541,0.67,0.2043610383329957,0.4065934065934066,0.13778723391211653,0.6,0.1593878507388465,0.5887850467289719,0.2791328620628842,0,0
6,3500,0.552,0.5239880345258452,0.43704448353857756,56,13.130793333053589,0.6697247706422018,0.2381417783739029,0.5192307692307693,0.19547114374394295,0.3246753246753247,0.1396062301755452,0.6226415094339622,0.22691125231476617,0.5619047619047619,0.19986959539184224,0,0
7,4000,0.526,0.5193197437623344,0.40763624366395734,56,15.024126052856445,0.7052631578947368,0.22519343582788703,0.5108695652173914,0.18832505818130996,0.3392857142857143,0.23679498145247294,0.5363636363636364,0.18842020815519797,0.5760869565217391,0.16126631638313219,0,0
8,4500,0.544,0.5332015903104326,0.4275240414793985,56,16.89470672607422,0.6699029126213593,0.2390186834811272,0.504424778761062,0.22364947159968268,0.37362637362637363,0.15101291931395672,0.5523809523809524,0.22335971754169168,0.6179775280898876,0.16295920806354172,0,0
9,5000,0.562,0.5554059140554714,0.4515786521355879,56,18.759033203125,0.75,0.1796320609200644,0.5288461538461539,0.18295639763478763,0.44761904761904764,0.23534153091438068,0.5643564356435643,0.23491915654895532,0.5274725274725275,0.16715085398181204,0,0
