,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.1705685618729097,0.0,0.14641202209829135,56,2.2269198894500732,0.13333333333333333,0.05700390503885849,0.05,0.04792999588233027,0.0625,0.04877496766423307,0.6428571428571429,0.09595629000587996,0.0,0.07201700290086778,0.0,0.04237567357240971,0.12,0.10279259354974676,0.42857142857142855,0.059320036844489575,0.3181818181818182,0.07123294148718179,0.35,0.06770786161777914,0.0,0.07757163694884847,0.05,0.07446934783886945,0.0,0.07086799310105484,0.23809523809523808,0.05237037787262214,0.0,0.05297252411683393,0,0
1,1000,0.226,0.0,0.16942808577854848,56,4.786980867385864,0.0,0.05035363345426721,0.02857142857142857,0.05843061574900707,0.13333333333333333,0.06348096725303994,0.5769230769230769,0.0454911448424377,0.1111111111111111,0.059030470983476586,0.0,0.04754760736092551,0.2972972972972973,0.09832754475731005,0.48484848484848486,0.05946901955108318,0.16216216216216217,0.06887826078496141,0.5526315789473685,0.060948237207387464,0.07692307692307693,0.07109707395130772,0.4444444444444444,0.06502634706365715,0.1388888888888889,0.0749617309336586,0.17857142857142858,0.07513455637631489,0.14285714285714285,0.10177918241054859,0,0
2,1500,0.264,0.0,0.2075557833354149,56,7.419681072235107,0.14285714285714285,0.06782239473466749,0.0,0.06946392197634166,0.25,0.050903446046157846,0.07692307692307693,0.04117655626101642,0.2222222222222222,0.07869304354942298,0.0,0.08910926813620128,0.43243243243243246,0.06750111595463187,0.6176470588235294,0.07069713383237793,0.25,0.04636687841420062,0.5263157894736842,0.07802580888375653,0.0,0.05145256473136552,0.5263157894736842,0.0753535658930803,0.26666666666666666,0.07870896015356893,0.3076923076923077,0.05356601122055406,0.21739130434782608,0.08115904369149599,0,0
3,2000,0.246,0.0,0.1918854149250404,56,9.95292854309082,0.16666666666666666,0.08931571899786482,0.0,0.05915947319289749,0.15625,0.04660075913058191,0.10344827586206896,0.07557313239869735,0.11904761904761904,0.08154936277286937,0.2413793103448276,0.048019604033821515,0.46153846153846156,0.06297302559544608,0.5641025641025641,0.06853866816604927,0.23076923076923078,0.08755388589368318,0.47058823529411764,0.044796420690942106,0.0,0.09419960385674946,0.5714285714285714,0.061391970852620034,0.4444444444444444,0.06226135417700985,0.06896551724137931,0.05242162647055131,0.1282051282051282,0.06564539188763366,0,0
4,2500,0.246,0.2048825896425625,0.1910461468476549,56,12.430408000946045,0.14285714285714285,0.0481171921059939,0.1875,0.0731070266076615,0.25,0.07442074156327551,0.21428571428571427,0.05747180591292709,0.13157894736842105,0.0894074019799141,0.2857142857142857,0.06504673220584643,0.5483870967741935,0.06449283838285245,0.40540540540540543,0.04998393462464023,0.23684210526315788,0.07277927821937011,0.2903225806451613,0.05267969603533691,0.08333333333333333,0.08181503244726376,0.4642857142857143,0.06430721536830186,0.2972972972972973,0.0909396046601768,0.041666666666666664,0.03066774064073365,0.11904761904761904,0.08476375923333616,0,0
5,3000,0.612,0.5992289932208211,0.5837785186806208,56,14.917009592056274,0.3888888888888889,0.06309616113914601,0.6904761904761905,0.08143483698226284,0.6,0.07480001683166657,0.5,0.09739313577602163,0.6285714285714286,0.04837082540655348,0.4074074074074074,0.058597077150420666,0.6785714285714286,0.03042386349340756,0.75,0.0458667680052727,0.6129032258064516,0.061496602413436234,0.6666666666666666,0.03908338722876057,0.6,0.06814665898722293,0.7096774193548387,0.052157804522863074,0.7714285714285715,0.06138281913409663,0.5161290322580645,0.08928639897040162,0.6341463414634146,0.1284636439583861,0,0
6,3500,0.388,0.3271169283384037,0.33953223341707894,56,17.803127765655518,0.034482758620689655,0.06771543334239828,0.32432432432432434,0.09100152969322237,0.6511627906976745,0.07942481533828231,0.32142857142857145,0.052790753431355794,0.35,0.062171648948007675,0.3888888888888889,0.08050874136457953,0.34615384615384615,0.04405697568983874,0.75,0.04374823946498806,0.2962962962962963,0.051801015020718426,0.525,0.07361751231064273,0.36585365853658536,0.1061512138300583,0.32,0.04714252617406511,0.4418604651162791,0.09036970948010917,0.3157894736842105,0.05329407830885821,0.25,0.05620580760287481,0,0
7,4000,0.228,0.0,0.16870183962406374,56,20.389312505722046,0.0,0.07120696625545685,0.10344827586206896,0.05946082637601108,0.5526315789473685,0.09452564319641911,0.0,0.08095691196774885,0.2,0.03641093010951032,0.12903225806451613,0.07095721610405073,0.21212121212121213,0.058727088505618565,0.48717948717948717,0.09749297954051002,0.125,0.08057491340634428,0.38095238095238093,0.09070750264169733,0.23529411764705882,0.050655514648223134,0.3235294117647059,0.04705719086527735,0.30303030303030304,0.07580530845750337,0.07407407407407407,0.042279709236814116,0.0625,0.04318129868881477,0,0
8,4500,0.184,0.0,0.1223654831507079,56,22.979876041412354,0.0,0.07181113187060163,0.0,0.0674558950042751,0.46153846153846156,0.09975165660625054,0.0,0.060293987428227724,0.0,0.09553334496421577,0.1891891891891892,0.0678221392072391,0.19230769230769232,0.051640055832272554,0.18181818181818182,0.05642227632994965,0.3125,0.042950587151734484,0.2894736842105263,0.08012954902201232,0.3125,0.06067811304570133,0.37142857142857144,0.08255205547397805,0.17647058823529413,0.06851919267054869,0.15384615384615385,0.0457390601583415,0.06896551724137931,0.04870095523465162,0,0
9,5000,0.21,0.0,0.15137713229923086,56,25.56066060066223,0.06060606060606061,0.051990557003392494,0.0,0.06124250335326653,0.42857142857142855,0.06639900056340538,0.0,0.04533781958711997,0.05714285714285714,0.08295976151649612,0.13513513513513514,0.05465881653117148,0.35294117647058826,0.08467346266173922,0.3611111111111111,0.08005747229442767,0.2571428571428571,0.07061059595821366,0.28205128205128205,0.09075964384358151,0.18181818181818182,0.09104719592365991,0.4482758620689655,0.05311231678171384,0.14814814814814814,0.04433008396603986,0.2222222222222222,0.0579791814178354,0.17857142857142858,0.0648415885979367,0,0
