,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.7759197324414716,0.7737178888211681,0.7587161973096497,56,1.345313310623169,0.9215686274509803,0.15370886858542177,0.8870967741935484,0.21034896647915746,0.6721311475409836,0.23334557188141802,0.6833333333333333,0.2197488464054971,0.7384615384615385,0.1762108950905109,0,0
1,1000,0.794,0.78713436657541,0.741813223173642,56,2.738314628601074,0.8651685393258427,0.17226521645631415,0.813953488372093,0.15206922318683969,0.6261682242990654,0.22667482509335454,0.9557522123893806,0.19707165822235237,0.7169811320754716,0.2518754697205222,0,0
2,1500,0.868,0.8655024078162956,0.8346618835518635,56,4.145171880722046,0.9714285714285714,0.18818976275716703,0.81,0.20897886794664075,0.8181818181818182,0.18456512820121035,0.8543689320388349,0.20483193950820228,0.8829787234042553,0.21343401506561901,0,0
3,2000,0.9,0.9011642517033723,0.8747727124731388,56,5.598074197769165,0.9565217391304348,0.19507595132134437,0.91,0.20514209920538823,0.8653846153846154,0.21906557965517867,0.8818181818181818,0.20038799540031166,0.8947368421052632,0.18032837253519482,0,0
4,2500,0.93,0.9302994621056481,0.9124080284298514,56,7.023902416229248,0.9583333333333334,0.19564496027693107,0.9504950495049505,0.21192594009868762,0.8962264150943396,0.18725605122686284,0.9157894736842105,0.19880194385090255,0.9320388349514563,0.20637110453424665,0,0
5,3000,0.926,0.9233401308933726,0.9072844363144311,56,8.395885229110718,0.9814814814814815,0.21933101495307541,0.98,0.2043610383329957,0.8681318681318682,0.13778723391211653,0.9052631578947369,0.1593878507388465,0.8878504672897196,0.2791328620628842,0,0
6,3500,0.904,0.8882603045865286,0.8792063859557292,56,9.763427257537842,0.963302752293578,0.2381417783739029,0.9230769230769231,0.19547114374394295,0.7142857142857143,0.1396062301755452,0.8962264150943396,0.22691125231476617,0.9714285714285714,0.19986959539184224,0,0
7,4000,0.886,0.8853566114853637,0.8572072749135728,56,11.12987208366394,0.9368421052631579,0.22519343582788703,0.9239130434782609,0.18832505818130996,0.8125,0.23679498145247294,0.9363636363636364,0.18842020815519797,0.8260869565217391,0.16126631638313219,0,0
8,4500,0.85,0.8477541016776211,0.8117573828754436,56,12.542622327804565,0.912621359223301,0.2390186834811272,0.831858407079646,0.22364947159968268,0.8461538461538461,0.15101291931395672,0.8666666666666667,0.22335971754169168,0.7865168539325843,0.16295920806354172,0,0
9,5000,0.716,0.700992569895212,0.6436780455489867,56,13.89136528968811,0.88,0.1796320609200644,0.8653846153846154,0.18295639763478763,0.6285714285714286,0.23534153091438068,0.6435643564356436,0.23491915654895532,0.5494505494505495,0.16715085398181204,0,0
