,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.40468227424749165,0.333571873374219,0.3812257811596933,56,1.8773019313812256,0.5416666666666666,0.08269560209062182,0.4444444444444444,0.07101326649479996,0.825,0.13354970010513642,0.13636363636363635,0.07679926637402108,0.21875,0.13508695157745257,0.3103448275862069,0.09825862030396565,0.26666666666666666,0.11627055838555798,0.36666666666666664,0.10347828801993908,0.14705882352941177,0.09653327298407305,0.6451612903225806,0.07967762210643786,0,0
1,1000,0.458,0.38502862101009,0.39621329934897975,56,3.8808462619781494,0.47619047619047616,0.08575451841692353,0.3829787234042553,0.08651069803939072,0.7111111111111111,0.07414321300468486,0.21951219512195122,0.07792601018215486,0.6140350877192983,0.1397305630389091,0.44,0.08694426205444557,0.5081967213114754,0.10716077972230034,0.5,0.08991087850005205,0.0625,0.10436144490073256,0.5862068965517241,0.14751402481978962,0,0
2,1500,0.546,0.5363650842194915,0.4950191536787967,56,5.982798099517822,0.543859649122807,0.11352605107714817,0.5208333333333334,0.0746637116800189,0.6666666666666666,0.07760863336748408,0.5172413793103449,0.1313702345791566,0.673469387755102,0.09411641414434883,0.44,0.09044871405686156,0.6862745098039216,0.10464291535619995,0.6538461538461539,0.10018902415200232,0.2807017543859649,0.1105621768721533,0.5405405405405406,0.10287183819346563,0,0
3,2000,0.69,0.6678398706322923,0.6541969337307465,56,8.097424983978271,0.4883720930232558,0.1128737234755232,0.5714285714285714,0.0822022278458211,0.8297872340425532,0.11315113146625126,0.8301886792452831,0.09199096773913695,0.7906976744186046,0.07898133589979886,0.6885245901639344,0.1400842437553798,0.660377358490566,0.08207032490162638,0.7894736842105263,0.11831767049868519,0.42857142857142855,0.09330127070117016,0.7547169811320755,0.08702710183402462,0,0
4,2500,0.822,0.8190217215366904,0.8019334852585102,56,10.243454456329346,0.7555555555555555,0.07501667401951395,0.8235294117647058,0.12062828625741702,0.8604651162790697,0.11009590725983731,0.8620689655172413,0.10183003283885027,0.7818181818181819,0.0925519169462429,0.7647058823529411,0.09470413428061988,0.94,0.08921755263080702,0.8444444444444444,0.10958439122009553,0.723404255319149,0.10736424864283944,0.8571428571428571,0.0990068558914072,0,0
5,3000,0.804,0.794636708265262,0.7820497993968563,56,12.19986343383789,0.6964285714285714,0.09537868913164053,0.8461538461538461,0.12395232582143492,0.8679245283018868,0.10965395680557559,0.9148936170212766,0.09470708152742018,0.8809523809523809,0.05566178869274879,0.6122448979591837,0.0821254452193677,0.9047619047619048,0.06507942602858442,0.8867924528301887,0.0943084247102622,0.5625,0.10329001684982597,0.8813559322033898,0.17584284521305849,0,0
6,3500,0.826,0.8150972885132072,0.8055318368970927,56,14.165333032608032,0.6666666666666666,0.11184889864798458,0.8524590163934426,0.12629287972591835,0.9622641509433962,0.08775518578360776,0.9019607843137255,0.10771595796033519,0.7692307692307693,0.06706756075951653,0.7105263157894737,0.07253866941602873,0.9375,0.14175222244075045,0.8333333333333334,0.08515902987401566,0.7230769230769231,0.11903005258878933,0.85,0.0808395428030528,0,0
7,4000,0.774,0.7561468075776014,0.7481613550256296,56,16.24662208557129,0.4878048780487805,0.10704440581285511,0.8333333333333334,0.11814903001503188,0.7954545454545454,0.0962039574183572,0.8125,0.09212110076295262,0.8,0.10985058211965743,0.6451612903225806,0.12694439933281543,0.8888888888888888,0.09689149428673309,0.9464285714285714,0.09152871386846485,0.6829268292682927,0.09522182109708545,0.7843137254901961,0.06604449528604679,0,0
8,4500,0.8,0.790952833784402,0.7773483074018329,56,18.213598489761353,0.7142857142857143,0.10585286415520291,0.8703703703703703,0.1331658193259243,0.8852459016393442,0.12069940843801613,0.7115384615384616,0.10295006316166642,0.9166666666666666,0.09303699333845909,0.7441860465116279,0.057975925975497555,0.8793103448275862,0.11236862087721801,0.7872340425531915,0.11099109666447372,0.7021276595744681,0.08963414561593001,0.7380952380952381,0.07332506244761176,0,0
9,5000,0.816,0.8100664553419983,0.7950856185741522,56,20.293535232543945,0.9,0.07787376578341873,0.78,0.10175829513664565,0.9565217391304348,0.09729844562575245,0.9310344827586207,0.08565795200903513,0.75,0.10693882208800819,0.7868852459016393,0.12840270882637253,0.7962962962962963,0.15056647330986922,0.7021276595744681,0.08435268323908617,0.7333333333333333,0.06950445038313405,0.8043478260869565,0.0976464035986779,0,0
10,5500,0.648,0.5911544033881325,0.607132333901801,56,22.346811294555664,0.5111111111111111,0.0844545607550271,0.7547169811320755,0.11332213341894325,0.7647058823529411,0.08302265992082251,0.8269230769230769,0.07081371560826055,0.7049180327868853,0.12122319935883362,0.5,0.07296847762478854,0.8214285714285714,0.11285278612472402,0.6721311475409836,0.12940546651470583,0.175,0.07839347757775564,0.6274509803921569,0.13354352309613887,0,0
11,6000,0.688,0.678908421805317,0.6522762531428877,56,24.48206639289856,0.543859649122807,0.10804324155534717,0.7857142857142857,0.11702664535274546,0.6923076923076923,0.08269499182777958,0.6,0.09127463011430391,0.7627118644067796,0.12239834426837344,0.6363636363636364,0.10678490695334622,0.82,0.07921530786207702,0.76,0.06851979702379728,0.52,0.11651747325006956,0.7450980392156863,0.10752466179216039,0,0
12,6500,0.73,0.7257657694030533,0.6996716409941536,56,26.450838327407837,0.75,0.07207777946030094,0.7058823529411765,0.09220911473015427,0.7619047619047619,0.07855009587815735,0.5714285714285714,0.0942327846504693,0.8846153846153846,0.11351853193745266,0.6744186046511628,0.04808596759799655,0.94,0.11828060461617808,0.7872340425531915,0.09774158774100901,0.5517241379310345,0.15807785190104853,0.7222222222222222,0.12722568148723326,0,0
13,7000,0.69,0.6750844668251077,0.6543002814664804,56,28.36478090286255,0.6274509803921569,0.10091798073803263,0.7068965517241379,0.09507889215295004,0.5333333333333333,0.08578565210331003,0.6904761904761905,0.0890306602554097,0.8653846153846154,0.08334383775453455,0.5121951219512195,0.10371967677591569,0.7777777777777778,0.12266084765607228,0.660377358490566,0.15580504469143144,0.76,0.0811168857529648,0.6956521739130435,0.08254052211937876,0,0
14,7500,0.628,0.6062687258454051,0.5847639628698614,56,30.34484314918518,0.7068965517241379,0.13333274355812813,0.6888888888888889,0.09628560983385864,0.6136363636363636,0.08731714803008382,0.5901639344262295,0.12052888777611002,0.85,0.07732845403530553,0.56,0.09151326774311037,0.6666666666666666,0.09478895645980788,0.6153846153846154,0.11013558405108301,0.5714285714285714,0.08529407220641554,0.3409090909090909,0.10347527630609728,0,0
15,8000,0.534,0.5104445513437721,0.48118459140503234,56,32.31908869743347,0.46808510638297873,0.09447028331571793,0.38,0.11348715149634214,0.49019607843137253,0.07913170600310043,0.7068965517241379,0.11931968084741594,0.7291666666666666,0.08552100088239795,0.26666666666666666,0.07214307195714655,0.44642857142857145,0.1359284392708933,0.660377358490566,0.10898122439935928,0.6190476190476191,0.07599387694190694,0.5490196078431373,0.11502356488571958,0,0
16,8500,0.456,0.4330965408335,0.3934636791779649,56,34.254337787628174,0.5476190476190477,0.07980439089411254,0.5660377358490566,0.08729914309526683,0.2222222222222222,0.08713690032813388,0.5714285714285714,0.11468747560031264,0.6136363636363636,0.0861406303139784,0.3076923076923077,0.10661890853871207,0.5517241379310345,0.10270586887794449,0.4074074074074074,0.11272930789539534,0.32075471698113206,0.10679102823881544,0.43333333333333335,0.11608634621732841,0,0
17,9000,0.708,0.7046905614019952,0.673952852689219,56,36.493332862854004,0.7169811320754716,0.12326122849936193,0.7,0.12721780874711472,0.5116279069767442,0.07396526012621288,0.7692307692307693,0.09248246552437608,0.8181818181818182,0.04976119360461813,0.7391304347826086,0.11143058088850682,0.7727272727272727,0.08595466093276319,0.7586206896551724,0.12151218508564936,0.660377358490566,0.12035494672950504,0.6530612244897959,0.09405966986189183,0,0
18,9500,0.652,0.6108392275896494,0.6113729256471535,56,38.59409284591675,0.7058823529411765,0.10283447099020139,0.8727272727272727,0.13601949803703073,0.375,0.0751266300044238,0.7413793103448276,0.13181073199930785,0.6181818181818182,0.09527128697073396,0.3157894736842105,0.06245553109820383,0.7358490566037735,0.10435798868149335,0.8,0.06998701035507154,0.6842105263157895,0.1096085803649244,0.5370370370370371,0.11252827149860907,0,0
19,10000,0.724,0.7194851023931182,0.6927475052433306,56,40.57627248764038,0.8,0.10713236504822854,0.723404255319149,0.09266113288311409,0.7547169811320755,0.10485508148864074,0.7358490566037735,0.11402396548465009,0.8035714285714286,0.09235964855701871,0.6444444444444445,0.08204946777953968,0.6792452830188679,0.10963687833498739,0.7333333333333333,0.08964529881593826,0.6875,0.10412093065479197,0.6521739130434783,0.10351523095309038,0,0
20,10500,0.644,0.6229115083776327,0.6039022306090115,56,42.71504235267639,0.8235294117647058,0.07729482651685103,0.46511627906976744,0.09082653828919905,0.625,0.12223744530580609,0.64,0.12411432359245571,0.8627450980392157,0.1160376859074751,0.66,0.07856882449378193,0.46511627906976744,0.07256640907601532,0.7719298245614035,0.12796122263152215,0.54,0.10290271012436467,0.52,0.08749001406252904,0,0
21,11000,0.608,0.5901635041339071,0.5634821651284609,56,44.76272201538086,0.8,0.10229148459581797,0.5660377358490566,0.10312356141787204,0.7608695652173914,0.07648713432528768,0.576271186440678,0.11814028405212103,0.6222222222222222,0.10258802240552306,0.52,0.07297177141191037,0.6595744680851063,0.0846963854651347,0.7017543859649122,0.1295505499833483,0.5294117647058824,0.11960863744608288,0.32558139534883723,0.09054216889690195,0,0
22,11500,0.576,0.5579971013119648,0.5270306448446339,56,46.7223916053772,0.5526315789473685,0.06453974109302806,0.7142857142857143,0.12021816451310864,0.5714285714285714,0.10608194985148389,0.7301587301587301,0.09288693060101175,0.5357142857142857,0.10480526446728115,0.4,0.12353898524470412,0.6037735849056604,0.10087466760754994,0.7083333333333334,0.11374286480421333,0.5,0.07084715655977325,0.3877551020408163,0.10246427525784589,0,0
23,12000,0.64,0.6380140261374574,0.5986639970390322,56,48.65973114967346,0.6486486486486487,0.05302989078773342,0.5901639344262295,0.12281170693174158,0.723404255319149,0.09331597608944518,0.5666666666666667,0.09965795222465104,0.66,0.0766945389488345,0.5897435897435898,0.09967306811975261,0.574468085106383,0.10443204314039141,0.7592592592592593,0.10225560862680622,0.5961538461538461,0.11897123808610845,0.7037037037037037,0.12915797704453558,0,0
24,12500,0.606,0.588041927518375,0.5580997842091332,56,50.735979318618774,0.6842105263157895,0.06822674280782036,0.7,0.14530308339550235,0.5238095238095238,0.09098941071170451,0.5471698113207547,0.09958152665139432,0.325,0.08273871192651328,0.6724137931034483,0.09621621762600702,0.5769230769230769,0.13407287436698895,0.8048780487804879,0.045728334672682516,0.5471698113207547,0.08855645331431161,0.6486486486486487,0.14858664452707507,0,0
25,13000,0.576,0.5438483321828715,0.5265849355753556,56,52.73529863357544,0.3148148148148148,0.10976668990720602,0.71875,0.11887379984638848,0.375,0.11356406667869542,0.5686274509803921,0.0908173659079031,0.7,0.09195123127541882,0.4146341463414634,0.10484939444612179,0.7083333333333334,0.08653073241528628,0.5094339622641509,0.11101860755593242,0.5416666666666666,0.09508945599876771,0.8269230769230769,0.07753865596827986,0,0
26,13500,0.628,0.6168238221261118,0.5865233280870701,56,54.60106563568115,0.5471698113207547,0.0677600649570449,0.625,0.09445047724515915,0.5869565217391305,0.11301415366015197,0.7142857142857143,0.10473867889432222,0.75,0.09615281479724054,0.3888888888888889,0.12001235728010519,0.7307692307692307,0.11928892409574364,0.6470588235294118,0.09175285690995735,0.48,0.10490809324628696,0.84,0.08792157891398812,0,0
27,14000,0.448,0.43887862929471294,0.38516099425704725,56,56.61874985694885,0.42105263157894735,0.12656319308641578,0.49019607843137253,0.12918481371907137,0.48214285714285715,0.07916253986411796,0.49019607843137253,0.10669652629379082,0.5789473684210527,0.09936752668040288,0.3333333333333333,0.09692883174295408,0.5581395348837209,0.10824190890865258,0.37142857142857144,0.06153313496126001,0.4,0.09084523475998255,0.33962264150943394,0.10147628998335191,0,0
28,14500,0.616,0.6119328984350525,0.5728302222617749,56,58.55759930610657,0.5348837209302325,0.09189900831528956,0.6041666666666666,0.10755662856122923,0.5333333333333333,0.12471519721751076,0.6666666666666666,0.06182264087966114,0.6666666666666666,0.08452962589631685,0.5306122448979592,0.09470857380655591,0.6346153846153846,0.09923401128100817,0.6470588235294118,0.11810341131408966,0.6041666666666666,0.09792125327188038,0.7301587301587301,0.11950964945645842,0,0
29,15000,0.502,0.4802610905881864,0.4435803925774965,56,60.55027484893799,0.5172413793103449,0.08258947899087776,0.46,0.10174145315744071,0.625,0.0782023565891074,0.29545454545454547,0.05661103232034636,0.4883720930232558,0.09325836023824897,0.5238095238095238,0.1393816201791843,0.5217391304347826,0.10623740047031596,0.6440677966101694,0.12437302010094343,0.5185185185185185,0.13797154245167217,0.3333333333333333,0.0796337355018629,0,0
30,15500,0.69,0.6840972836038463,0.6547207470506469,56,62.796937227249146,0.8,0.06608608734323744,0.5769230769230769,0.11893874594985078,0.6764705882352942,0.06693902046176554,0.4897959183673469,0.1339127290222772,0.7058823529411765,0.11302932842686737,0.7222222222222222,0.10651053873910561,0.7017543859649122,0.0987532263834876,0.7872340425531915,0.10289697233050828,0.6909090909090909,0.10499500658540448,0.7543859649122807,0.08793834475749575,0,0
