,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5351170568561873,0.5003981584187843,0.4993118455555562,56,2.0229406356811523,0.7647058823529411,0.15370886858542177,0.6612903225806451,0.21034896647915746,0.2459016393442623,0.23334557188141802,0.4,0.2197488464054971,0.6307692307692307,0.1762108950905109,0,0
1,1000,0.576,0.49464168433011313,0.4713586083764724,56,4.245392084121704,0.7415730337078652,0.17226521645631415,0.7093023255813954,0.15206922318683969,0.12149532710280374,0.22667482509335454,0.6637168141592921,0.19707165822235237,0.6981132075471698,0.2518754697205222,0,0
2,1500,0.566,0.554378964389961,0.45677479435045776,56,6.540242910385132,0.6571428571428571,0.18818976275716703,0.62,0.20897886794664075,0.36363636363636365,0.18456512820121035,0.5728155339805825,0.20483193950820228,0.6170212765957447,0.21343401506561901,0,0
3,2000,0.574,0.5619443696768938,0.46734819423535706,56,8.791143417358398,0.6086956521739131,0.19507595132134437,0.61,0.20514209920538823,0.34615384615384615,0.21906557965517867,0.6090909090909091,0.20038799540031166,0.7157894736842105,0.18032837253519482,0,0
4,2500,0.606,0.5955269399625632,0.507157474444739,56,11.58756709098816,0.7395833333333334,0.19564496027693107,0.6435643564356436,0.21192594009868762,0.4056603773584906,0.18725605122686284,0.5473684210526316,0.19880194385090255,0.7087378640776699,0.20637110453424665,0,0
5,3000,0.586,0.5766265445884042,0.4807787816612068,56,14.288041353225708,0.6759259259259259,0.21933101495307541,0.66,0.2043610383329957,0.45054945054945056,0.13778723391211653,0.5473684210526316,0.1593878507388465,0.5794392523364486,0.2791328620628842,0,0
6,3500,0.574,0.5566439273743095,0.46549829110017005,56,16.6174795627594,0.7247706422018348,0.2381417783739029,0.5673076923076923,0.19547114374394295,0.4155844155844156,0.1396062301755452,0.5566037735849056,0.22691125231476617,0.5619047619047619,0.19986959539184224,0,0
7,4000,0.642,0.6409648692289905,0.551785097230082,56,18.956982135772705,0.7578947368421053,0.22519343582788703,0.6956521739130435,0.18832505818130996,0.48214285714285715,0.23679498145247294,0.6636363636363637,0.18842020815519797,0.6413043478260869,0.16126631638313219,0,0
8,4500,0.784,0.7672345948776076,0.7287236447485419,56,21.19285559654236,0.9029126213592233,0.2390186834811272,0.6460176991150443,0.22364947159968268,0.5824175824175825,0.15101291931395672,0.9809523809523809,0.22335971754169168,0.797752808988764,0.16295920806354172,0,0
9,5000,0.798,0.7862384501539872,0.747071285829481,56,24.037994861602783,0.94,0.1796320609200644,0.6442307692307693,0.18295639763478763,0.6,0.23534153091438068,0.9900990099009901,0.23491915654895532,0.8351648351648352,0.16715085398181204,0,0
