,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.28762541806020064,0.0,0.2583078091398819,56,3.5749318599700928,0.125,0.08269560209062182,0.14814814814814814,0.07101326649479996,0.675,0.13354970010513642,0.0,0.07679926637402108,0.0625,0.13508695157745257,0.5517241379310345,0.09825862030396565,0.2,0.11627055838555798,0.0,0.10347828801993908,0.38235294117647056,0.09653327298407305,0.4838709677419355,0.07967762210643786,0,0
1,1000,0.31,0.0,0.23084811814172906,56,7.480010032653809,0.023809523809523808,0.08575451841692353,0.10638297872340426,0.08651069803939072,0.6,0.07414321300468486,0.0,0.07792601018215486,0.21052631578947367,0.1397305630389091,0.58,0.08694426205444557,0.4098360655737705,0.10716077972230034,0.46153846153846156,0.08991087850005205,0.22916666666666666,0.10436144490073256,0.3793103448275862,0.14751402481978962,0,0
2,1500,0.298,0.0,0.2229803022186015,56,11.472660541534424,0.0,0.11352605107714817,0.14583333333333334,0.0746637116800189,0.5476190476190477,0.07760863336748408,0.08620689655172414,0.1313702345791566,0.42857142857142855,0.09411641414434883,0.52,0.09044871405686156,0.27450980392156865,0.10464291535619995,0.75,0.10018902415200232,0.017543859649122806,0.1105621768721533,0.3783783783783784,0.10287183819346563,0,0
3,2000,0.31,0.0,0.22852964458696146,56,15.368427991867065,0.046511627906976744,0.1128737234755232,0.061224489795918366,0.0822022278458211,0.44680851063829785,0.11315113146625126,0.16981132075471697,0.09199096773913695,0.6046511627906976,0.07898133589979886,0.5245901639344263,0.1400842437553798,0.2641509433962264,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.0,0.09330127070117016,0.2641509433962264,0.08702710183402462,0,0
4,2500,0.302,0.0,0.22410994962272623,56,19.40567111968994,0.15555555555555556,0.07501667401951395,0.0,0.12062828625741702,0.4418604651162791,0.11009590725983731,0.1206896551724138,0.10183003283885027,0.36363636363636365,0.0925519169462429,0.7058823529411765,0.09470413428061988,0.38,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.0,0.10736424864283944,0.26785714285714285,0.0990068558914072,0,0
5,3000,0.314,0.0,0.23787939385859663,56,23.4882071018219,0.30357142857142855,0.09537868913164053,0.0,0.12395232582143492,0.5094339622641509,0.10965395680557559,0.2765957446808511,0.09470708152742018,0.42857142857142855,0.05566178869274879,0.4489795918367347,0.0821254452193677,0.30952380952380953,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.0,0.10329001684982597,0.3050847457627119,0.17584284521305849,0,0
6,3500,0.27,0.23277902541240228,0.19538304176072238,56,27.841588497161865,0.14583333333333334,0.11184889864798458,0.14754098360655737,0.12629287972591835,0.41509433962264153,0.08775518578360776,0.19607843137254902,0.10771595796033519,0.3333333333333333,0.06706756075951653,0.5263157894736842,0.07253866941602873,0.34375,0.14175222244075045,0.5476190476190477,0.08515902987401566,0.046153846153846156,0.11903005258878933,0.175,0.0808395428030528,0,0
7,4000,0.43,0.40101773995920215,0.3636091622417034,56,32.15163540840149,0.21951219512195122,0.10704440581285511,0.5740740740740741,0.11814903001503188,0.4772727272727273,0.0962039574183572,0.4375,0.09212110076295262,0.46,0.10985058211965743,0.45161290322580644,0.12694439933281543,0.5925925925925926,0.09689149428673309,0.42857142857142855,0.09152871386846485,0.21951219512195122,0.09522182109708545,0.35294117647058826,0.06604449528604679,0,0
8,4500,0.526,0.4749860169891941,0.47199336984079604,56,36.43519115447998,0.2653061224489796,0.10585286415520291,0.7222222222222222,0.1331658193259243,0.6065573770491803,0.12069940843801613,0.5,0.10295006316166642,0.7291666666666666,0.09303699333845909,0.5813953488372093,0.057975925975497555,0.6551724137931034,0.11236862087721801,0.425531914893617,0.11099109666447372,0.14893617021276595,0.08963414561593001,0.5714285714285714,0.07332506244761176,0,0
9,5000,0.552,0.5159937844090458,0.5010357962265832,56,42.0388069152832,0.5,0.07787376578341873,0.66,0.10175829513664565,0.6739130434782609,0.09729844562575245,0.5344827586206896,0.08565795200903513,0.5909090909090909,0.10693882208800819,0.6229508196721312,0.12840270882637253,0.6296296296296297,0.15056647330986922,0.574468085106383,0.08435268323908617,0.15555555555555556,0.06950445038313405,0.5434782608695652,0.0976464035986779,0,0
10,5500,0.612,0.5853015529206599,0.5672579321174916,56,47.28493070602417,0.6444444444444445,0.0844545607550271,0.6792452830188679,0.11332213341894325,0.6470588235294118,0.08302265992082251,0.5192307692307693,0.07081371560826055,0.5901639344262295,0.12122319935883362,0.6666666666666666,0.07296847762478854,0.8035714285714286,0.11285278612472402,0.6721311475409836,0.12940546651470583,0.275,0.07839347757775564,0.5490196078431373,0.13354352309613887,0,0
11,6000,0.658,0.6363692939867732,0.6190993816490546,56,51.83315944671631,0.5789473684210527,0.10804324155534717,0.7678571428571429,0.11702664535274546,0.6666666666666666,0.08269499182777958,0.5333333333333333,0.09127463011430391,0.6440677966101694,0.12239834426837344,0.5909090909090909,0.10678490695334622,0.92,0.07921530786207702,0.82,0.06851979702379728,0.34,0.11651747325006956,0.7058823529411765,0.10752466179216039,0,0
12,6500,0.722,0.7144832809589814,0.6910616809800679,56,56.38424777984619,0.7708333333333334,0.07207777946030094,0.7058823529411765,0.09220911473015427,0.7619047619047619,0.07855009587815735,0.5714285714285714,0.0942327846504693,0.8076923076923077,0.11351853193745266,0.627906976744186,0.04808596759799655,1.0,0.11828060461617808,0.7872340425531915,0.09774158774100901,0.4827586206896552,0.15807785190104853,0.7592592592592593,0.12722568148723326,0,0
13,7000,0.798,0.7795247558638039,0.7747958669467225,56,60.82936906814575,0.7843137254901961,0.10091798073803263,0.8620689655172413,0.09507889215295004,0.7777777777777778,0.08578565210331003,0.6904761904761905,0.0890306602554097,0.8076923076923077,0.08334383775453455,0.6097560975609756,0.10371967677591569,0.9841269841269841,0.12266084765607228,0.8867924528301887,0.15580504469143144,0.66,0.0811168857529648,0.8043478260869565,0.08254052211937876,0,0
14,7500,0.796,0.7829184490037147,0.7727880245923551,56,65.54217386245728,0.8275862068965517,0.13333274355812813,0.9555555555555556,0.09628560983385864,0.6136363636363636,0.08731714803008382,0.7377049180327869,0.12052888777611002,0.8666666666666667,0.07732845403530553,0.64,0.09151326774311037,1.0,0.09478895645980788,0.9038461538461539,0.11013558405108301,0.6428571428571429,0.08529407220641554,0.75,0.10347527630609728,0,0
15,8000,0.808,0.7927761121450895,0.7863580727717815,56,70.13641476631165,0.7659574468085106,0.09447028331571793,0.94,0.11348715149634214,0.6862745098039216,0.07913170600310043,0.5862068965517241,0.11931968084741594,0.8958333333333334,0.08552100088239795,0.5777777777777777,0.07214307195714655,1.0,0.1359284392708933,0.9811320754716981,0.10898122439935928,0.8095238095238095,0.07599387694190694,0.8235294117647058,0.11502356488571958,0,0
16,8500,0.848,0.8354285006845136,0.8306708553349821,56,74.63481616973877,0.8809523809523809,0.07980439089411254,0.9622641509433962,0.08729914309526683,0.6388888888888888,0.08713690032813388,0.8163265306122449,0.11468747560031264,0.8636363636363636,0.0861406303139784,0.7884615384615384,0.10661890853871207,1.0,0.10270586887794449,0.8888888888888888,0.11272930789539534,0.7735849056603774,0.10679102823881544,0.8,0.11608634621732841,0,0
