,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.30434782608695654,0.0,0.2760741792310026,56,3.5847063064575195,0.041666666666666664,0.08269560209062182,0.3333333333333333,0.07101326649479996,0.675,0.13354970010513642,0.0,0.07679926637402108,0.0625,0.13508695157745257,0.5172413793103449,0.09825862030396565,0.36666666666666664,0.11627055838555798,0.1,0.10347828801993908,0.23529411764705882,0.09653327298407305,0.4838709677419355,0.07967762210643786,0,0
1,1000,0.354,0.0,0.2781477673982032,56,7.245074510574341,0.0,0.08575451841692353,0.44680851063829785,0.08651069803939072,0.4888888888888889,0.07414321300468486,0.024390243902439025,0.07792601018215486,0.3508771929824561,0.1397305630389091,0.6,0.08694426205444557,0.5737704918032787,0.10716077972230034,0.5384615384615384,0.08991087850005205,0.08333333333333333,0.10436144490073256,0.29310344827586204,0.14751402481978962,0,0
2,1500,0.354,0.0,0.2833306707847418,56,10.97605037689209,0.05263157894736842,0.11352605107714817,0.375,0.0746637116800189,0.5238095238095238,0.07760863336748408,0.1206896551724138,0.1313702345791566,0.4489795918367347,0.09411641414434883,0.5,0.09044871405686156,0.7058823529411765,0.10464291535619995,0.7307692307692307,0.10018902415200232,0.0,0.1105621768721533,0.1891891891891892,0.10287183819346563,0,0
3,2000,0.336,0.0,0.25744677995822024,56,14.773406267166138,0.0,0.1128737234755232,0.24489795918367346,0.0822022278458211,0.425531914893617,0.11315113146625126,0.20754716981132076,0.09199096773913695,0.5581395348837209,0.07898133589979886,0.47540983606557374,0.1400842437553798,0.5660377358490566,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.0,0.09330127070117016,0.1509433962264151,0.08702710183402462,0,0
4,2500,0.32,0.0,0.2440916872318193,56,18.607962131500244,0.17777777777777778,0.07501667401951395,0.0784313725490196,0.12062828625741702,0.4418604651162791,0.11009590725983731,0.1896551724137931,0.10183003283885027,0.4,0.0925519169462429,0.6862745098039216,0.09470413428061988,0.62,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.0,0.10736424864283944,0.03571428571428571,0.0990068558914072,0,0
5,3000,0.338,0.0,0.265237987418033,56,22.46666169166565,0.44642857142857145,0.09537868913164053,0.057692307692307696,0.12395232582143492,0.5094339622641509,0.10965395680557559,0.1276595744680851,0.09470708152742018,0.5,0.05566178869274879,0.42857142857142855,0.0821254452193677,0.6428571428571429,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.0,0.10329001684982597,0.1694915254237288,0.17584284521305849,0,0
6,3500,0.294,0.20593072843342064,0.22283671204889302,56,27.250094652175903,0.375,0.11184889864798458,0.03278688524590164,0.12629287972591835,0.39622641509433965,0.08775518578360776,0.058823529411764705,0.10771595796033519,0.46153846153846156,0.06706756075951653,0.47368421052631576,0.07253866941602873,0.53125,0.14175222244075045,0.5952380952380952,0.08515902987401566,0.046153846153846156,0.11903005258878933,0.15,0.0808395428030528,0,0
7,4000,0.426,0.3959644288576205,0.35990079577489925,56,31.26372766494751,0.5365853658536586,0.10704440581285511,0.5555555555555556,0.11814903001503188,0.45454545454545453,0.0962039574183572,0.16666666666666666,0.09212110076295262,0.44,0.10985058211965743,0.46774193548387094,0.12694439933281543,0.5,0.09689149428673309,0.5535714285714286,0.09152871386846485,0.34146341463414637,0.09522182109708545,0.21568627450980393,0.06604449528604679,0,0
8,4500,0.55,0.5121085728492152,0.49887748556767164,56,35.464682817459106,0.673469387755102,0.10585286415520291,0.46296296296296297,0.1331658193259243,0.6885245901639344,0.12069940843801613,0.4230769230769231,0.10295006316166642,0.8541666666666666,0.09303699333845909,0.5813953488372093,0.057975925975497555,0.6724137931034483,0.11236862087721801,0.48936170212765956,0.11099109666447372,0.23404255319148937,0.08963414561593001,0.35714285714285715,0.07332506244761176,0,0
9,5000,0.556,0.5041198350144016,0.5055547141571712,56,39.78407287597656,0.58,0.07787376578341873,0.66,0.10175829513664565,0.6304347826086957,0.09729844562575245,0.4827586206896552,0.08565795200903513,0.6818181818181818,0.10693882208800819,0.5901639344262295,0.12840270882637253,0.6666666666666666,0.15056647330986922,0.7021276595744681,0.08435268323908617,0.1111111111111111,0.06950445038313405,0.43478260869565216,0.0976464035986779,0,0
