,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.0903010033444816,0.0,0.057353627326808196,0.0,0.08269560209062182,0.0,0.07101326649479996,0.0,0.13354970010513642,0.0,0.07679926637402108,0.0,0.13508695157745257,0.7931034482758621,0.09825862030396565,0.0,0.11627055838555798,0.0,0.10347828801993908,0.0,0.09653327298407305,0.12903225806451613,0.07967762210643786,0,0
1,1000,0.108,0.0,-0.008442882789995164,0.0,0.08575451841692353,0.0,0.08651069803939072,0.0,0.07414321300468486,0.0,0.07792601018215486,0.17543859649122806,0.1397305630389091,0.2,0.08694426205444557,0.5573770491803278,0.10716077972230034,0.0,0.08991087850005205,0.0,0.10436144490073256,0.0,0.14751402481978962,0,0
2,1500,0.096,0.0,-0.002884402041269158,0.0,0.11352605107714817,0.0,0.0746637116800189,0.0,0.07760863336748408,0.0,0.1313702345791566,0.7959183673469388,0.09411641414434883,0.18,0.09044871405686156,0.0,0.10464291535619995,0.0,0.10018902415200232,0.0,0.1105621768721533,0.0,0.10287183819346563,0,0
3,2000,0.122,0.0,-0.00021416886531511726,0.0,0.1128737234755232,0.0,0.0822022278458211,0.0,0.11315113146625126,0.0,0.09199096773913695,0.0,0.07898133589979886,1.0,0.1400842437553798,0.0,0.08207032490162638,0.0,0.11831767049868519,0.0,0.09330127070117016,0.0,0.08702710183402462,0,0
4,2500,0.102,0.0,-0.0001915734416837139,0.0,0.07501667401951395,0.0,0.12062828625741702,0.0,0.11009590725983731,0.0,0.10183003283885027,0.0,0.0925519169462429,1.0,0.09470413428061988,0.0,0.08921755263080702,0.0,0.10958439122009553,0.0,0.10736424864283944,0.0,0.0990068558914072,0,0
5,3000,0.098,0.0,-0.00023508851304298111,0.0,0.09537868913164053,0.0,0.12395232582143492,0.0,0.10965395680557559,0.0,0.09470708152742018,0.0,0.05566178869274879,1.0,0.0821254452193677,0.0,0.06507942602858442,0.0,0.0943084247102622,0.0,0.10329001684982597,0.0,0.17584284521305849,0,0
6,3500,0.096,0.0,-0.0001903016945702119,1.0,0.11184889864798458,0.0,0.12629287972591835,0.0,0.08775518578360776,0.0,0.10771595796033519,0.0,0.06706756075951653,0.0,0.07253866941602873,0.0,0.14175222244075045,0.0,0.08515902987401566,0.0,0.11903005258878933,0.0,0.0808395428030528,0,0
7,4000,0.082,0.0,-0.00019175789693884188,1.0,0.10704440581285511,0.0,0.11814903001503188,0.0,0.0962039574183572,0.0,0.09212110076295262,0.0,0.10985058211965743,0.0,0.12694439933281543,0.0,0.09689149428673309,0.0,0.09152871386846485,0.0,0.09522182109708545,0.0,0.06604449528604679,0,0
8,4500,0.098,0.0,-0.00027058317327524763,1.0,0.10585286415520291,0.0,0.1331658193259243,0.0,0.12069940843801613,0.0,0.10295006316166642,0.0,0.09303699333845909,0.0,0.057975925975497555,0.0,0.11236862087721801,0.0,0.11099109666447372,0.0,0.08963414561593001,0.0,0.07332506244761176,0,0
9,5000,0.1,0.0,-0.00020448625052233303,1.0,0.07787376578341873,0.0,0.10175829513664565,0.0,0.09729844562575245,0.0,0.08565795200903513,0.0,0.10693882208800819,0.0,0.12840270882637253,0.0,0.15056647330986922,0.0,0.08435268323908617,0.0,0.06950445038313405,0.0,0.0976464035986779,0,0
10,5500,0.09,0.0,-0.0001494728882558242,1.0,0.0844545607550271,0.0,0.11332213341894325,0.0,0.08302265992082251,0.0,0.07081371560826055,0.0,0.12122319935883362,0.0,0.07296847762478854,0.0,0.11285278612472402,0.0,0.12940546651470583,0.0,0.07839347757775564,0.0,0.13354352309613887,0,0
11,6000,0.114,0.0,-0.00017610324165429056,1.0,0.10804324155534717,0.0,0.11702664535274546,0.0,0.08269499182777958,0.0,0.09127463011430391,0.0,0.12239834426837344,0.0,0.10678490695334622,0.0,0.07921530786207702,0.0,0.06851979702379728,0.0,0.11651747325006956,0.0,0.10752466179216039,0,0
12,6500,0.096,0.0,-0.00018587525115287075,1.0,0.07207777946030094,0.0,0.09220911473015427,0.0,0.07855009587815735,0.0,0.0942327846504693,0.0,0.11351853193745266,0.0,0.04808596759799655,0.0,0.11828060461617808,0.0,0.09774158774100901,0.0,0.15807785190104853,0.0,0.12722568148723326,0,0
13,7000,0.102,0.0,-0.0002717887711137483,1.0,0.10091798073803263,0.0,0.09507889215295004,0.0,0.08578565210331003,0.0,0.0890306602554097,0.0,0.08334383775453455,0.0,0.10371967677591569,0.0,0.12266084765607228,0.0,0.15580504469143144,0.0,0.0811168857529648,0.0,0.08254052211937876,0,0
14,7500,0.12,0.0,-0.0002000400080015953,0.0,0.13333274355812813,0.0,0.09628560983385864,0.0,0.08731714803008382,0.0,0.12052888777611002,1.0,0.07732845403530553,0.0,0.09151326774311037,0.0,0.09478895645980788,0.0,0.11013558405108301,0.0,0.08529407220641554,0.0,0.10347527630609728,0,0
15,8000,0.096,0.0,-0.00022571465242155955,0.0,0.09447028331571793,0.0,0.11348715149634214,0.0,0.07913170600310043,0.0,0.11931968084741594,1.0,0.08552100088239795,0.0,0.07214307195714655,0.0,0.1359284392708933,0.0,0.10898122439935928,0.0,0.07599387694190694,0.0,0.11502356488571958,0,0
16,8500,0.084,0.0,-0.0035144918009798382,0.19047619047619047,0.07980439089411254,0.0,0.08729914309526683,0.0,0.08713690032813388,0.0,0.11468747560031264,0.7727272727272727,0.0861406303139784,0.0,0.10661890853871207,0.0,0.10270586887794449,0.0,0.11272930789539534,0.0,0.10679102823881544,0.0,0.11608634621732841,0,0
17,9000,0.106,0.0,-0.00019243075849045396,1.0,0.12326122849936193,0.0,0.12721780874711472,0.0,0.07396526012621288,0.0,0.09248246552437608,0.0,0.04976119360461813,0.0,0.11143058088850682,0.0,0.08595466093276319,0.0,0.12151218508564936,0.0,0.12035494672950504,0.0,0.09405966986189183,0,0
18,9500,0.102,0.0,-0.00017820547090794962,1.0,0.10283447099020139,0.0,0.13601949803703073,0.0,0.0751266300044238,0.0,0.13181073199930785,0.0,0.09527128697073396,0.0,0.06245553109820383,0.0,0.10435798868149335,0.0,0.06998701035507154,0.0,0.1096085803649244,0.0,0.11252827149860907,0,0
19,10000,0.11,0.0,-0.00023825900102047212,1.0,0.10713236504822854,0.0,0.09266113288311409,0.0,0.10485508148864074,0.0,0.11402396548465009,0.0,0.09235964855701871,0.0,0.08204946777953968,0.0,0.10963687833498739,0.0,0.08964529881593826,0.0,0.10412093065479197,0.0,0.10351523095309038,0,0
20,10500,0.102,0.0,-0.00024950544456523897,1.0,0.07729482651685103,0.0,0.09082653828919905,0.0,0.12223744530580609,0.0,0.12411432359245571,0.0,0.1160376859074751,0.0,0.07856882449378193,0.0,0.07256640907601532,0.0,0.12796122263152215,0.0,0.10290271012436467,0.0,0.08749001406252904,0,0
21,11000,0.1,0.0,-0.00020448625052233303,1.0,0.10229148459581797,0.0,0.10312356141787204,0.0,0.07648713432528768,0.0,0.11814028405212103,0.0,0.10258802240552306,0.0,0.07297177141191037,0.0,0.0846963854651347,0.0,0.1295505499833483,0.0,0.11960863744608288,0.0,0.09054216889690195,0,0
22,11500,0.076,0.0,-0.00024248302618816895,1.0,0.06453974109302806,0.0,0.12021816451310864,0.0,0.10608194985148389,0.0,0.09288693060101175,0.0,0.10480526446728115,0.0,0.12353898524470412,0.0,0.10087466760754994,0.0,0.11374286480421333,0.0,0.07084715655977325,0.0,0.10246427525784589,0,0
23,12000,0.074,0.0,-0.00020306498511576187,1.0,0.05302989078773342,0.0,0.12281170693174158,0.0,0.09331597608944518,0.0,0.09965795222465104,0.0,0.0766945389488345,0.0,0.09967306811975261,0.0,0.10443204314039141,0.0,0.10225560862680622,0.0,0.11897123808610845,0.0,0.12915797704453558,0,0
24,12500,0.076,0.0,-0.00018185124568103453,1.0,0.06822674280782036,0.0,0.14530308339550235,0.0,0.09098941071170451,0.0,0.09958152665139432,0.0,0.08273871192651328,0.0,0.09621621762600702,0.0,0.13407287436698895,0.0,0.045728334672682516,0.0,0.08855645331431161,0.0,0.14858664452707507,0,0
25,13000,0.108,0.0,-0.00017940437746680288,1.0,0.10976668990720602,0.0,0.11887379984638848,0.0,0.11356406667869542,0.0,0.0908173659079031,0.0,0.09195123127541882,0.0,0.10484939444612179,0.0,0.08653073241528628,0.0,0.11101860755593242,0.0,0.09508945599876771,0.0,0.07753865596827986,0,0
26,13500,0.106,0.0,-0.00020585892398435876,1.0,0.0677600649570449,0.0,0.09445047724515915,0.0,0.11301415366015197,0.0,0.10473867889432222,0.0,0.09615281479724054,0.0,0.12001235728010519,0.0,0.11928892409574364,0.0,0.09175285690995735,0.0,0.10490809324628696,0.0,0.08792157891398812,0,0
27,14000,0.114,0.0,-0.0002528856053900783,1.0,0.12656319308641578,0.0,0.12918481371907137,0.0,0.07916253986411796,0.0,0.10669652629379082,0.0,0.09936752668040288,0.0,0.09692883174295408,0.0,0.10824190890865258,0.0,0.06153313496126001,0.0,0.09084523475998255,0.0,0.10147628998335191,0,0
28,14500,0.086,0.0,-0.0002626510243389994,1.0,0.09189900831528956,0.0,0.10755662856122923,0.0,0.12471519721751076,0.0,0.06182264087966114,0.0,0.08452962589631685,0.0,0.09470857380655591,0.0,0.09923401128100817,0.0,0.11810341131408966,0.0,0.09792125327188038,0.0,0.11950964945645842,0,0
29,15000,0.116,0.0,-0.0002172417538650903,1.0,0.08258947899087776,0.0,0.10174145315744071,0.0,0.0782023565891074,0.0,0.05661103232034636,0.0,0.09325836023824897,0.0,0.1393816201791843,0.0,0.10623740047031596,0.0,0.12437302010094343,0.0,0.13797154245167217,0.0,0.0796337355018629,0,0
30,15500,0.09,0.0,-0.0001494728882558242,1.0,0.06608608734323744,0.0,0.11893874594985078,0.0,0.06693902046176554,0.0,0.1339127290222772,0.0,0.11302932842686737,0.0,0.10651053873910561,0.0,0.0987532263834876,0.0,0.10289697233050828,0.0,0.10499500658540448,0.0,0.08793834475749575,0,0
31,16000,0.096,0.0,-0.007448880884771915,0.6730769230769231,0.13614591663020764,0.0,0.09952982061034076,0.2653061224489796,0.09963409531165243,0.0,0.07949021986888273,0.0,0.12139124487685883,0.0,0.11758366439387842,0.0,0.08705585279549242,0.0,0.10086044537881599,0.0,0.08866285972157634,0.0,0.06964588041229455,0,0
32,16500,0.082,0.0,0.0020654418958582594,0.08771929824561403,0.1155380740212011,0.0,0.09114126262833308,0.9230769230769231,0.0733640962077046,0.0,0.1348287947368909,0.0,0.09262300599283818,0.0,0.08861285973716954,0.0,0.105067589433903,0.0,0.14361175849902685,0.0,0.08415249202699247,0.0,0.0710600667159403,0,0
33,17000,0.12,0.0,-0.00019549275540219847,1.0,0.14050010080276817,0.0,0.11969214058586539,0.0,0.0882249151693149,0.0,0.0853428737674442,0.0,0.08389964782311166,0.0,0.08653950893506845,0.0,0.08228371637586422,0.0,0.10132539547994174,0.0,0.1055731456413812,0.0,0.10661855541924012,0,0
34,17500,0.11,0.0,-0.0002517487547427689,1.0,0.07776059094573526,0.0,0.08957279763951793,0.0,0.12443410588854611,0.0,0.14598128293267956,0.0,0.05025615461905765,0.0,0.10791317478522222,0.0,0.06857565503907385,0.0,0.07102852654010701,0.0,0.0928037216559255,0.0,0.17167398995413488,0,0
35,18000,0.09,0.0,-0.00018464947374900145,1.0,0.07189901267276923,0.0,0.12413151619179677,0.0,0.10406550800783711,0.0,0.1027010733931121,0.0,0.10073093788051139,0.0,0.11611233817942833,0.0,0.11320498435274512,0.0,0.060432454099608464,0.0,0.13136135949012373,0.0,0.0753608157320678,0,0
36,18500,0.096,0.0,-0.00019472817716723124,1.0,0.0757584336864137,0.0,0.12488477020900644,0.0,0.07127147740098602,0.0,0.0956749461098499,0.0,0.09680944972329414,0.0,0.11318420941188392,0.0,0.1214345327067874,0.0,0.09371379381257353,0.0,0.11207213438152656,0.0,0.0951962525576785,0,0
37,19000,0.088,0.0,-0.00019301970555720798,1.0,0.08880307352432457,0.0,0.07445974377504902,0.0,0.10281027754013776,0.0,0.1002934041559876,0.0,0.09026361600212505,0.0,0.12328108857556583,0.0,0.09331406998847042,0.0,0.11423636214443277,0.0,0.128149553981476,0.0,0.08438881031243102,0,0
38,19500,0.12,0.0,-0.00023187193394831967,1.0,0.1227000232109711,0.0,0.11564409025473546,0.0,0.10919992706189728,0.0,0.08047352255466161,0.0,0.053607469098500074,0.0,0.12920952842865713,0.0,0.06433143249409315,0.0,0.1027961904113716,0.0,0.07351439632790864,0.0,0.1485234201572039,0,0
39,20000,0.082,0.0,-0.00019611688566385525,1.0,0.08490367423394626,0.0,0.07777613607311264,0.0,0.10215527956436259,0.0,0.12348463885397686,0.0,0.1400002101289371,0.0,0.08235871332973566,0.0,0.0856759889903076,0.0,0.12103684901466547,0.0,0.11409257887890512,0.0,0.06851593093205074,0,0
40,20500,0.102,0.0,-0.00025841865604476447,1.0,0.11305588224274236,0.0,0.09611865582085083,0.0,0.15933394861329206,0.0,0.11231264416536715,0.0,0.10138462818308523,0.0,0.0891494784502515,0.0,0.058695149639211484,0.0,0.08309709727361383,0.0,0.09819200307372912,0.0,0.08866051253785645,0,0
41,21000,0.104,0.0,-0.00021433164249481777,1.0,0.08771421958748901,0.0,0.10710470339928915,0.0,0.08894403426898975,0.0,0.06762733483383591,0.0,0.10747957394520337,0.0,0.10340618233212578,0.0,0.11296106542890644,0.0,0.08263101864453061,0.0,0.10216463073922258,0.0,0.13996723682040743,0,0
42,21500,0.12,0.0,-0.0002364195173404621,1.0,0.10774823950060629,0.0,0.11144860535909172,0.0,0.1240461011426505,0.0,0.0840035322491669,0.0,0.10525051942298407,0.0,0.08072881296548085,0.0,0.12795545721048893,0.0,0.07497572815951245,0.0,0.09541578408370038,0.0,0.08842721990631783,0,0
43,22000,0.088,0.0,-0.00020179509901120798,1.0,0.075392419329937,0.0,0.08862790649599979,0.0,0.0693905241933839,0.0,0.09148358790645347,0.0,0.13048294705714342,0.0,0.11493843627223552,0.0,0.13459000106286576,0.0,0.11779276802237727,0.0,0.10713560324681443,0.0,0.07016580641278944,0,0
44,22500,0.114,0.0,-0.00027095375722543816,1.0,0.07668256294855719,0.0,0.09680057951135111,0.0,0.12799059614937303,0.0,0.11083873927710056,0.0,0.1034860807411373,0.0,0.08611739409475994,0.0,0.11463093578253922,0.0,0.11734570471104686,0.0,0.07305601211304454,0.0,0.09305139467109012,0,0
45,23000,0.12,0.0,-0.00023187193394831967,1.0,0.11728343458238161,0.0,0.11907030009215923,0.0,0.12569917381779547,0.0,0.1266338166565047,0.0,0.06207625246400944,0.0,0.0949643949546354,0.0,0.08821574166378189,0.0,0.10583928889258952,0.0,0.062018158686437286,0.0,0.09819943818970546,0,0
46,23500,0.106,0.0,-0.00023271633668683523,1.0,0.09344618046109833,0.0,0.08589641992366484,0.0,0.11745206462217217,0.0,0.11116870032347259,0.0,0.08870462471894636,0.0,0.11312551592583389,0.0,0.098737741766477,0.0,0.1015078732928383,0.0,0.12850141217911826,0.0,0.061459466786378376,0,0
47,24000,0.102,0.0,-0.0001826614214622687,1.0,0.09253497606001469,0.0,0.0976556744941541,0.0,0.09195709317421163,0.0,0.12637193501098154,0.0,0.11740002397763294,0.0,0.09727972730385696,0.0,0.08404244748743371,0.0,0.10164640259856114,0.0,0.06433119512208625,0.0,0.126780524771067,0,0
48,24500,0.104,0.0,-0.00028132912381607575,1.0,0.09657006399397784,0.0,0.08475663500858453,0.0,0.1174719883271814,0.0,0.07207482910953505,0.0,0.1029246392692709,0.0,0.11078544233193036,0.0,0.1164747199683476,0.0,0.11182285243355852,0.0,0.07798455362573528,0.0,0.10913427593187856,0,0
49,25000,0.102,0.0,-0.0002450488983938136,1.0,0.11066922884746973,0.0,0.05188246239766156,0.0,0.13432563953265117,0.0,0.1223195581326838,0.0,0.15969699764611064,0.0,0.08198205224270619,0.0,0.06793519849675718,0.0,0.09691733424216674,0.0,0.10654257540632533,0.0,0.06772895305546776,0,0
