,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.705685618729097,0.701922230464366,0.6830803757721746,0.8431372549019608,0.15370886858542177,0.7419354838709677,0.21034896647915746,0.5901639344262295,0.23334557188141802,0.6,0.2197488464054971,0.7692307692307693,0.1762108950905109,0,0
1,1000,0.896,0.8965650380835949,0.8697146751385533,0.9887640449438202,0.17226521645631415,0.8953488372093024,0.15206922318683969,0.8037383177570093,0.22667482509335454,0.9380530973451328,0.19707165822235237,0.8679245283018868,0.2518754697205222,0,0
2,1500,0.946,0.9447627191021672,0.9323786196222218,0.9809523809523809,0.18818976275716703,0.93,0.20897886794664075,0.9090909090909091,0.18456512820121035,0.9805825242718447,0.20483193950820228,0.925531914893617,0.21343401506561901,0,0
3,2000,0.914,0.9118856457569655,0.8924510652346819,0.9891304347826086,0.19507595132134437,0.99,0.20514209920538823,0.7596153846153846,0.21906557965517867,0.9363636363636364,0.20038799540031166,0.9052631578947369,0.18032837253519482,0,0
4,2500,0.978,0.9782746467754505,0.9724647548862544,0.9895833333333334,0.19564496027693107,1.0,0.21192594009868762,0.9622641509433962,0.18725605122686284,0.9789473684210527,0.19880194385090255,0.9611650485436893,0.20637110453424665,0,0
5,3000,0.982,0.981662139103614,0.9774455309572617,0.9907407407407407,0.21933101495307541,1.0,0.2043610383329957,0.967032967032967,0.13778723391211653,0.9789473684210527,0.1593878507388465,0.9719626168224299,0.2791328620628842,0,0
6,3500,0.95,0.9463362622832717,0.9371448685070649,0.981651376146789,0.2381417783739029,0.9519230769230769,0.19547114374394295,0.8961038961038961,0.1396062301755452,0.9811320754716981,0.22691125231476617,0.9238095238095239,0.19986959539184224,0,0
7,4000,0.982,0.9822432612252084,0.9774380674952745,1.0,0.22519343582788703,0.9891304347826086,0.18832505818130996,0.9642857142857143,0.23679498145247294,0.990909090909091,0.18842020815519797,0.967391304347826,0.16126631638313219,0,0
8,4500,0.978,0.9765993379374827,0.9724065963285722,1.0,0.2390186834811272,0.9734513274336283,0.22364947159968268,1.0,0.15101291931395672,0.9904761904761905,0.22335971754169168,0.9213483146067416,0.16295920806354172,0,0
9,5000,0.928,0.9238378227029816,0.9098146691450932,0.99,0.1796320609200644,0.9807692307692307,0.18295639763478763,0.8666666666666667,0.23534153091438068,0.9702970297029703,0.23491915654895532,0.8241758241758241,0.16715085398181204,0,0
