,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.17725752508361203,0.0,0.1553090761174478,0.3333333333333333,0.05700390503885849,0.15,0.04792999588233027,0.0625,0.04877496766423307,0.42857142857142855,0.09595629000587996,0.20833333333333334,0.07201700290086778,0.0,0.04237567357240971,0.0,0.10279259354974676,0.5,0.059320036844489575,0.36363636363636365,0.07123294148718179,0.2,0.06770786161777914,0.15,0.07757163694884847,0.0,0.07446934783886945,0.0,0.07086799310105484,0.14285714285714285,0.05237037787262214,0.09523809523809523,0.05297252411683393,0,0
1,1000,0.236,0.0,0.18085517004760476,0.375,0.05035363345426721,0.17142857142857143,0.05843061574900707,0.03333333333333333,0.06348096725303994,0.5,0.0454911448424377,0.1388888888888889,0.059030470983476586,0.0,0.04754760736092551,0.2972972972972973,0.09832754475731005,0.5757575757575758,0.05946901955108318,0.13513513513513514,0.06887826078496141,0.34210526315789475,0.060948237207387464,0.1794871794871795,0.07109707395130772,0.1388888888888889,0.06502634706365715,0.0,0.0749617309336586,0.32142857142857145,0.07513455637631489,0.38095238095238093,0.10177918241054859,0,0
2,1500,0.23,0.16453353633959875,0.1771499895273635,0.2571428571428571,0.06782239473466749,0.02631578947368421,0.06946392197634166,0.1875,0.050903446046157846,0.038461538461538464,0.04117655626101642,0.25,0.07869304354942298,0.10526315789473684,0.08910926813620128,0.32432432432432434,0.06750111595463187,0.5882352941176471,0.07069713383237793,0.17857142857142858,0.04636687841420062,0.34210526315789475,0.07802580888375653,0.037037037037037035,0.05145256473136552,0.3684210526315789,0.0753535658930803,0.06666666666666667,0.07870896015356893,0.4230769230769231,0.05356601122055406,0.30434782608695654,0.08115904369149599,0,0
3,2000,0.284,0.0,0.23069319270920627,0.3333333333333333,0.08931571899786482,0.0,0.05915947319289749,0.3125,0.04660075913058191,0.10344827586206896,0.07557313239869735,0.2619047619047619,0.08154936277286937,0.3793103448275862,0.048019604033821515,0.46153846153846156,0.06297302559544608,0.5897435897435898,0.06853866816604927,0.28205128205128205,0.08755388589368318,0.14705882352941177,0.044796420690942106,0.1951219512195122,0.09419960385674946,0.37142857142857144,0.061391970852620034,0.2222222222222222,0.06226135417700985,0.27586206896551724,0.05242162647055131,0.3076923076923077,0.06564539188763366,0,0
4,2500,0.278,0.24784465871230327,0.22609579261939777,0.4642857142857143,0.0481171921059939,0.3125,0.0731070266076615,0.1388888888888889,0.07442074156327551,0.17857142857142858,0.05747180591292709,0.2894736842105263,0.0894074019799141,0.34285714285714286,0.06504673220584643,0.5483870967741935,0.06449283838285245,0.2702702702702703,0.04998393462464023,0.21052631578947367,0.07277927821937011,0.1935483870967742,0.05267969603533691,0.08333333333333333,0.08181503244726376,0.39285714285714285,0.06430721536830186,0.21621621621621623,0.0909396046601768,0.125,0.03066774064073365,0.42857142857142855,0.08476375923333616,0,0
5,3000,0.524,0.5137085309953423,0.4889786874052571,0.3333333333333333,0.06309616113914601,0.6904761904761905,0.08143483698226284,0.5666666666666667,0.07480001683166657,0.42105263157894735,0.09739313577602163,0.4857142857142857,0.04837082540655348,0.48148148148148145,0.058597077150420666,0.5,0.03042386349340756,0.53125,0.0458667680052727,0.5483870967741935,0.061496602413436234,0.4166666666666667,0.03908338722876057,0.55,0.06814665898722293,0.6129032258064516,0.052157804522863074,0.6857142857142857,0.06138281913409663,0.6129032258064516,0.08928639897040162,0.4146341463414634,0.1284636439583861,0,0
6,3500,0.236,0.0,0.17544109584310066,0.0,0.06771543334239828,0.3783783783783784,0.09100152969322237,0.4186046511627907,0.07942481533828231,0.14285714285714285,0.052790753431355794,0.2,0.062171648948007675,0.3055555555555556,0.08050874136457953,0.11538461538461539,0.04405697568983874,0.125,0.04374823946498806,0.2222222222222222,0.051801015020718426,0.35,0.07361751231064273,0.17073170731707318,0.1061512138300583,0.12,0.04714252617406511,0.23255813953488372,0.09036970948010917,0.34210526315789475,0.05329407830885821,0.20833333333333334,0.05620580760287481,0,0
7,4000,0.284,0.0,0.23127796816889545,0.0,0.07120696625545685,0.41379310344827586,0.05946082637601108,0.5263157894736842,0.09452564319641911,0.0,0.08095691196774885,0.4,0.03641093010951032,0.41935483870967744,0.07095721610405073,0.24242424242424243,0.058727088505618565,0.5897435897435898,0.09749297954051002,0.15,0.08057491340634428,0.42857142857142855,0.09070750264169733,0.08823529411764706,0.050655514648223134,0.2647058823529412,0.04705719086527735,0.21212121212121213,0.07580530845750337,0.37037037037037035,0.042279709236814116,0.0625,0.04318129868881477,0,0
8,4500,0.274,0.0,0.22011627357375815,0.0,0.07181113187060163,0.34375,0.0674558950042751,0.41025641025641024,0.09975165660625054,0.0,0.060293987428227724,0.275,0.09553334496421577,0.4594594594594595,0.0678221392072391,0.34615384615384615,0.051640055832272554,0.36363636363636365,0.05642227632994965,0.125,0.042950587151734484,0.3684210526315789,0.08012954902201232,0.34375,0.06067811304570133,0.3142857142857143,0.08255205547397805,0.11764705882352941,0.06851919267054869,0.38461538461538464,0.0457390601583415,0.27586206896551724,0.04870095523465162,0,0
9,5000,0.276,0.0,0.22225802986357293,0.06060606060606061,0.051990557003392494,0.28125,0.06124250335326653,0.4857142857142857,0.06639900056340538,0.0,0.04533781958711997,0.3142857142857143,0.08295976151649612,0.2972972972972973,0.05465881653117148,0.35294117647058826,0.08467346266173922,0.4166666666666667,0.08005747229442767,0.2,0.07061059595821366,0.358974358974359,0.09075964384358151,0.3333333333333333,0.09104719592365991,0.3793103448275862,0.05311231678171384,0.037037037037037035,0.04433008396603986,0.3611111111111111,0.0579791814178354,0.17857142857142858,0.0648415885979367,0,0
10,5500,0.446,0.4276427278513708,0.40466979591134955,0.37037037037037035,0.040240192204187196,0.5526315789473685,0.0817412139526229,0.3333333333333333,0.07579528801716022,0.3,0.05667640609699373,0.5882352941176471,0.049974635414719484,0.59375,0.0471853340173699,0.43243243243243246,0.06789062576766756,0.4358974358974359,0.07531883753871348,0.5151515151515151,0.05098221367724118,0.5,0.08441992176335146,0.41025641025641024,0.06692596233861457,0.5,0.09091236853746382,0.27586206896551724,0.051208689198894264,0.40625,0.0912415887534932,0.36666666666666664,0.06948672272150704,0,0
11,6000,0.43,0.366062655500387,0.3869886732714156,0.4473684210526316,0.06785458390198004,0.4166666666666667,0.07111238720762134,0.6666666666666666,0.08610291579849125,0.05,0.041783115181897056,0.5128205128205128,0.08744490538190379,0.24,0.04474160137828267,0.5428571428571428,0.07501855667361439,0.46875,0.06632350258145964,0.2777777777777778,0.08784119196664565,0.5172413793103449,0.042662368713459194,0.2571428571428571,0.06247722011598156,0.6111111111111112,0.042595516056433524,0.35714285714285715,0.06147526831593084,0.47058823529411764,0.07941621252764954,0.38461538461538464,0.0831506541986496,0,0
12,6500,0.352,0.3377958157686153,0.30557936970611427,0.44,0.037648752262517925,0.4418604651162791,0.05104828257383004,0.2903225806451613,0.0755898593541073,0.17647058823529413,0.07534368690749034,0.44,0.03766061298847384,0.3333333333333333,0.059778580632662524,0.36363636363636365,0.08575198849239972,0.38235294117647056,0.04946585893971717,0.32142857142857145,0.026386652103332336,0.40625,0.08267163176590442,0.22580645161290322,0.06120383289899116,0.6176470588235294,0.07214672769229145,0.3333333333333333,0.11030061666121731,0.22580645161290322,0.08685225726928121,0.3055555555555556,0.08815065945778326,0,0
13,7000,0.448,0.41863057308897,0.40736923473331615,0.5135135135135135,0.07903920495097005,0.4878048780487805,0.06715321315742222,0.6129032258064516,0.049804454782590254,0.32,0.03622920658291955,0.5833333333333334,0.07268758522975767,0.5384615384615384,0.06589952054604249,0.4857142857142857,0.07066923993781653,0.6176470588235294,0.06275339349595407,0.25,0.05364088109667961,0.45,0.08514574709041095,0.19047619047619047,0.09389085414138472,0.38235294117647056,0.09942929111570811,0.5333333333333333,0.05021639103244918,0.5428571428571428,0.0558069883416376,0.1935483870967742,0.05763402849825677,0,0
14,7500,0.34,0.3244753483650631,0.2932044823686646,0.37209302325581395,0.10522512623352505,0.4375,0.04955177613742684,0.5714285714285714,0.0748414510210349,0.2,0.07406579122850583,0.36363636363636365,0.06862256584498236,0.2972972972972973,0.06515767873270566,0.32558139534883723,0.05245851449683188,0.46153846153846156,0.05079301673165354,0.14634146341463414,0.06559019054993043,0.3793103448275862,0.06629472013499176,0.14285714285714285,0.04074440684415102,0.35,0.097885413531748,0.2916666666666667,0.037996482619475205,0.4482758620689655,0.0695683557128403,0.42424242424242425,0.08120451018019728,0,0
15,8000,0.426,0.40664455047421605,0.38425494848767006,0.38461538461538464,0.05754932150222518,0.375,0.043247106658395616,0.6153846153846154,0.10716100665143934,0.19444444444444445,0.06411698427110034,0.47368421052631576,0.05796325679935111,0.42857142857142855,0.07637114578006493,0.5588235294117647,0.06386464107396354,0.3333333333333333,0.05351888679474267,0.46875,0.04028054497083819,0.5294117647058824,0.08787210764633428,0.325,0.09756787747751129,0.5714285714285714,0.05946967854640693,0.27586206896551724,0.05889938386098478,0.38235294117647056,0.07095883294315596,0.43333333333333335,0.06115922502348575,0,0
