,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5618729096989966,0.44498340228556016,0.5325846647950547,15489440,4.24507474899292,0.8222222222222222,0.1553867664621941,0.631578947368421,0.19158433504024877,0.11627906976744186,0.12356933274491434,0.25,0.1552773893936473,0.6,0.15271773365260966,0.8571428571428571,0.21482759114839114,0,0
1,1000,0.454,0.0,0.34239051886110705,15574208,10.534076690673828,0.89,0.17837715997971215,0.6623376623376623,0.13691434465531355,0.0,0.19135673792654295,0.21621621621621623,0.1080737465031356,0.0,0.21081380593684645,0.8674698795180723,0.17442059767783255,0,0
2,1500,0.414,0.0,0.29386360240423776,15654440,16.64605689048767,0.9333333333333333,0.12367311815404895,0.0967741935483871,0.19825469865466602,0.5959595959595959,0.1975141473576068,0.0,0.16831237035048555,0.023529411764705882,0.1518236520752634,0.9577464788732394,0.1604217268867685,0,0
3,2000,0.356,0.0,0.22472407881811352,16029640,22.583730459213257,0.9555555555555556,0.18583152449299714,0.0,0.16181817438048923,0.525,0.1514687389224687,0.0,0.12298439166851383,0.17647058823529413,0.14766904674342465,0.3956043956043956,0.23022812190952394,0,0
4,2500,0.33,0.0,0.18723251458129136,16333384,28.602181673049927,0.90625,0.2319672954015782,0.6063829787234043,0.1821122279114181,0.3142857142857143,0.11330838446534752,0.0,0.15357448213723587,0.0,0.172755283539506,0.0,0.14628232653254475,0,0
5,3000,0.322,0.0,0.17977653144673872,16730336,35.86692571640015,0.9411764705882353,0.20324293394384757,0.9425287356321839,0.18125948202903866,0.0,0.14137804839876825,0.0,0.15511914752895464,0.0,0.14310313006584652,0.0,0.17589725803346276,0,0
6,3500,0.414,0.2858308942295656,0.28712543672690816,26171904,43.64003896713257,0.9390243902439024,0.10969401219822227,0.7291666666666666,0.19623710172585884,0.11363636363636363,0.17184281913791877,0.09210526315789473,0.14346882698734176,0.3157894736842105,0.19125542345040483,0.24096385542168675,0.18750181650025283,0,0
7,4000,0.634,0.6168895138685562,0.5608899297423887,39160048,50.16046857833862,0.8080808080808081,0.22764943504868487,0.6,0.1577466436250667,0.45263157894736844,0.1832270743369928,0.44155844155844154,0.13537630687329166,0.7746478873239436,0.17506006089328283,0.7341772151898734,0.12094047922268117,0,0
8,4500,0.606,0.5750801897144492,0.5253904085497183,39164464,57.01538610458374,0.863013698630137,0.12964030567250973,0.5777777777777777,0.1331067358460072,0.4175824175824176,0.19992463605130023,0.3333333333333333,0.1559004760633179,0.6551724137931034,0.19521288129412254,0.7954545454545454,0.18621496507274243,0,0
9,5000,0.624,0.59438499987438,0.5493227855687403,39408192,63.68091297149658,0.925,0.16948906210151668,0.45977011494252873,0.13759459721164463,0.40789473684210525,0.12379966459442793,0.4,0.24067555650569936,0.8170731707317073,0.2012213223794662,0.7777777777777778,0.12721979720724536,0,0
