,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.6153846153846154,0.5844329923134224,0.5905297725802358,3800720,1.0821876525878906,0.5111111111111111,0.1553867664621941,0.7017543859649122,0.19158433504024877,0.3488372093023256,0.12356933274491434,0.6041666666666666,0.1552773893936473,0.82,0.15271773365260966,0.6428571428571429,0.21482759114839114,0,0
1,1000,0.608,0.5918012302690271,0.5298068849706129,5226712,2.576777458190918,0.7,0.17837715997971215,0.6883116883116883,0.13691434465531355,0.33707865168539325,0.19135673792654295,0.6486486486486487,0.1080737465031356,0.7051282051282052,0.21081380593684645,0.5783132530120482,0.17442059767783255,0,0
2,1500,0.626,0.6095247915295983,0.5506730293287968,7125608,4.125942945480347,0.68,0.12367311815404895,0.6989247311827957,0.19825469865466602,0.35353535353535354,0.1975141473576068,0.5256410256410257,0.16831237035048555,0.8588235294117647,0.1518236520752634,0.676056338028169,0.1604217268867685,0,0
3,2000,0.638,0.6228591777967877,0.5645668041127988,7508088,5.554912328720093,0.7111111111111111,0.18583152449299714,0.6235294117647059,0.16181817438048923,0.4625,0.1514687389224687,0.5571428571428572,0.12298439166851383,0.788235294117647,0.14766904674342465,0.6483516483516484,0.23022812190952394,0,0
4,2500,0.656,0.6388227822320659,0.5864310926875247,9470168,6.98441481590271,0.7708333333333334,0.2319672954015782,0.6702127659574468,0.1821122279114181,0.5285714285714286,0.11330838446534752,0.47058823529411764,0.15357448213723587,0.7777777777777778,0.172755283539506,0.68,0.14628232653254475,0,0
5,3000,0.68,0.6696205481211924,0.6156765533873308,11990312,8.506582975387573,0.8705882352941177,0.20324293394384757,0.6896551724137931,0.18125948202903866,0.5542168674698795,0.14137804839876825,0.5625,0.15511914752895464,0.7435897435897436,0.14310313006584652,0.6477272727272727,0.17589725803346276,0,0
6,3500,0.656,0.6395196662791076,0.5873934299600347,9804296,10.183265209197998,0.926829268292683,0.10969401219822227,0.6458333333333334,0.19623710172585884,0.45454545454545453,0.17184281913791877,0.5394736842105263,0.14346882698734176,0.7894736842105263,0.19125542345040483,0.5903614457831325,0.18750181650025283,0,0
7,4000,0.702,0.6904906049303408,0.6409863478432676,10266160,11.535873174667358,0.8383838383838383,0.22764943504868487,0.625,0.1577466436250667,0.7157894736842105,0.1832270743369928,0.6753246753246753,0.13537630687329166,0.676056338028169,0.17506006089328283,0.6329113924050633,0.12094047922268117,0,0
8,4500,0.658,0.6511448170194358,0.58850509435506,12422824,12.928337335586548,0.821917808219178,0.12964030567250973,0.7111111111111111,0.1331067358460072,0.5824175824175825,0.19992463605130023,0.5277777777777778,0.1559004760633179,0.6436781609195402,0.19521288129412254,0.6590909090909091,0.18621496507274243,0,0
9,5000,0.674,0.6691584018122282,0.6086359401861262,14818896,14.490761518478394,0.8625,0.16948906210151668,0.6896551724137931,0.13759459721164463,0.618421052631579,0.12379966459442793,0.5894736842105263,0.24067555650569936,0.6707317073170732,0.2012213223794662,0.6172839506172839,0.12721979720724536,0,0
10,5500,0.716,0.7091366965057003,0.65808508384139,15049872,16.05116295814514,0.8850574712643678,0.1824522187544182,0.7252747252747253,0.15587036757893064,0.5882352941176471,0.17216293687773157,0.6923076923076923,0.1551066569942406,0.651685393258427,0.18077377467118202,0.7464788732394366,0.1536340451234968,0,0
11,6000,0.672,0.6602312130438649,0.6054277740352229,14830984,17.62734603881836,0.8470588235294118,0.13925152272175736,0.654320987654321,0.1402594796980587,0.5063291139240507,0.16479169538139296,0.6351351351351351,0.18693891050621184,0.7045454545454546,0.173781705688197,0.6595744680851063,0.19497668600438195,0,0
