,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5886287625418061,0.5861004135001602,0.5620206404930391,56,4.59025239944458,0.8529411764705882,0.1349155764645404,0.6271186440677966,0.1922948038794912,0.5606060606060606,0.24900147948266219,0.41304347826086957,0.14086553708033694,0.6818181818181818,0.12520800096614684,0.48,0.151077750568828,0,0
1,1000,0.64,0.6054716629215364,0.5659952452367978,56,9.724590539932251,0.9425287356321839,0.15323244967964703,0.5822784810126582,0.18007269218009442,0.5975609756097561,0.15559782415446252,0.3466666666666667,0.16415212712321192,0.6144578313253012,0.1503295744625592,0.7052631578947368,0.19657172507940826,0,0
2,1500,0.676,0.6638721324210282,0.6105020196191576,56,15.007125854492188,0.9746835443037974,0.14665088070019047,0.6125,0.1281901102406478,0.6756756756756757,0.13331838471912738,0.45454545454545453,0.1992964436434183,0.6818181818181818,0.21723741970595958,0.6847826086956522,0.17530647446949582,0,0
3,2000,0.686,0.6624782844514441,0.6209707012766286,56,19.972355127334595,0.972972972972973,0.159005651698356,0.5760869565217391,0.16611332716185492,0.56,0.14888717272351165,0.4520547945205479,0.14914317278346328,0.8160919540229885,0.168200259773404,0.73,0.2086504139768276,0,0
4,2500,0.666,0.6577228168774082,0.5996317571131292,56,25.314851760864258,0.9473684210526315,0.16754905494865882,0.5454545454545454,0.172582965246646,0.5647058823529412,0.1313806940094128,0.5714285714285714,0.20800616037932942,0.8589743589743589,0.16822440940570868,0.5652173913043478,0.15225671599787494,0,0
5,3000,0.66,0.6294300526500168,0.5908386363855167,56,30.315430164337158,0.896551724137931,0.19339175323733435,0.46987951807228917,0.16133526181324537,0.5375,0.17793096421120544,0.7391304347826086,0.18687562131956276,0.8414634146341463,0.13588938672699064,0.44155844155844154,0.1445770126915803,0,0
6,3500,0.72,0.7073904408273066,0.6637363693135417,56,35.356245279312134,0.967391304347826,0.19123914391025126,0.5764705882352941,0.1577088354630909,0.7317073170731707,0.14084817583484377,0.6493506493506493,0.13262468505278135,0.76,0.16532812016552614,0.6222222222222222,0.21225103957350613,0,0
7,4000,0.734,0.7176628665305126,0.679752663109433,56,40.75374507904053,0.9052631578947369,0.19845267810090303,0.573170731707317,0.17293826885519356,0.7721518987341772,0.17751224669279347,0.6867469879518072,0.13497679719633257,0.8275862068965517,0.16840525148713686,0.6,0.14771475766764033,0,0
8,4500,0.68,0.6737511301032331,0.6147734386285935,56,46.51255965232849,0.8831168831168831,0.15448235866106652,0.5405405405405406,0.12332205634697994,0.5975609756097561,0.1894224794515549,0.7127659574468085,0.1817996506096155,0.7466666666666667,0.1479376502319266,0.6161616161616161,0.20303580469885668,0,0
9,5000,0.698,0.6938259680430179,0.6372006304540038,56,52.764293909072876,0.92,0.15804527456085454,0.5584415584415584,0.15512063998622383,0.6732673267326733,0.17902237060039727,0.6705882352941176,0.13833054170088918,0.7894736842105263,0.15945840712049597,0.6091954022988506,0.21002276603113948,0,0
10,5500,0.722,0.6992449305366535,0.6656419434141084,56,58.99884366989136,0.9591836734693877,0.18317263974585807,0.5,0.16516725417197414,0.735632183908046,0.20345790866812496,0.6091954022988506,0.1604079163487005,0.8157894736842105,0.14740098708334637,0.6666666666666666,0.14039329398199593,0,0
11,6000,0.748,0.7440953565522144,0.6971299456756886,56,65.10074400901794,0.9746835443037974,0.17343533895803603,0.72,0.14149280621800392,0.735632183908046,0.17097481977435014,0.6987951807228916,0.14985451118823048,0.7613636363636364,0.1963646057157748,0.6179775280898876,0.16787791814560463,0,0
12,6500,0.736,0.7248485994649679,0.6825121944179872,56,70.44010925292969,0.9148936170212766,0.1865191686027146,0.6559139784946236,0.1959184684765471,0.7564102564102564,0.11160219866104194,0.7176470588235294,0.17078174385103193,0.7662337662337663,0.1783022271309113,0.581081081081081,0.15687619327775298,0,0
13,7000,0.726,0.7117454855930355,0.6706033968724153,56,76.02413892745972,0.9647058823529412,0.15748069164370426,0.5647058823529412,0.17668024713139588,0.7317073170731707,0.18325091979783603,0.775,0.1668930881428128,0.7555555555555555,0.16691943490364491,0.5569620253164557,0.14877561838060607,0,0
14,7500,0.72,0.7065919434091256,0.663590926566705,56,81.14024901390076,0.9397590361445783,0.15722144798723012,0.627906976744186,0.17714704217073093,0.8351648351648352,0.17005697406673614,0.6363636363636364,0.16181112947263926,0.7160493827160493,0.17709701739729614,0.5542168674698795,0.1566663889053674,0,0
15,8000,0.778,0.7612350881958058,0.7324450186565366,56,86.2913191318512,0.9896907216494846,0.20348251338641646,0.675,0.14385755870456743,0.8522727272727273,0.16376569131447172,0.6625,0.17156174113078115,0.7159090909090909,0.17760589320315623,0.7205882352941176,0.1397266022606069,0,0
16,8500,0.74,0.7396382336731937,0.6872308380769989,56,90.78194522857666,0.9305555555555556,0.14652006856123578,0.6962025316455697,0.15322589465314237,0.8043478260869565,0.21946005891144207,0.7777777777777778,0.15840827680332195,0.6732673267326733,0.15985135897258543,0.6,0.1625343420982723,0,0
17,9000,0.79,0.7848599482372985,0.7479185272680131,56,95.19741535186768,1.0,0.16054907578393587,0.75,0.2262598080766954,0.8974358974358975,0.1189820973055791,0.6511627906976745,0.18720496450427873,0.8,0.13463773662569176,0.6666666666666666,0.17236631770381908,0,0
18,9500,0.802,0.8007328223821069,0.7620775675195025,56,99.45447254180908,0.9733333333333334,0.12203583295867806,0.7978723404255319,0.1900592012909852,0.8192771084337349,0.18807677489746694,0.725,0.15893325435640726,0.8095238095238095,0.16017466421537946,0.7058823529411765,0.18072027228108295,0,0
19,10000,0.83,0.8252241344303685,0.7955659456157312,56,104.42174792289734,1.0,0.1279461327285128,0.8641975308641975,0.20656341551042273,0.8041237113402062,0.14965957680824818,0.7638888888888888,0.16092291570298342,0.7564102564102564,0.164828372376374,0.7865168539325843,0.19007958687345872,0,0
20,10500,0.804,0.8027214897738073,0.764478560339151,56,109.83265948295593,1.0,0.1526853562084731,0.7411764705882353,0.18104604581935133,0.7702702702702703,0.12472689648574799,0.7558139534883721,0.16654480080161005,0.8414634146341463,0.19156201997207492,0.7368421052631579,0.18343488071274264,0,0
21,11000,0.798,0.7961087649836083,0.7568198781691667,56,114.52669715881348,0.972972972972973,0.15483458906829767,0.7931034482758621,0.15828291627505275,0.7027027027027027,0.15385495956597753,0.782051282051282,0.1523215076370747,0.8387096774193549,0.16105498697211057,0.7157894736842105,0.21965104048148676,0,0
22,11500,0.784,0.7813099512541878,0.7402609896056297,56,119.41740322113037,0.9868421052631579,0.17687984265430645,0.7045454545454546,0.1802042876325738,0.7294117647058823,0.11941540022868329,0.8080808080808081,0.1703049901788336,0.7972972972972973,0.15753102103500244,0.6962025316455697,0.19566445827060028,0,0
23,12000,0.806,0.7954769687757463,0.7662965961219691,56,124.94393062591553,0.975609756097561,0.19621099586631371,0.75,0.14072742922363457,0.8157894736842105,0.14843112049315157,0.8736842105263158,0.18340849226600076,0.7752808988764045,0.16816569726424865,0.6266666666666667,0.16305626488665068,0,0
24,12500,0.798,0.785955493332064,0.7569778633301252,56,129.88997864723206,0.9787234042553191,0.17865206670203596,0.7976190476190477,0.14398340908583396,0.7045454545454546,0.1603596784653509,0.8588235294117647,0.18858732821803875,0.6986301369863014,0.19323405063769764,0.7142857142857143,0.13518346689104274,0,0
25,13000,0.77,0.7525684360509353,0.7231850568072405,56,134.84861660003662,0.96875,0.1951908105201279,0.7317073170731707,0.18783199382141555,0.5733333333333334,0.16533065463891286,0.7721518987341772,0.12187311849667144,0.8536585365853658,0.17208042436816112,0.6781609195402298,0.15769299815471102,0,0
26,13500,0.696,0.6889072106717902,0.6348313257064332,56,139.59937357902527,0.9871794871794872,0.11201143439094147,0.5783132530120482,0.19974588505011256,0.620253164556962,0.154785862865106,0.6067415730337079,0.1859310544069117,0.8205128205128205,0.1281091326285407,0.6063829787234043,0.21941663065838776,0,0
27,14000,0.746,0.73645192711116,0.6931818730884265,56,144.93628859519958,0.961038961038961,0.12723554641843823,0.6417910447761194,0.1343033339036134,0.7941176470588235,0.1963533529814917,0.723404255319149,0.2082232300749057,0.6794871794871795,0.15064922269452874,0.6626506024096386,0.1832353139270223,0,0
28,14500,0.778,0.7577597844473364,0.7327889610545929,56,150.23572325706482,1.0,0.20789322056580292,0.6025641025641025,0.142315947238422,0.8823529411764706,0.1644008265552368,0.7349397590361446,0.21657254096029743,0.7733333333333333,0.15238593027212183,0.6265060240963856,0.11643153440811899,0,0
29,15000,0.8,0.7943616581981621,0.7596639140173619,56,155.39705443382263,0.9876543209876543,0.21029201864086935,0.782051282051282,0.12641690941069697,0.8764044943820225,0.1626923700873888,0.7317073170731707,0.13778563360395685,0.6867469879518072,0.1550370160318074,0.7386363636363636,0.20777605222528064,0,0
30,15500,0.816,0.8083818879925486,0.7786578001472406,56,159.38447856903076,0.9782608695652174,0.22439841681542147,0.7555555555555555,0.20134586092124981,0.8390804597701149,0.1321636328857301,0.775,0.15021231609162763,0.7777777777777778,0.16588556471161417,0.7464788732394366,0.1259942085743569,0,0
31,16000,0.696,0.6772580540492936,0.6339007871133077,56,163.3851990699768,0.9529411764705882,0.18211130255350785,0.5833333333333334,0.14436982575284515,0.5714285714285714,0.14437633558287782,0.7261904761904762,0.16526604758681596,0.7912087912087912,0.167258257372562,0.5287356321839081,0.19661823115139104,0,0
32,16500,0.74,0.7289632159926898,0.6871390065460147,56,166.89196801185608,0.9534883720930233,0.2069923980526699,0.7325581395348837,0.18189175343915495,0.7604166666666666,0.16281264713569574,0.6447368421052632,0.13531186672144255,0.6923076923076923,0.15194068611202968,0.6329113924050633,0.16105064853900744,0,0
33,17000,0.8,0.7910024684303198,0.7593620205889856,56,171.05421710014343,0.9887640449438202,0.18112968574194627,0.7011494252873564,0.16856938774834093,0.7701149425287356,0.15534140322131998,0.7468354430379747,0.16173404564829663,0.8505747126436781,0.17941614018888585,0.7222222222222222,0.1538093374512103,0,0
34,17500,0.784,0.7770131193947347,0.7395569574465007,56,174.26315760612488,0.9753086419753086,0.15550767981548266,0.6753246753246753,0.18254076992668244,0.7976190476190477,0.1470562600070069,0.7432432432432432,0.14715455458060997,0.7850467289719626,0.19837892774349594,0.717948717948718,0.16936180792672226,0,0
35,18000,0.794,0.785856323903752,0.7518598465867479,56,177.92980766296387,1.0,0.17429997507858785,0.6301369863013698,0.1528655023450494,0.7872340425531915,0.14003059588872674,0.7831325301204819,0.1770716487113551,0.8387096774193549,0.19692696810135918,0.7228915662650602,0.1588053098749216,0,0
36,18500,0.764,0.7638916321219668,0.7165682662144569,56,181.7041847705841,0.9746835443037974,0.11887712129839252,0.6504854368932039,0.19720057262254329,0.7162162162162162,0.18900560020090132,0.7195121951219512,0.1479851090136651,0.8076923076923077,0.165370244317719,0.7529411764705882,0.18156135254677858,0,0
37,19000,0.786,0.7755325475109592,0.7423983436454246,56,185.58185338974,0.9880952380952381,0.15260773386084778,0.717948717948718,0.1392518715581584,0.803921568627451,0.16629444264478943,0.6619718309859155,0.1424772566783364,0.8125,0.2061552057138794,0.7093023255813954,0.19321348954398845,0,0
38,19500,0.762,0.7542263402385654,0.7140509133550238,56,189.4831142425537,0.9473684210526315,0.14373391324420284,0.6629213483146067,0.12889702694926888,0.8717948717948718,0.1641067829746377,0.5813953488372093,0.18628904277783423,0.6794871794871795,0.19189263793701253,0.851063829787234,0.18508059611704417,0,0
39,20000,0.768,0.7611081106087554,0.7201217952739187,56,193.13328385353088,0.9459459459459459,0.14118538974454217,0.7078651685393258,0.18421661013488932,0.7246376811594203,0.15755836338011808,0.65,0.13480133671738845,0.9052631578947369,0.16626763523004182,0.6808510638297872,0.2159706647930202,0,0
40,20500,0.746,0.7470751303032155,0.6955560776116254,56,197.19041919708252,0.971830985915493,0.1384938174149802,0.6551724137931034,0.18609399652552658,0.8043478260869565,0.19877194895253958,0.5353535353535354,0.21307902260319317,0.8108108108108109,0.13814080734336703,0.782051282051282,0.12542040716039315,0,0
41,21000,0.772,0.7663046740837804,0.7255273966995873,56,201.0842068195343,0.963855421686747,0.1984040436626865,0.6818181818181818,0.17404726642535992,0.8059701492537313,0.15887676413002086,0.7634408602150538,0.17365691392409077,0.7912087912087912,0.1611655937908199,0.6329113924050633,0.13384941806702216,0,0
42,21500,0.806,0.7932760775924949,0.7666990562135018,56,204.92213940620422,0.9895833333333334,0.19559732608028754,0.7261904761904762,0.16573598689584176,0.8160919540229885,0.1488394808068099,0.8470588235294118,0.21285560451834168,0.7910447761194029,0.13446822970348168,0.6341463414634146,0.14250337199523744,0,0
43,22000,0.776,0.753692331725383,0.7299330619803622,56,208.49168276786804,0.989247311827957,0.18552090447123457,0.527027027027027,0.13870994580570992,0.7534246575342466,0.14301992859611828,0.7078651685393258,0.186356743764996,0.8620689655172413,0.1701144944209022,0.7647058823529411,0.17627798294103927,0,0
44,22500,0.81,0.800461076154971,0.7716016733182671,56,212.33393812179565,1.0,0.16118345253208607,0.6746987951807228,0.14092847804926015,0.8023255813953488,0.22496148725485604,0.72,0.15962556017922577,0.8734177215189873,0.11339001300667761,0.7727272727272727,0.19991100897789443,0,0
45,23000,0.754,0.7539390001631499,0.7046478345643675,56,216.10168766975403,0.9722222222222222,0.14554803127417304,0.6753246753246753,0.15490843580785815,0.6413043478260869,0.20711347809739475,0.7083333333333334,0.2171832613850747,0.7407407407407407,0.14531979718166815,0.8313253012048193,0.12992699625383122,0,0
46,23500,0.768,0.7551181516299561,0.7208975549663393,56,220.14690113067627,0.9887640449438202,0.2256760600130978,0.6133333333333333,0.16616899902950247,0.8021978021978022,0.15668699403205877,0.7,0.16476270837643625,0.7605633802816901,0.14390635513498026,0.7157894736842105,0.14279888341392433,0,0
47,24000,0.786,0.784434785032191,0.7429614682425291,56,224.25728297233582,0.9743589743589743,0.15255937889259574,0.8333333333333334,0.190699179859638,0.7777777777777778,0.15664747248530045,0.6593406593406593,0.1582034995438288,0.7294117647058823,0.21119528037523008,0.7671232876712328,0.13069518884340703,0,0
48,24500,0.79,0.7770020780897703,0.7472547046731401,56,228.2437047958374,0.989247311827957,0.20684516629406458,0.7435897435897436,0.1682705992645724,0.8539325842696629,0.15627771210609068,0.7,0.17853767637942408,0.6973684210526315,0.12057111014623358,0.7176470588235294,0.16949773580961452,0,0
49,25000,0.728,0.7073936165940203,0.6726520001925577,56,232.564471244812,0.9888888888888889,0.18089752717088714,0.6021505376344086,0.19459111824752862,0.7246376811594203,0.1384187131753188,0.7160493827160493,0.1578508607397692,0.8111111111111111,0.14761344045343183,0.5,0.18062834021306426,0,0
50,25500,0.752,0.7383924880579864,0.701669208894107,56,236.35537314414978,0.9873417721518988,0.15008492224638956,0.6790123456790124,0.18394453140897077,0.8315789473684211,0.16819065301118746,0.5512820512820513,0.13856267395727304,0.7261904761904762,0.1592303509403597,0.7261904761904762,0.19998686843581961,0,0
51,26000,0.79,0.7751780891261774,0.7470013637831248,56,240.3092658519745,0.9897959183673469,0.2369059092051656,0.6363636363636364,0.18973960813426727,0.8222222222222222,0.19123832445160713,0.7466666666666667,0.10857939906987144,0.7901234567901234,0.15000189993590016,0.7101449275362319,0.12353485920318827,0,0
52,26500,0.756,0.7453749523806985,0.7059178016150416,56,244.54963850975037,0.975,0.16007888419814822,0.6216216216216216,0.14945912581601364,0.8795180722891566,0.1740758300197349,0.7763157894736842,0.13010504542703785,0.6936936936936937,0.2515589003492725,0.5974025974025974,0.13472221418979313,0,0
53,27000,0.738,0.7353670094334758,0.6848355370787382,56,249.13249516487122,0.9178082191780822,0.1601689915287546,0.6883116883116883,0.16517880417402556,0.6210526315789474,0.16783204756425874,0.6666666666666666,0.18762112277937337,0.8651685393258427,0.19717940938729314,0.6987951807228916,0.12201962456629481,0,0
54,27500,0.716,0.7022674702518429,0.6585372891708227,56,252.98292803764343,0.9431818181818182,0.17751555868960042,0.6060606060606061,0.20343388766561532,0.6212121212121212,0.14882313368633288,0.7407407407407407,0.12247639775461952,0.8625,0.17005600953753905,0.5287356321839081,0.1776950126662926,0,0
55,28000,0.748,0.7387430331384015,0.6960369001553589,56,256.5544226169586,0.95,0.2159668638126598,0.7228915662650602,0.15465394357346,0.7777777777777778,0.2029161445123699,0.6486486486486487,0.11630221610670623,0.6666666666666666,0.14280003094089955,0.7037037037037037,0.16736080105390422,0,0
