,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.6220735785953178,0.48741356653719614,0.5970882128506098,56,1.3794019222259521,0.6428571428571429,0.14975298969775616,0.9,0.16951074650052833,0.36363636363636365,0.11433961105064652,0.7777777777777778,0.14972733993724707,0.803030303030303,0.22782397019394734,0.10204081632653061,0.18220849106188,0,0
1,1000,0.638,0.4898277586524126,0.5607286565092247,56,2.9407873153686523,0.7619047619047619,0.20364634956539887,0.9625,0.1795980692954977,0.28169014084507044,0.1815373276462476,0.7326732673267327,0.17475979925515034,0.8555555555555555,0.12533829569716262,0.10666666666666667,0.13507655121992596,0,0
2,1500,0.618,0.5623336410865845,0.5408852501574452,56,4.54219126701355,0.8765432098765432,0.16423897829789924,0.8352941176470589,0.12309245869103456,0.4050632911392405,0.17344048104243906,0.6363636363636364,0.17299686510673098,0.7204301075268817,0.1954811869162791,0.23255813953488372,0.17074974342445634,0,0
3,2000,0.648,0.5999710294229348,0.5783582804684056,56,6.216845273971558,0.8095238095238095,0.12839818299871972,0.9333333333333333,0.13160085156772947,0.5729166666666666,0.24098486946858522,0.6704545454545454,0.14721591371075277,0.7857142857142857,0.15079673703510524,0.20454545454545456,0.20100344333652528,0,0
4,2500,0.622,0.5864584897218689,0.5462184873949579,56,7.955235958099365,0.8314606741573034,0.22161451154730938,0.8133333333333334,0.15907157863429147,0.4235294117647059,0.1631590622044786,0.5632183908045977,0.18592979067268525,0.7857142857142857,0.12734199700113558,0.32098765432098764,0.14288305992773034,0,0
5,3000,0.652,0.6215196148145405,0.5834370750579358,56,9.68546986579895,0.8658536585365854,0.14991530931967792,0.8255813953488372,0.130346722822726,0.47619047619047616,0.19896553919587792,0.6823529411764706,0.1692308991577879,0.8823529411764706,0.1502900186022837,0.28125,0.20125151090156543,0,0
6,3500,0.662,0.6117706181482124,0.5907831780407957,56,11.351492166519165,0.8170731707317073,0.16583441505708557,0.90625,0.20229864423352445,0.45569620253164556,0.1769413915127335,0.5263157894736842,0.1267709969669434,0.7653061224489796,0.19966194225248854,0.38571428571428573,0.12849260997722395,0,0
7,4000,0.632,0.5912700734594097,0.5574795574795575,56,13.003949403762817,0.8985507246376812,0.1552357662856154,0.9120879120879121,0.14564244050058567,0.379746835443038,0.16483841141956382,0.5632183908045977,0.1746591456020083,0.7901234567901234,0.18360187682109208,0.30851063829787234,0.17602235937113458,0,0
8,4500,0.672,0.600219161960952,0.6035448888716985,56,14.759505271911621,0.9021739130434783,0.14822100403171745,0.8913043478260869,0.20663639552811217,0.47619047619047616,0.16408992677549944,0.6506024096385542,0.16204410621387064,0.7176470588235294,0.21384120373157245,0.26153846153846155,0.10516736371922794,0,0
9,5000,0.668,0.5919104008488556,0.5992487120433004,56,16.461247444152832,0.8441558441558441,0.1879027474428201,0.8913043478260869,0.1885915442279369,0.47435897435897434,0.14920175681355732,0.7731958762886598,0.15825306963870123,0.75,0.14899679466066837,0.2077922077922078,0.16705408721631615,0,0
10,5500,0.634,0.5756505769484709,0.5620228322523514,56,18.13748812675476,0.8795180722891566,0.17542407747868213,0.8625,0.14879956573832823,0.36904761904761907,0.18589159064575006,0.78125,0.11381490602373205,0.8152173913043478,0.18696758743936864,0.20408163265306123,0.18910227267413876,0,0
11,6000,0.654,0.6106523675767844,0.5834216254743696,56,19.711056232452393,0.8181818181818182,0.1349414840919823,0.875,0.17900899429802422,0.5308641975308642,0.15929979858286455,0.6666666666666666,0.19005802680053105,0.8372093023255814,0.18120502458283586,0.24444444444444444,0.15548667164376181,0,0
12,6500,0.658,0.5641685187413154,0.5890983712916729,56,21.34133744239807,0.8571428571428571,0.15174722568105714,0.9240506329113924,0.16390634963452003,0.5238095238095238,0.15476997304273582,0.7157894736842105,0.21302522737078794,0.8192771084337349,0.16964497420306324,0.13253012048192772,0.14690625006783573,0,0
13,7000,0.664,0.6193944775094724,0.5953718243913718,56,22.926976203918457,0.8192771084337349,0.1507195715455369,0.8651685393258427,0.15471708925718983,0.5652173913043478,0.16011487328291793,0.6666666666666666,0.1498015988457387,0.7349397590361446,0.2095228890296829,0.2876712328767123,0.17512397803893365,0,0
14,7500,0.652,0.6208367449383103,0.5812496089256406,56,24.43268609046936,0.8026315789473685,0.1363708766783629,0.8395061728395061,0.17101253975139438,0.5056179775280899,0.148248587534412,0.6506024096385542,0.17088811593879763,0.7849462365591398,0.18557541021150403,0.3291139240506329,0.18790446988552917,0,0
