,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5919732441471572,0.5065310159055129,0.5652037059127962,7185728,2.972933053970337,0.6290322580645161,0.1959277551564504,0.9148936170212766,0.15062272842481592,0.15217391304347827,0.1232538946398243,0.36363636363636365,0.1613351066427586,0.6551724137931034,0.22773087801005687,0.8095238095238095,0.13449278556809935,0,0
1,1000,0.496,0.4204072572766673,0.3954166826609343,7185272,7.7450902462005615,0.5842696629213483,0.14328824746374821,0.684931506849315,0.12198910212917329,0.07216494845360824,0.19907500994398633,0.5411764705882353,0.17593314596906134,0.625,0.223779809068062,0.5652173913043478,0.1358910781053521,0,0
2,1500,0.586,0.46697508335333904,0.4996519317786286,7183784,12.472384214401245,0.6923076923076923,0.1902030782250874,0.6619718309859155,0.12687601560082856,0.08536585365853659,0.16446414128130385,0.4155844155844156,0.1595421528610166,0.7254901960784313,0.22145086135829636,0.8791208791208791,0.13746346415230662,0,0
3,2000,0.58,0.4748681146620242,0.4971697842140045,7184168,17.25155019760132,0.6770833333333334,0.1504606936034327,0.7333333333333333,0.18538786040827668,0.10465116279069768,0.17683154360911763,0.2926829268292683,0.15986037990506596,0.8333333333333334,0.17954487809134592,0.9047619047619048,0.14791464250017877,0,0
4,2500,0.564,0.4594087870808064,0.4767740479927804,7184384,22.003482341766357,0.5432098765432098,0.16946773588747502,0.7446808510638298,0.20508221307998312,0.08860759493670886,0.14889007848297822,0.40217391304347827,0.22899824258603624,0.8767123287671232,0.11753043638818406,0.7439024390243902,0.13003129356297394,0,0
5,3000,0.544,0.4289305623405087,0.4513374852005506,7184312,26.7514488697052,0.6388888888888888,0.1491356196349237,0.6987951807228916,0.17795424331462747,0.08860759493670886,0.14919442512852282,0.24468085106382978,0.21314546194333667,0.8314606741573034,0.14183333770331916,0.7738095238095238,0.16873691227518905,0,0
6,3500,0.55,0.4418591093559606,0.45940231519968483,7184384,31.454750061035156,0.6153846153846154,0.17818567396004284,0.7294117647058823,0.16744042627146732,0.08888888888888889,0.1899678328613513,0.3026315789473684,0.14410162391301673,0.7613636363636364,0.1627497784905766,0.8095238095238095,0.1575546645035447,0,0
7,4000,0.538,0.43545938562022324,0.4486715609993604,7184024,36.22639274597168,0.5833333333333334,0.1573511963772558,0.8125,0.15092799277900018,0.1,0.20280382907215888,0.21176470588235294,0.18976527850092229,0.8333333333333334,0.12925569867078157,0.8152173913043478,0.16989600459988116,0,0
8,4500,0.528,0.4229692417608622,0.43240032131914014,7183880,40.96679902076721,0.5268817204301075,0.22275987743670136,0.6891891891891891,0.1798839431076958,0.13953488372093023,0.13539244602252848,0.16666666666666666,0.15063291138864332,0.8117647058823529,0.1685538001058707,0.8352941176470589,0.14277702193856026,0,0
9,5000,0.524,0.4086270630383586,0.4287771510860435,7184312,45.71015739440918,0.5,0.20211525786359197,0.7613636363636364,0.17244778846672099,0.08641975308641975,0.1621733043226347,0.23376623376623376,0.1651809568926409,0.7945205479452054,0.12195443029187555,0.7619047619047619,0.1761282621625362,0,0
