,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5217391304347826,0.3832265379723667,0.49071122085409763,15491144,4.056936502456665,0.7948717948717948,0.1193182219948374,0.6842105263157895,0.20030992915848328,0.14,0.16899161966302995,0.08163265306122448,0.12305402756287054,0.86,0.1870476856481377,0.5925925925925926,0.1946416644146466,0,0
1,1000,0.56,0.24994971590952453,0.470685606498056,15573416,10.11338496208191,0.9,0.17680990258429657,0.8817204301075269,0.16471426088696586,0.023255813953488372,0.20344220607259553,0.024390243902439025,0.14482543766992256,0.9390243902439024,0.1675799827431598,0.5769230769230769,0.1425846027224429,0,0
2,1500,0.424,0.0,0.30504278330365286,15657224,16.266703844070435,0.8289473684210527,0.14183055723885749,0.5789473684210527,0.1412396884221392,0.0,0.18299733962993237,0.0,0.17445008496333037,0.912621359223301,0.22126679864224355,0.13924050632911392,0.13821524458233653,0,0
3,2000,0.418,0.0,0.30761763362265876,16143376,22.409175872802734,0.9382716049382716,0.134636185359683,0.06315789473684211,0.22524168385600962,0.0,0.17340398644347457,0.7530864197530864,0.16185718983494674,0.8904109589041096,0.11288299427932272,0.0125,0.19197795834398096,0,0
4,2500,0.504,0.0,0.4078743165484803,17755576,28.566160440444946,0.9078947368421053,0.15444603270597965,0.32894736842105265,0.1652050091103602,0.08080808080808081,0.17014684647543882,0.8846153846153846,0.1551248858685848,0.9418604651162791,0.1741829857395779,0.0,0.1808942400876892,0,0
5,3000,0.54,0.0,0.43574621336643626,18297752,36.13412046432495,0.9634146341463414,0.13634232800620932,0.136986301369863,0.14204727895119396,0.10526315789473684,0.1354128128729428,0.8631578947368421,0.206813057050486,0.9285714285714286,0.21014251441679144,0.0,0.16924200870229514,0,0
6,3500,0.522,0.2843325882601281,0.424506857759285,27531448,43.497822284698486,0.8589743589743589,0.1213335670620988,0.5176470588235295,0.18939885442502816,0.07142857142857142,0.19245329255793323,0.7954545454545454,0.13085092468766504,0.8470588235294118,0.21129967426279025,0.024691358024691357,0.15466368700448377,0,0
7,4000,0.578,0.5285096904267155,0.49471244108969686,36714792,49.41887593269348,0.6533333333333333,0.14687891737765463,0.7291666666666666,0.17254064485328158,0.32558139534883723,0.1708445426779898,0.2127659574468085,0.2043651471195293,0.8311688311688312,0.1297803141261372,0.7945205479452054,0.1755904338454076,0,0
8,4500,0.608,0.5768589350147398,0.5298271875029985,37758520,55.667863845825195,0.618421052631579,0.11662439538508418,0.7567567567567568,0.11798007346339164,0.31868131868131866,0.1963969317039147,0.34375,0.23013797153113266,0.8625,0.17117140612620563,0.8333333333333334,0.16768922179027107,0,0
9,5000,0.574,0.48629599502571264,0.48746577089479326,40696584,62.037360191345215,0.8194444444444444,0.13218150185500818,0.7395833333333334,0.19399273084576515,0.25,0.19046660585175854,0.14893617021276595,0.1935820694340544,0.8333333333333334,0.10836113261242959,0.7032967032967034,0.18141595940098398,0,0
10,5500,0.64,0.5535867911810741,0.5654923695632234,43161128,68.70261979103088,0.7872340425531915,0.2038285596371401,0.7974683544303798,0.1842111611171489,0.18571428571428572,0.11272405940055719,0.5357142857142857,0.1567059908716515,0.9325842696629213,0.18026883593099496,0.49411764705882355,0.16226139304250733,0,0
11,6000,0.654,0.6111784970437416,0.5835038640248453,47276936,76.84257245063782,0.7717391304347826,0.20814890024546046,0.7375,0.16663108747386218,0.4044943820224719,0.1486268399276027,0.35294117647058826,0.15068839078951451,0.8552631578947368,0.15838374542825776,0.75,0.16752103613530217,0,0
12,6500,0.624,0.5821025789405405,0.5486454562042044,48488000,85.02049779891968,0.7469879518072289,0.21979607860407108,0.6413043478260869,0.2259011273219536,0.5061728395061729,0.15838846383941127,0.24705882352941178,0.1448652448864649,0.8,0.11534958699430681,0.8117647058823529,0.1356994983537925,0,0
13,7000,0.652,0.588520607059894,0.5809813705280599,50752360,91.88384819030762,0.7471264367816092,0.13851585007956188,0.8620689655172413,0.12593302311330726,0.4166666666666667,0.18287934671571004,0.24358974358974358,0.16565848880004364,0.7777777777777778,0.17148408215072586,0.8172043010752689,0.21552920914065157,0,0
14,7500,0.612,0.571345925135838,0.535678555529494,52156784,98.88120770454407,0.8,0.19051028226438604,0.7307692307692307,0.1260290753025883,0.3763440860215054,0.23718766876346264,0.25,0.18061287992169262,0.927536231884058,0.1090089602804882,0.6818181818181818,0.1566511334673821,0,0
15,8000,0.604,0.538995470165797,0.5239652254192952,57877616,106.00035071372986,0.7777777777777778,0.18832203138237752,0.6703296703296703,0.18092945076609973,0.4050632911392405,0.16894030364074625,0.1951219512195122,0.1487434778073527,0.8068181818181818,0.16733939856940158,0.7375,0.14572533783402236,0,0
16,8500,0.666,0.6169897788332442,0.5981519803647914,59514888,113.32338333129883,0.8444444444444444,0.169367718257855,0.7368421052631579,0.1596428383732184,0.4050632911392405,0.13416671446833778,0.3176470588235294,0.20296063207762002,0.8588235294117647,0.16928526888483753,0.8023255813953488,0.16457682793813114,0,0
17,9000,0.634,0.5846589911940375,0.5626822157434402,61025816,121.58223748207092,0.8850574712643678,0.19272941230110566,0.7111111111111111,0.18137949389676475,0.4024390243902439,0.12793093673141462,0.23157894736842105,0.1820980956410124,0.8676470588235294,0.16108791699849773,0.7848101265822784,0.1547741444312048,0,0
18,9500,0.628,0.5842431186034821,0.5528050662858296,63657552,130.65323758125305,0.8734177215189873,0.1507214978294317,0.7228915662650602,0.19806536275401276,0.41414141414141414,0.18624103035671133,0.2692307692307692,0.1505967896339172,0.8021978021978022,0.16937818355764175,0.704225352112676,0.14499713586828528,0,0
19,10000,0.664,0.6145225290155385,0.5971010460983553,65592472,138.1331398487091,0.927710843373494,0.13240522110621428,0.7241379310344828,0.13481276940051198,0.4235294117647059,0.16763799883963945,0.2823529411764706,0.18065548109771956,0.8433734939759037,0.20385079766492867,0.7948717948717948,0.18063773189098606,0,0
20,10500,0.67,0.5862812189336822,0.6025303160967995,69890856,145.38263392448425,0.8876404494382022,0.16339013413415823,0.7586206896551724,0.16661276511554113,0.4639175257731959,0.18965303438252548,0.18840579710144928,0.12537850086819907,0.8235294117647058,0.19974838211986742,0.8378378378378378,0.15521718337970858,0,0
21,11000,0.662,0.6115142179463701,0.5932572154725918,72518464,152.98740100860596,0.9024390243902439,0.17664634503132295,0.7222222222222222,0.17488818310226448,0.46153846153846156,0.1451957456763734,0.2875,0.15035184412320388,0.7647058823529411,0.1730441546798789,0.7906976744186046,0.17987372738695648,0,0
