,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5652173913043478,0.3544502513214987,0.5344760518653265,15351248,4.376642942428589,0.9411764705882353,0.1349155764645404,0.6101694915254238,0.1922948038794912,0.9393939393939394,0.24900147948266219,0.13043478260869565,0.14086553708033694,0.045454545454545456,0.12520800096614684,0.62,0.151077750568828,0,0
1,1000,0.54,0.0,0.4434280957497266,15908376,10.643598079681396,0.9310344827586207,0.15323244967964703,0.45569620253164556,0.18007269218009442,0.926829268292683,0.15559782415446252,0.0,0.16415212712321192,0.012048192771084338,0.1503295744625592,0.8105263157894737,0.19657172507940826,0,0
2,1500,0.528,0.0,0.4347603240068787,16206632,16.864500284194946,1.0,0.14665088070019047,0.4625,0.1281901102406478,0.8783783783783784,0.13331838471912738,0.011363636363636364,0.1992964436434183,0.0,0.21723741970595958,0.9021739130434783,0.17530647446949582,0,0
3,2000,0.572,0.3953706792814994,0.48229146506676984,16250272,22.89571189880371,0.9864864864864865,0.159005651698356,0.44565217391304346,0.16611332716185492,0.6666666666666666,0.14888717272351165,0.0410958904109589,0.14914317278346328,0.3563218390804598,0.168200259773404,0.89,0.2086504139768276,0,0
4,2500,0.486,0.0,0.3917764387918834,17459048,28.90447473526001,0.9605263157894737,0.16754905494865882,0.36363636363636365,0.172582965246646,0.8470588235294118,0.1313806940094128,0.0,0.20800616037932942,0.05128205128205128,0.16822440940570868,0.9130434782608695,0.15225671599787494,0,0
5,3000,0.472,0.0,0.3705983606948212,19150048,35.003870487213135,0.9885057471264368,0.19339175323733435,0.46987951807228917,0.16133526181324537,0.4125,0.17793096421120544,0.0,0.18687562131956276,0.14634146341463414,0.13588938672699064,0.8701298701298701,0.1445770126915803,0,0
6,3500,0.56,0.4749043988949024,0.4676114144112751,27482536,40.96893644332886,0.967391304347826,0.19123914391025126,0.4823529411764706,0.1577088354630909,0.6097560975609756,0.14084817583484377,0.16883116883116883,0.13262468505278135,0.3466666666666667,0.16532812016552614,0.6888888888888889,0.21225103957350613,0,0
7,4000,0.62,0.597140030284863,0.5433197290684203,36935800,47.20997214317322,0.7894736842105263,0.19845267810090303,0.47560975609756095,0.17293826885519356,0.5189873417721519,0.17751224669279347,0.43373493975903615,0.13497679719633257,0.8045977011494253,0.16840525148713686,0.6666666666666666,0.14771475766764033,0,0
8,4500,0.592,0.5534346554059605,0.5071940012948235,37930448,53.9024293422699,0.8701298701298701,0.15448235866106652,0.32432432432432434,0.12332205634697994,0.5,0.1894224794515549,0.35106382978723405,0.1817996506096155,0.7866666666666666,0.1479376502319266,0.7373737373737373,0.20303580469885668,0,0
9,5000,0.59,0.5758552015131988,0.5086619306470322,40901280,60.61400628089905,0.9066666666666666,0.15804527456085454,0.42857142857142855,0.15512063998622383,0.43564356435643564,0.17902237060039727,0.4470588235294118,0.13833054170088918,0.7763157894736842,0.15945840712049597,0.6206896551724138,0.21002276603113948,0,0
10,5500,0.634,0.6061154737416591,0.5603075444497838,41922704,67.40056729316711,0.9285714285714286,0.18317263974585807,0.46153846153846156,0.16516725417197414,0.5402298850574713,0.20345790866812496,0.45977011494252873,0.1604079163487005,0.7763157894736842,0.14740098708334637,0.6,0.14039329398199593,0,0
11,6000,0.652,0.6417366168088299,0.5814933471873467,44076864,73.9714252948761,0.9620253164556962,0.17343533895803603,0.6,0.14149280621800392,0.6551724137931034,0.17097481977435014,0.5421686746987951,0.14985451118823048,0.6590909090909091,0.1963646057157748,0.5168539325842697,0.16787791814560463,0,0
12,6500,0.66,0.6335918185895855,0.5923554660336188,47150064,80.69689774513245,0.9893617021276596,0.1865191686027146,0.41935483870967744,0.1959184684765471,0.6153846153846154,0.11160219866104194,0.47058823529411764,0.17078174385103193,0.7662337662337663,0.1783022271309113,0.7027027027027027,0.15687619327775298,0,0
13,7000,0.626,0.5932048832364533,0.5500806005341289,49561208,87.6201000213623,0.9647058823529412,0.15748069164370426,0.47058823529411764,0.17668024713139588,0.4634146341463415,0.18325091979783603,0.4125,0.1668930881428128,0.7777777777777778,0.16691943490364491,0.6455696202531646,0.14877561838060607,0,0
14,7500,0.648,0.6133532617831923,0.5776317620914908,51222088,94.76908493041992,0.9518072289156626,0.15722144798723012,0.5697674418604651,0.17714704217073093,0.4945054945054945,0.17005697406673614,0.33766233766233766,0.16181112947263926,0.8271604938271605,0.17709701739729614,0.7108433734939759,0.1566663889053674,0,0
15,8000,0.67,0.6401387923861819,0.6029836381135709,54878864,101.87731862068176,0.9690721649484536,0.20348251338641646,0.5375,0.14385755870456743,0.5454545454545454,0.16376569131447172,0.425,0.17156174113078115,0.7045454545454546,0.17760589320315623,0.8088235294117647,0.1397266022606069,0,0
16,8500,0.642,0.6147154263623601,0.5676600020288581,56685624,109.0739197731018,0.9166666666666666,0.14652006856123578,0.5189873417721519,0.15322589465314237,0.42391304347826086,0.21946005891144207,0.4444444444444444,0.15840827680332195,0.7524752475247525,0.15985135897258543,0.8,0.1625343420982723,0,0
17,9000,0.634,0.5961296946043951,0.5605841589388708,57375888,116.4100694656372,0.9230769230769231,0.16054907578393587,0.5340909090909091,0.2262598080766954,0.6025641025641025,0.1189820973055791,0.26744186046511625,0.18720496450427873,0.7888888888888889,0.13463773662569176,0.7160493827160493,0.17236631770381908,0,0
18,9500,0.622,0.5912216689331158,0.5461465682437073,60297072,123.78358769416809,0.9466666666666667,0.12203583295867806,0.46808510638297873,0.1900592012909852,0.5180722891566265,0.18807677489746694,0.325,0.15893325435640726,0.7976190476190477,0.16017466421537946,0.7176470588235294,0.18072027228108295,0,0
19,10000,0.686,0.658330875103754,0.6220910640182551,61186736,131.37193703651428,0.9761904761904762,0.1279461327285128,0.6296296296296297,0.20656341551042273,0.6288659793814433,0.14965957680824818,0.4027777777777778,0.16092291570298342,0.7051282051282052,0.164828372376374,0.7415730337078652,0.19007958687345872,0,0
20,10500,0.664,0.6481343496657657,0.5958818435485423,65032320,138.67510604858398,0.9493670886075949,0.1526853562084731,0.5647058823529412,0.18104604581935133,0.6621621621621622,0.12472689648574799,0.4186046511627907,0.16654480080161005,0.7073170731707317,0.19156201997207492,0.7052631578947368,0.18343488071274264,0,0
