,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5886287625418061,0.4927535248014056,0.5618321707778993,56,0.6352171897888184,0.5714285714285714,0.14975298969775616,0.9,0.16951074650052833,0.3333333333333333,0.11433961105064652,0.6888888888888889,0.14972733993724707,0.7424242424242424,0.22782397019394734,0.16326530612244897,0.18220849106188,0,0
1,1000,0.604,0.5016851962801535,0.5194291400694158,56,1.3764293193817139,0.5476190476190477,0.20364634956539887,0.9375,0.1795980692954977,0.36619718309859156,0.1815373276462476,0.7227722772277227,0.17475979925515034,0.8,0.12533829569716262,0.14666666666666667,0.13507655121992596,0,0
2,1500,0.598,0.5214289167886916,0.5167618717904333,56,2.0704832077026367,0.6419753086419753,0.16423897829789924,0.8470588235294118,0.12309245869103456,0.34177215189873417,0.17344048104243906,0.7792207792207793,0.17299686510673098,0.7956989247311828,0.1954811869162791,0.1744186046511628,0.17074974342445634,0,0
3,2000,0.594,0.5138413225228953,0.5147278890424123,56,2.661743402481079,0.5833333333333334,0.12839818299871972,0.9333333333333333,0.13160085156772947,0.3958333333333333,0.24098486946858522,0.7840909090909091,0.14721591371075277,0.8714285714285714,0.15079673703510524,0.125,0.20100344333652528,0,0
4,2500,0.6,0.4679570247796259,0.5195633791990161,56,3.2587904930114746,0.6292134831460674,0.22161451154730938,0.88,0.15907157863429147,0.3764705882352941,0.1631590622044786,0.8045977011494253,0.18592979067268525,0.8452380952380952,0.12734199700113558,0.07407407407407407,0.14288305992773034,0,0
5,3000,0.614,0.5479339672757317,0.5385512901436468,56,3.8526298999786377,0.6219512195121951,0.14991530931967792,0.8604651162790697,0.130346722822726,0.39285714285714285,0.19896553919587792,0.8470588235294118,0.1692308991577879,0.9117647058823529,0.1502900186022837,0.16666666666666666,0.20125151090156543,0,0
6,3500,0.634,0.5544089021359946,0.5568062928662766,56,4.441198348999023,0.5487804878048781,0.16583441505708557,0.9166666666666666,0.20229864423352445,0.4177215189873418,0.1769413915127335,0.75,0.1267709969669434,0.8061224489795918,0.19966194225248854,0.22857142857142856,0.12849260997722395,0,0
7,4000,0.598,0.5009357699612141,0.5159752256374197,56,5.040126085281372,0.5797101449275363,0.1552357662856154,0.9230769230769231,0.14564244050058567,0.35443037974683544,0.16483841141956382,0.8390804597701149,0.1746591456020083,0.7777777777777778,0.18360187682109208,0.1276595744680851,0.17602235937113458,0,0
8,4500,0.644,0.5159283758530484,0.5694513649359257,56,5.697859287261963,0.6739130434782609,0.14822100403171745,0.8804347826086957,0.20663639552811217,0.4642857142857143,0.16408992677549944,0.7831325301204819,0.16204410621387064,0.8117647058823529,0.21384120373157245,0.1076923076923077,0.10516736371922794,0,0
9,5000,0.634,0.5000933571826071,0.5566409373046677,56,6.398513555526733,0.6623376623376623,0.1879027474428201,0.9239130434782609,0.1885915442279369,0.21794871794871795,0.14920175681355732,0.8247422680412371,0.15825306963870123,0.9125,0.14899679466066837,0.15584415584415584,0.16705408721631615,0,0
