,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.6053511705685619,0.5848170390097782,0.5796474530262086,2043976,0.4525730609893799,0.5555555555555556,0.1553867664621941,0.6666666666666666,0.19158433504024877,0.3953488372093023,0.12356933274491434,0.5625,0.1552773893936473,0.68,0.15271773365260966,0.7142857142857143,0.21482759114839114,0,0
1,1000,0.554,0.5338695942889133,0.4628214640162648,3366840,3.233083486557007,0.52,0.17837715997971215,0.4805194805194805,0.13691434465531355,0.7528089887640449,0.19135673792654295,0.527027027027027,0.1080737465031356,0.358974358974359,0.21081380593684645,0.6506024096385542,0.17442059767783255,0,0
2,1500,0.51,0.45480374545277125,0.40997692889379106,4674088,6.612951040267944,0.4666666666666667,0.12367311815404895,0.3225806451612903,0.19825469865466602,0.797979797979798,0.1975141473576068,0.21794871794871795,0.16831237035048555,0.4,0.1518236520752634,0.8450704225352113,0.1604217268867685,0,0
3,2000,0.504,0.0,0.4001722086239757,6227200,11.079277515411377,0.7444444444444445,0.18583152449299714,0.7647058823529411,0.16181817438048923,0.65,0.1514687389224687,0.0,0.12298439166851383,0.023529411764705882,0.14766904674342465,0.7252747252747253,0.23022812190952394,0,0
4,2500,0.5,0.0,0.39718073486079697,6225136,15.662402391433716,0.75,0.2319672954015782,0.8191489361702128,0.1821122279114181,0.7,0.11330838446534752,0.0,0.15357448213723587,0.0,0.172755283539506,0.6933333333333334,0.14628232653254475,0,0
5,3000,0.488,0.0,0.38256121326721587,7536704,20.588191747665405,0.7529411764705882,0.20324293394384757,0.632183908045977,0.18125948202903866,0.7590361445783133,0.14137804839876825,0.0,0.15511914752895464,0.14102564102564102,0.14310313006584652,0.5795454545454546,0.17589725803346276,0,0
6,3500,0.572,0.4993421024275275,0.48568324817465613,9592872,26.05586338043213,0.7682926829268293,0.10969401219822227,0.7395833333333334,0.19623710172585884,0.23863636363636365,0.17184281913791877,0.2236842105263158,0.14346882698734176,0.6842105263157895,0.19125542345040483,0.7469879518072289,0.18750181650025283,0,0
7,4000,0.522,0.47379897019615164,0.42952347308019134,11241408,32.0699987411499,0.6767676767676768,0.22764943504868487,0.675,0.1577466436250667,0.25263157894736843,0.1832270743369928,0.23376623376623376,0.13537630687329166,0.7887323943661971,0.17506006089328283,0.5316455696202531,0.12094047922268117,0,0
8,4500,0.56,0.487817159428923,0.4695650915964645,11728768,38.25535869598389,0.7534246575342466,0.12964030567250973,0.7111111111111111,0.1331067358460072,0.1978021978021978,0.19992463605130023,0.25,0.1559004760633179,0.7586206896551724,0.19521288129412254,0.6704545454545454,0.18621496507274243,0,0
9,5000,0.528,0.46477639551703104,0.43407175778271234,11979760,44.50546169281006,0.675,0.16948906210151668,0.6781609195402298,0.13759459721164463,0.21052631578947367,0.12379966459442793,0.21052631578947367,0.24067555650569936,0.7317073170731707,0.2012213223794662,0.6790123456790124,0.12721979720724536,0,0
10,5500,0.562,0.4588637350017641,0.47238577995355074,11978656,50.76782727241516,0.7931034482758621,0.1824522187544182,0.7362637362637363,0.15587036757893064,0.2,0.17216293687773157,0.15384615384615385,0.1551066569942406,0.7528089887640449,0.18077377467118202,0.6901408450704225,0.1536340451234968,0,0
11,6000,0.57,0.4773816276362944,0.47973885310245024,11977408,56.8822820186615,0.6941176470588235,0.13925152272175736,0.6419753086419753,0.1402594796980587,0.21518987341772153,0.16479169538139296,0.20270270270270271,0.18693891050621184,0.7840909090909091,0.173781705688197,0.776595744680851,0.19497668600438195,0,0
12,6500,0.57,0.49224737221886783,0.48118511797609104,12827688,63.10948348045349,0.7755102040816326,0.18532108684732032,0.5882352941176471,0.1785887992087386,0.18823529411764706,0.16758875965972467,0.2916666666666667,0.12387482371953093,0.7931034482758621,0.18385375641047197,0.7162162162162162,0.1607727741542135,0,0
13,7000,0.508,0.43178685867598593,0.40821569816113856,14138080,69.498300075531,0.6867469879518072,0.18841612114903492,0.6455696202531646,0.14291802412679477,0.16483516483516483,0.16244761331197952,0.18518518518518517,0.16477376490629592,0.7083333333333334,0.21165437971376716,0.676056338028169,0.12979009679212763,0,0
14,7500,0.536,0.48156187061859324,0.4440530450077402,15271296,76.34873342514038,0.7717391304347826,0.2206890963991242,0.7375,0.13754133752183456,0.27472527472527475,0.16734318509482446,0.23529411764705882,0.1578628476671701,0.49206349206349204,0.12971558335113054,0.6888888888888889,0.18684794996591608,0,0
15,8000,0.58,0.5510976904728537,0.4965549977704578,15508104,83.30495023727417,0.8181818181818182,0.1602271537842442,0.6746987951807228,0.203430284349392,0.4942528735632184,0.1268461397256475,0.26136363636363635,0.16043378989521623,0.5172413793103449,0.18498600895916426,0.759493670886076,0.16407662328633588,0,0
16,8500,0.552,0.5016442284250564,0.46295852313593866,16466800,90.34937572479248,0.7684210526315789,0.2364836716722939,0.7721518987341772,0.16374551119393754,0.5211267605633803,0.15790489928766638,0.21978021978021978,0.19546909606291224,0.34146341463414637,0.12031346108782158,0.6867469879518072,0.12608336069536843,0,0
17,9000,0.59,0.5302022736010453,0.5063880608515167,17041904,97.71409320831299,0.7931034482758621,0.20240275767259164,0.7263157894736842,0.21394685942126082,0.36619718309859156,0.1172663812036611,0.22093023255813954,0.1628288367544799,0.6625,0.1505082689848443,0.7195121951219512,0.15304689596316215,0,0
18,9500,0.612,0.5695984010456577,0.5307435537709835,17422528,105.21758675575256,0.7142857142857143,0.12033374899454437,0.7731958762886598,0.20152663750850772,0.39759036144578314,0.1945806295290853,0.3194444444444444,0.12513764213326914,0.6931818181818182,0.19541372395268508,0.7023809523809523,0.16300761788190807,0,0
19,10000,0.624,0.5787665072414102,0.5464261760348963,18862056,112.56100678443909,0.7674418604651163,0.19594780039716855,0.6741573033707865,0.1536529539746911,0.4166666666666667,0.18488385474811309,0.30303030303030304,0.15175969134164913,0.8409090909090909,0.17047968825240611,0.6842105263157895,0.14327601128597175,0,0
20,10500,0.554,0.48403768750463866,0.46391137950266365,19426840,120.34328365325928,0.8117647058823529,0.14106891761412502,0.7195121951219512,0.1689361748544889,0.26595744680851063,0.19464552198617038,0.1917808219178082,0.12313744636009141,0.6941176470588235,0.19639794444291736,0.6219512195121951,0.17581399474220685,0,0
21,11000,0.608,0.5755975073655943,0.5292806640024593,19539240,128.201819896698,0.8,0.16841874062346937,0.6666666666666666,0.1826848098609824,0.34328358208955223,0.10796717173476572,0.36893203883495146,0.23410291922774432,0.7619047619047619,0.17133077029444088,0.7066666666666667,0.13549558825859706,0,0
22,11500,0.582,0.5637869039731814,0.5007095180532926,19886784,136.0120804309845,0.7710843373493976,0.15954607015184438,0.6623376623376623,0.15522735919542716,0.40860215053763443,0.2077268234059591,0.3118279569892473,0.15207482198758812,0.7307692307692307,0.17111967153015717,0.6753246753246753,0.15430525372902387,0,0
23,12000,0.598,0.5353295607061418,0.5154641660439216,19885584,143.85704708099365,0.8235294117647058,0.21250351216739166,0.7127659574468085,0.1925666518322492,0.3048780487804878,0.176210890665648,0.28169014084507044,0.1389207293894118,0.7575757575757576,0.11241232353636617,0.6162790697674418,0.16738589240893312,0,0
24,12500,0.62,0.5705166553380574,0.540878709820846,20108456,151.47624826431274,0.7956989247311828,0.13351418455397887,0.6825396825396826,0.12143949840727666,0.37662337662337664,0.18684764799200854,0.29069767441860467,0.19353069452255345,0.7916666666666666,0.1922911064360667,0.7325581395348837,0.1723768680881158,0,0
25,13000,0.58,0.552759157228398,0.4951097775597934,20223088,159.17997455596924,0.7340425531914894,0.18051035344939703,0.6447368421052632,0.1668112135859222,0.42045454545454547,0.18650968490930336,0.3375,0.149706717407561,0.7529411764705882,0.15648729510796178,0.5641025641025641,0.15997473553985464,0,0
26,13500,0.61,0.5713085092096606,0.5297601535634534,20333304,167.00917053222656,0.7564102564102564,0.15563326600974758,0.6956521739130435,0.13816074328353473,0.32098765432098764,0.1780102718420537,0.35714285714285715,0.17336557337693909,0.7578947368421053,0.21547117779136804,0.7605633802816901,0.1393589676963568,0,0
27,14000,0.57,0.550322513943586,0.484424833936836,20969712,174.8042221069336,0.7441860465116279,0.17091469988391034,0.6161616161616161,0.19926835662545073,0.3333333333333333,0.15377624524674172,0.4375,0.17997447788941218,0.6527777777777778,0.15769656566881105,0.6363636363636364,0.13836965468567408,0,0
28,14500,0.596,0.5645564135917958,0.5153295039565428,21307800,182.71111226081848,0.717948717948718,0.1137460741096247,0.7142857142857143,0.20392652348276596,0.32098765432098764,0.19229459656802578,0.36666666666666664,0.18470428350066806,0.7894736842105263,0.12882223507360743,0.6794871794871795,0.17650628726530804,0,0
29,15000,0.602,0.5807132089913587,0.5205858970343781,21703232,190.57979488372803,0.7215189873417721,0.1427819205054257,0.6179775280898876,0.14452471884784654,0.35064935064935066,0.1658590378200397,0.524390243902439,0.1392546954211585,0.6976744186046512,0.19121191800178458,0.6704545454545454,0.21636770940374497,0,0
30,15500,0.598,0.5724163019549735,0.5163711959346308,22155592,198.5385036468506,0.7792207792207793,0.13746694893293523,0.64,0.1735288540018968,0.35526315789473684,0.14493970390957284,0.3978494623655914,0.19235333249795983,0.7294117647058823,0.180709541284577,0.6842105263157895,0.17100161937305833,0,0
31,16000,0.582,0.5438735378555474,0.4986927634261591,23116656,206.43264293670654,0.7789473684210526,0.1870771162894275,0.5,0.16976978196605658,0.2823529411764706,0.17722492858195488,0.4117647058823529,0.1831289274023682,0.782608695652174,0.133932797921396,0.7303370786516854,0.14886644783879674,0,0
32,16500,0.612,0.5653007515152499,0.5320113861147295,23917400,214.54686522483826,0.84375,0.18519500700341288,0.4473684210526316,0.15662469075116608,0.3875,0.16456193437825078,0.38961038961038963,0.1405651356021657,0.7662337662337663,0.1628607745309571,0.7473684210526316,0.19019245773404742,0,0
33,17000,0.634,0.6055020070944741,0.5595307437913091,24185120,222.78485083580017,0.8426966292134831,0.17627925982876472,0.6746987951807228,0.1704143171229716,0.36046511627906974,0.17376973703026158,0.4470588235294118,0.17650257836909747,0.7717391304347826,0.20078267550443243,0.696969696969697,0.1022514321444723,0,0
34,17500,0.622,0.5871661199254835,0.5452686283473281,25001744,231.19610619544983,0.9054054054054054,0.17836624271582713,0.5176470588235295,0.15113786536289397,0.32051282051282054,0.1715320382721329,0.4666666666666667,0.1675288644241395,0.7682926829268293,0.1412238574028252,0.7608695652173914,0.1902111318221814,0,0
35,18000,0.618,0.5853984752564618,0.5393638880581897,25370152,239.61482501029968,0.8656716417910447,0.09912821961358731,0.6785714285714286,0.19369152681141197,0.3291139240506329,0.2050269907392249,0.4,0.15085732279560132,0.8085106382978723,0.18017769514144769,0.6436781609195402,0.17111824489872676,0,0
36,18500,0.65,0.6281164726988617,0.5803538456373586,26329544,248.14586520195007,0.813953488372093,0.19857898039200064,0.6875,0.1639097182262539,0.3626373626373626,0.18761237374815504,0.5125,0.1637736962651474,0.8,0.16124318714159425,0.7380952380952381,0.12488204422684884,0,0
37,19000,0.612,0.5702748525857408,0.532088141087485,27201880,256.70025873184204,0.7901234567901234,0.1361971673331562,0.6428571428571429,0.18084736613323926,0.3076923076923077,0.1568745083980326,0.4050632911392405,0.187824515854997,0.7111111111111111,0.17658804078253332,0.7640449438202247,0.16166840149804165,0,0
38,19500,0.618,0.5723245304336085,0.5385938466295609,28178376,265.087443113327,0.8235294117647058,0.20442482397174225,0.5487804878048781,0.19831241721735055,0.3974358974358974,0.162596141736743,0.325,0.15751411870230672,0.7959183673469388,0.14827838877663746,0.7564102564102564,0.12887410959521986,0,0
39,20000,0.632,0.5988073771742675,0.5595641600122556,28403752,273.7079029083252,0.8571428571428571,0.17531473508628664,0.6219512195121951,0.1460446303541978,0.28888888888888886,0.1811053489505426,0.4659090909090909,0.20561440546230145,0.7777777777777778,0.14913936114151083,0.8260869565217391,0.14278151900516062,0,0
