,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.6120401337792643,0.5834345789255416,0.5869234257591219,56,1.493311882019043,0.6923076923076923,0.1193182219948374,0.7894736842105263,0.20030992915848328,0.4,0.16899161966302995,0.3673469387755102,0.12305402756287054,0.78,0.1870476856481377,0.6296296296296297,0.1946416644146466,0,0
1,1000,0.64,0.5879188993610356,0.5676278140223104,56,2.9082276821136475,0.7125,0.17680990258429657,0.8709677419354839,0.16471426088696586,0.3372093023255814,0.20344220607259553,0.3048780487804878,0.14482543766992256,0.8414634146341463,0.1675799827431598,0.7692307692307693,0.1425846027224429,0,0
2,1500,0.608,0.5772974146940788,0.5271365706786073,56,4.130099534988403,0.6052631578947368,0.14183055723885749,0.8289473684210527,0.1412396884221392,0.4,0.18299733962993237,0.3563218390804598,0.17445008496333037,0.7864077669902912,0.22126679864224355,0.6582278481012658,0.13821524458233653,0,0
3,2000,0.598,0.5507823338279225,0.5171031957678058,56,5.044219732284546,0.7160493827160493,0.134636185359683,0.8315789473684211,0.22524168385600962,0.37362637362637363,0.17340398644347457,0.24691358024691357,0.16185718983494674,0.7671232876712328,0.11288299427932272,0.6625,0.19197795834398096,0,0
4,2500,0.62,0.5791024811634292,0.5430781144036207,56,5.688884258270264,0.6842105263157895,0.15444603270597965,0.7894736842105263,0.1652050091103602,0.37373737373737376,0.17014684647543882,0.28205128205128205,0.1551248858685848,0.8255813953488372,0.1741829857395779,0.8023255813953488,0.1808942400876892,0,0
5,3000,0.598,0.5538604587551215,0.5167084237000418,56,6.458472967147827,0.7317073170731707,0.13634232800620932,0.7808219178082192,0.14204727895119396,0.34210526315789475,0.1354128128729428,0.2631578947368421,0.206813057050486,0.7857142857142857,0.21014251441679144,0.7142857142857143,0.16924200870229514,0,0
6,3500,0.58,0.5309617849978616,0.4956796557173116,56,7.311176538467407,0.5769230769230769,0.1213335670620988,0.8,0.18939885442502816,0.2857142857142857,0.19245329255793323,0.2840909090909091,0.13085092468766504,0.8352941176470589,0.21129967426279025,0.7160493827160493,0.15466368700448377,0,0
7,4000,0.634,0.5839202435844133,0.5620857163368351,56,7.935467481613159,0.7466666666666667,0.14687891737765463,0.8333333333333334,0.17254064485328158,0.36046511627906974,0.1708445426779898,0.24468085106382978,0.2043651471195293,0.9090909090909091,0.1297803141261372,0.7945205479452054,0.1755904338454076,0,0
8,4500,0.62,0.590906738543502,0.5446877036923431,56,8.867085218429565,0.618421052631579,0.11662439538508418,0.8243243243243243,0.11798007346339164,0.38461538461538464,0.1963969317039147,0.3020833333333333,0.23013797153113266,0.8625,0.17117140612620563,0.8333333333333334,0.16768922179027107,0,0
9,5000,0.612,0.5561012478464865,0.5326022011063354,56,9.819971084594727,0.6944444444444444,0.13218150185500818,0.8541666666666666,0.19399273084576515,0.3684210526315789,0.19046660585175854,0.22340425531914893,0.1935820694340544,0.875,0.10836113261242959,0.6923076923076923,0.18141595940098398,0,0
10,5500,0.614,0.541573619697762,0.5348971713072522,56,10.632756471633911,0.574468085106383,0.2038285596371401,0.8354430379746836,0.1842111611171489,0.22857142857142856,0.11272405940055719,0.34523809523809523,0.1567059908716515,0.898876404494382,0.18026883593099496,0.7411764705882353,0.16226139304250733,0,0
