,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.5317725752508361,0.456435018739942,0.5018687606927429,15491816,3.9465291500091553,0.7948717948717948,0.1193182219948374,0.6666666666666666,0.20030992915848328,0.14,0.16899161966302995,0.30612244897959184,0.12305402756287054,0.86,0.1870476856481377,0.46296296296296297,0.1946416644146466,0,0
1,1000,0.558,0.4039183496052236,0.46796729804423826,15576536,9.973911762237549,0.9125,0.17680990258429657,0.8494623655913979,0.16471426088696586,0.08139534883720931,0.20344220607259553,0.23170731707317074,0.14482543766992256,0.926829268292683,0.1675799827431598,0.32051282051282054,0.1425846027224429,0,0
2,1500,0.43,0.0,0.312172376842654,15658784,15.85789942741394,0.8421052631578947,0.14183055723885749,0.6447368421052632,0.1412396884221392,0.025,0.18299733962993237,0.0,0.17445008496333037,0.912621359223301,0.22126679864224355,0.0759493670886076,0.13821524458233653,0,0
3,2000,0.366,0.0,0.24391314303159822,15881280,21.701015949249268,0.9259259259259259,0.134636185359683,0.031578947368421054,0.22524168385600962,0.02197802197802198,0.17340398644347457,0.4691358024691358,0.16185718983494674,0.8904109589041096,0.11288299427932272,0.0,0.19197795834398096,0,0
4,2500,0.452,0.0,0.34564351422867134,17357064,27.5941059589386,0.9078947368421053,0.15444603270597965,0.0,0.1652050091103602,0.08080808080808081,0.17014684647543882,0.8974358974358975,0.1551248858685848,0.9186046511627907,0.1741829857395779,0.0,0.1808942400876892,0,0
5,3000,0.516,0.0,0.40584044115119644,17778888,34.906540870666504,0.9512195121951219,0.13634232800620932,0.0,0.14204727895119396,0.09210526315789473,0.1354128128729428,0.8736842105263158,0.206813057050486,0.9183673469387755,0.21014251441679144,0.0,0.16924200870229514,0,0
6,3500,0.476,0.2601974104075547,0.368765961547728,27787672,42.222031116485596,0.8205128205128205,0.1213335670620988,0.2235294117647059,0.18939885442502816,0.047619047619047616,0.19245329255793323,0.7840909090909091,0.13085092468766504,0.9176470588235294,0.21129967426279025,0.04938271604938271,0.15466368700448377,0,0
7,4000,0.59,0.5539640667832401,0.5088455714641673,35674880,48.03450298309326,0.6933333333333334,0.14687891737765463,0.6770833333333334,0.17254064485328158,0.3372093023255814,0.1708445426779898,0.2765957446808511,0.2043651471195293,0.9090909090909091,0.1297803141261372,0.726027397260274,0.1755904338454076,0,0
8,4500,0.632,0.5950946474203973,0.5591864114419876,37276928,54.28153967857361,0.75,0.11662439538508418,0.7567567567567568,0.11798007346339164,0.31868131868131866,0.1963969317039147,0.3229166666666667,0.23013797153113266,0.9125,0.17117140612620563,0.8333333333333334,0.16768922179027107,0,0
9,5000,0.596,0.5259956510457771,0.5144044001692373,39547976,60.420559883117676,0.8333333333333334,0.13218150185500818,0.7083333333333334,0.19399273084576515,0.27631578947368424,0.19046660585175854,0.20212765957446807,0.1935820694340544,0.8472222222222222,0.10836113261242959,0.7582417582417582,0.18141595940098398,0,0
10,5500,0.66,0.5697620064434857,0.5894532966900277,42114984,66.73672986030579,0.851063829787234,0.2038285596371401,0.7721518987341772,0.1842111611171489,0.21428571428571427,0.11272405940055719,0.36904761904761907,0.1567059908716515,0.9325842696629213,0.18026883593099496,0.7058823529411765,0.16226139304250733,0,0
11,6000,0.652,0.585067250743137,0.5807612796900525,46663824,74.69286632537842,0.8369565217391305,0.20814890024546046,0.7375,0.16663108747386218,0.29213483146067415,0.1486268399276027,0.3235294117647059,0.15068839078951451,0.868421052631579,0.15838374542825776,0.7916666666666666,0.16752103613530217,0,0
12,6500,0.628,0.5649239374863726,0.5536914040004607,48910736,82.54596495628357,0.8313253012048193,0.21979607860407108,0.6195652173913043,0.2259011273219536,0.4444444444444444,0.15838846383941127,0.2,0.1448652448864649,0.8266666666666667,0.11534958699430681,0.8588235294117647,0.1356994983537925,0,0
