,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,drifts_alerts,local_alerts
0,500,0.24749163879598662,0.0,0.19867832781304615,1537760,0.4444849491119385,0.875,0.19720309998532104,0.0,0.139411518527721,0.6153846153846154,0.16095116071264898,0.0,0.1589286453937115,0.0,0.14158639802664408,0.0,0.1952823257959588,0,0
1,1000,0.26,0.0,0.1091549973996957,1537736,1.065277099609375,0.9186046511627907,0.15298012826899324,0.0,0.2029814379463353,0.5952380952380952,0.1540613927500194,0.0,0.18225245721650213,0.0,0.13975168397260138,0.011764705882352941,0.16792929252493172,0,0
2,1500,0.292,0.0,0.1430023966882126,1537736,1.6970434188842773,0.9659090909090909,0.21436975368900582,0.0,0.15207161311299414,0.35714285714285715,0.16159638862906264,0.01098901098901099,0.17906709474461965,0.0,0.12783850017048246,0.3333333333333333,0.1650563631326744,0,0
3,2000,0.302,0.0,0.1535495137154083,1537736,2.319120168685913,0.963855421686747,0.16257858474545694,0.0,0.10781632639653994,0.0684931506849315,0.11876838705795498,0.6813186813186813,0.17969231148520837,0.0,0.19778589880974473,0.04395604395604396,0.23335848962251263,0,0
4,2500,0.316,0.0,0.1682919830156468,1537736,2.951242446899414,0.9452054794520548,0.14983977045120403,0.0,0.15679460378818322,0.0,0.1903353547561244,0.0,0.12377243648831371,0.0,0.19059062716678052,0.9468085106382979,0.18866720733702458,0,0
5,3000,0.31,0.0,0.17740020314638463,1537736,3.577725648880005,0.9767441860465116,0.16034866005181145,0.0,0.12228658290918673,0.0,0.2436725610959429,0.0,0.16471402256351955,0.0,0.16347715124320053,0.9102564102564102,0.14550102213625768,0,0
6,3500,0.324,0.16784588300330738,0.17604384031827133,2728184,4.2113564014434814,0.8791208791208791,0.16669645382006218,0.09090909090909091,0.14110134302780797,0.10112359550561797,0.16942458184999853,0.46601941747572817,0.21982682909851264,0.024096385542168676,0.15839535423782256,0.2463768115942029,0.14455543796579545,0,0
7,4000,0.424,0.0,0.30770562104574917,3467312,4.856647729873657,0.7555555555555555,0.152926161327218,0.3170731707317073,0.1925166346204398,0.2289156626506024,0.17399131775560833,0.5333333333333333,0.15546713488749397,0.6629213483146067,0.15664223498914767,0.0,0.16845651642009213,0,0
8,4500,0.418,0.0,0.29959516118938845,3354440,5.483485460281372,0.6170212765957447,0.1855513061681885,0.38372093023255816,0.1563364925349393,0.7976190476190477,0.16558385655100863,0.5316455696202531,0.16216769689184618,0.0,0.18627792193766043,0.11842105263157894,0.1440827259163569,0,0
9,5000,0.434,0.0,0.31097617389695326,3243128,6.111423492431641,0.7037037037037037,0.1708267304272801,0.3333333333333333,0.14515040014583225,0.8260869565217391,0.18835733254609435,0.6179775280898876,0.19302352634336364,0.0,0.21798789938955726,0.0,0.08465411114787234,0,0
10,5500,0.418,0.3494657799193729,0.2995142335819135,3755880,6.7467896938323975,0.6458333333333334,0.23335329544695346,0.27586206896551724,0.17161373819588413,0.379746835443038,0.17317556838781922,0.6666666666666666,0.14029868110149993,0.34831460674157305,0.162140904879225,0.11594202898550725,0.11941781198861814,0,0
11,6000,0.458,0.3254804228700308,0.34973005398920215,4492840,7.399138689041138,0.6129032258064516,0.18795724184014548,0.313953488372093,0.15973746135707198,0.2777777777777778,0.19047022434732624,0.7721518987341772,0.15848856874277056,0.691358024691358,0.1437848943581582,0.041666666666666664,0.15956160935452776,0,0
12,6500,0.464,0.4267240989884096,0.3560323906096067,4492984,8.060822486877441,0.6823529411764706,0.1690769464128202,0.3595505617977528,0.1751141381045382,0.3013698630136986,0.1647165785294703,0.25,0.1672179682707688,0.6941176470588235,0.17178020161784086,0.47058823529411764,0.15209416706456166,0,0
13,7000,0.51,0.3905263581580329,0.41208089766848083,4606624,8.739579200744629,0.6753246753246753,0.13826649922410325,0.34831460674157305,0.1814128999628395,0.47692307692307695,0.14286840009536425,0.05434782608695652,0.2029956689692536,0.8181818181818182,0.1812966806903385,0.7111111111111111,0.1531598510581007,0,0
14,7500,0.442,0.3753005376061314,0.337852077578105,4605088,9.414036512374878,0.6962025316455697,0.17356916297545216,0.3235294117647059,0.19030074918382522,0.3263157894736842,0.18721382616515625,0.07777777777777778,0.21802444185499262,0.7681159420289855,0.12336212215659674,0.6363636363636364,0.10752969766397705,0,0
15,8000,0.46,0.4245707588257711,0.35153829526622954,4413048,10.08144474029541,0.6867469879518072,0.14074122802509725,0.34146341463414637,0.16287555807187054,0.25263157894736843,0.1886730081874864,0.5789473684210527,0.19019935018546327,0.746031746031746,0.13719098500543628,0.2289156626506024,0.1803198705246462,0,0
16,8500,0.484,0.2788108333363311,0.37765641809910216,5143272,10.74462342262268,0.5882352941176471,0.18416663206152378,0.3010752688172043,0.1892732709867499,0.3026315789473684,0.16382111897549778,0.7375,0.18096448149304867,0.84375,0.15024718444902727,0.014084507042253521,0.13152731203415258,0,0
17,9000,0.474,0.3183785913231739,0.3622603626628903,5034144,11.40561556816101,0.5512820512820513,0.17619575988155128,0.38461538461538464,0.17708968922516896,0.3103448275862069,0.17149784101239918,0.7340425531914894,0.1946696959078673,0.7439024390243902,0.15144737297166896,0.028985507246376812,0.12909964100134433,0,0
18,9500,0.492,0.34297715158409114,0.39083762225217406,5547472,12.072147846221924,0.5757575757575758,0.23467064168447846,0.34065934065934067,0.1620430388889212,0.27710843373493976,0.15287097997468804,0.8205128205128205,0.13857548497187344,0.8395061728395061,0.16098210406587543,0.043478260869565216,0.1508577504141635,0,0
19,10000,0.504,0.3978611717097027,0.39879662356426326,5547808,12.746647834777832,0.6875,0.16402385466171363,0.3835616438356164,0.15537531206858432,0.25333333333333335,0.1365102338104186,0.7311827956989247,0.13209088437494748,0.7849462365591398,0.20786521181870773,0.10344827586206896,0.2041345032656281,0,0
20,10500,0.49,0.4588744326705976,0.38644697458206206,5911832,13.432111263275146,0.6179775280898876,0.18591448707403857,0.3150684931506849,0.1330870631177572,0.27380952380952384,0.18942512498944555,0.569620253164557,0.1813846556660716,0.6373626373626373,0.11806097486016703,0.4823529411764706,0.19212769429251983,0,0
21,11000,0.56,0.49133791945712135,0.47012466521512947,6231872,14.138396739959717,0.8333333333333334,0.18614504803598883,0.43902439024390244,0.14171099994508543,0.25,0.18350783861285225,0.275,0.18425279633762823,0.7341772151898734,0.158074543055878,0.7619047619047619,0.14630877401256734,0,0
22,11500,0.544,0.46837386417904653,0.4528700326358227,6681872,14.835217714309692,0.7532467532467533,0.14429733552068313,0.651685393258427,0.19352446846360258,0.358974358974359,0.14686340128746794,0.12087912087912088,0.16801945719750355,0.6395348837209303,0.18565956656217075,0.775,0.16163577096857185,0,0
23,12000,0.54,0.44402073471408776,0.44781093046259046,6684536,15.540414333343506,0.7560975609756098,0.16150584902687068,0.6923076923076923,0.15451692645265466,0.21428571428571427,0.15798428798157935,0.12643678160919541,0.20559391766997626,0.7333333333333333,0.13274121625887525,0.7368421052631579,0.18765780261004386,0,0
24,12500,0.568,0.42235144685604226,0.47984395318595574,6714040,16.25744318962097,0.6741573033707865,0.1593505279709415,0.7283950617283951,0.1771960635632439,0.23076923076923078,0.13179093286883042,0.07407407407407407,0.17373754822148255,0.8734177215189873,0.16094343999042998,0.7741935483870968,0.1969814873850717,0,0
25,13000,0.544,0.4331015223130131,0.45276235004968346,7081760,16.956387042999268,0.7341772151898734,0.15010104369016378,0.8275862068965517,0.16589502239431253,0.13953488372093023,0.19208858589087416,0.15294117647058825,0.12551945384395652,0.7160493827160493,0.1866166188348457,0.7108433734939759,0.1797792753458474,0,0
26,13500,0.566,0.4731708644344127,0.480563002680965,7113888,17.65800166130066,0.8117647058823529,0.17397255232461045,0.7926829268292683,0.13367568618078327,0.17777777777777778,0.18138610022583482,0.17857142857142858,0.17556988233282703,0.8194444444444444,0.13100291684159093,0.6704545454545454,0.20439286209435364,0,0
27,14000,0.608,0.491863073872102,0.5263824316879151,7624728,18.355390548706055,0.686046511627907,0.17600309440118117,0.9318181818181818,0.13653406394218676,0.27710843373493976,0.14755660949376811,0.14492753623188406,0.14752461767784011,0.8095238095238095,0.1694688152602055,0.6813186813186813,0.22291279922481852,0,0
28,14500,0.542,0.44945491493770917,0.44938951964645524,7880368,19.044256925582886,0.6666666666666666,0.17020617787339506,0.8404255319148937,0.1534552204554008,0.22077922077922077,0.1562122556732266,0.14772727272727273,0.1846889775970404,0.7027027027027027,0.18307868048797607,0.6419753086419753,0.15235868791296098,0,0
29,15000,0.57,0.487222758576059,0.48604922453194616,8135336,19.740974187850952,0.7093023255813954,0.1656917481416264,0.8421052631578947,0.1716685737495339,0.22826086956521738,0.16621168548668874,0.16470588235294117,0.20353249132422946,0.7974683544303798,0.14510504235588176,0.7469879518072289,0.1477904589420397,0,0
30,15500,0.612,0.5478418184217997,0.5321761525588035,8616232,20.44606614112854,0.7875,0.13432694497736009,0.8375,0.19474097697960333,0.26262626262626265,0.20653902199277038,0.2923076923076923,0.13813923405517695,0.7959183673469388,0.19956832618929565,0.6708860759493671,0.12668549580579336,0,0
31,16000,0.652,0.6231417412151817,0.5813382738625154,8505448,21.18223786354065,0.7926829268292683,0.18122469276994005,0.8734177215189873,0.1537896589077299,0.43209876543209874,0.15059062904115075,0.44,0.1934621765380817,0.7553191489361702,0.1696438857191405,0.5888888888888889,0.15128895702395728,0,0
32,16500,0.594,0.5584307863833614,0.5133924933001577,8618200,21.9163818359375,0.7654320987654321,0.1842085820486787,0.8536585365853658,0.17502967892003604,0.3404255319148936,0.12813904008556745,0.3181818181818182,0.18760423118150893,0.7926829268292683,0.14883537570971048,0.5405405405405406,0.1761830920544985,0,0
33,17000,0.594,0.5309424704219808,0.5094509233438531,8279752,22.650191068649292,0.7682926829268293,0.1502129198111841,0.8888888888888888,0.18573663027540024,0.3253012048192771,0.1768087333242827,0.30666666666666664,0.14106207758983033,0.7446808510638298,0.15891274327919816,0.44155844155844154,0.18726689572010455,0,0
34,17500,0.562,0.49704616966915793,0.4755546189509177,8648400,23.37289071083069,0.7701149425287356,0.17273333641120348,0.75,0.14352051785280887,0.30526315789473685,0.20643429778672331,0.16666666666666666,0.18326480652521118,0.7317073170731707,0.13063127427564436,0.7012987012987013,0.16341576714840875,0,0
35,18000,0.616,0.5494543321073153,0.5358192789726133,8792008,24.096134901046753,0.7972972972972973,0.12685646172429668,0.8297872340425532,0.19120639634298522,0.39436619718309857,0.14910476511701642,0.21428571428571427,0.13822048363598538,0.7674418604651163,0.1922487773128016,0.6413043478260869,0.20236311586691458,0,0
36,18500,0.58,0.4928105422216966,0.4935414476032451,9129568,24.827792167663574,0.7307692307692307,0.12837218772554368,0.8235294117647058,0.14208478330184132,0.3333333333333333,0.21687607718870383,0.14473684210526316,0.1501054261558641,0.7647058823529411,0.18838981321865944,0.6451612903225806,0.17417171240938772,0,0
37,19000,0.58,0.5200862341249909,0.49551246324447945,8904376,25.551640272140503,0.8041237113402062,0.21425133738797036,0.7228915662650602,0.1461348915915647,0.3263157894736842,0.16609913011254338,0.20512820512820512,0.1546817468291383,0.7538461538461538,0.1483264876395255,0.6746987951807228,0.17050640643925774,0,0
38,19500,0.56,0.538699637526398,0.47391075613372236,9387400,26.344775199890137,0.7532467532467533,0.1476957137179583,0.7368421052631579,0.13040848024859847,0.3695652173913043,0.18198624190130605,0.28421052631578947,0.19174473813045156,0.7108433734939759,0.18611955062844127,0.5897435897435898,0.16204527537324454,0,0
39,20000,0.622,0.5536406149857469,0.5447033826852382,9387328,27.077196836471558,0.8860759493670886,0.15724840665340695,0.8043478260869565,0.15469350141402705,0.40789473684210525,0.1711775198845659,0.19767441860465115,0.17130720611959188,0.7560975609756098,0.17943762287089318,0.6627906976744186,0.166135743057515,0,0
40,20500,0.606,0.5407024869433749,0.5239338050496849,9303656,27.823007345199585,0.7619047619047619,0.1916917504938009,0.6947368421052632,0.16369367619135536,0.3939393939393939,0.10585173838019946,0.21951219512195122,0.1613899104795071,0.8235294117647058,0.1893398956000918,0.6629213483146067,0.18803302885504528,0,0
41,21000,0.574,0.5071873000832138,0.4884898202269856,9927600,28.556652069091797,0.8072289156626506,0.17087323867153495,0.6987951807228916,0.13831206322093365,0.34065934065934067,0.1660431062483996,0.17721518987341772,0.18589268100907214,0.7590361445783133,0.179914210044375,0.6585365853658537,0.15896470080568464,0,0
42,21500,0.614,0.5450070433113634,0.5360443089704511,9928824,29.291686058044434,0.8717948717948718,0.167680423793933,0.8235294117647058,0.13873221274845782,0.275,0.16933354326202624,0.25882352941176473,0.17281801916459896,0.8452380952380952,0.14731052453917437,0.6067415730337079,0.20412527649180956,0,0
43,22000,0.608,0.560793192106529,0.5306063799214484,10185304,30.04727005958557,0.7469879518072289,0.17939538287386989,0.8607594936708861,0.15212456005697433,0.41346153846153844,0.18098578644826613,0.225,0.1626531644774199,0.8125,0.1831688348954682,0.64,0.14167227124800139,0,0
44,22500,0.59,0.5461311398601134,0.5090925635904731,10695008,30.791733503341675,0.8181818181818182,0.19068931913181955,0.8472222222222222,0.16917501932058124,0.3670886075949367,0.1420908483753727,0.2553191489361702,0.16521573983356797,0.7441860465116279,0.1714808479750641,0.5487804878048781,0.1613482253635944,0,0
45,23000,0.62,0.5722715786020823,0.5427790371407807,10950440,31.55039620399475,0.7674418604651163,0.1931956947725575,0.8068181818181818,0.18812963785070713,0.42857142857142855,0.1510664041312585,0.2625,0.13149495635663278,0.7272727272727273,0.18926414253223062,0.6933333333333334,0.14684916435661358,0,0
46,23500,0.588,0.547969267646741,0.5075304805163757,11237712,32.31832456588745,0.8333333333333334,0.15943695051982934,0.7972972972972973,0.13696031980333945,0.3695652173913043,0.18368786116882416,0.23076923076923078,0.18239454344455888,0.7205882352941176,0.14424548954626892,0.6630434782608695,0.1932748355171792,0,0
