,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.1705685618729097,0.0,0.14687910074232252,12171152,4.322134971618652,0.4,0.05700390503885849,0.15,0.04792999588233027,0.3125,0.04877496766423307,0.6071428571428571,0.09595629000587996,0.0,0.07201700290086778,0.0,0.04237567357240971,0.04,0.10279259354974676,0.2857142857142857,0.059320036844489575,0.5,0.07123294148718179,0.0,0.06770786161777914,0.0,0.07757163694884847,0.0,0.07446934783886945,0.0,0.07086799310105484,0.19047619047619047,0.05237037787262214,0.0,0.05297252411683393,0,0
1,1000,0.212,0.0,0.15823477131332467,12257936,10.518927097320557,0.375,0.05035363345426721,0.4,0.05843061574900707,0.3333333333333333,0.06348096725303994,0.5769230769230769,0.0454911448424377,0.05555555555555555,0.059030470983476586,0.0,0.04754760736092551,0.02702702702702703,0.09832754475731005,0.5151515151515151,0.05946901955108318,0.35135135135135137,0.06887826078496141,0.13157894736842105,0.060948237207387464,0.2564102564102564,0.07109707395130772,0.0,0.06502634706365715,0.1111111111111111,0.0749617309336586,0.21428571428571427,0.07513455637631489,0.0,0.10177918241054859,0,0
2,1500,0.228,0.0,0.17274605447017172,12337664,16.766114711761475,0.4,0.06782239473466749,0.2894736842105263,0.06946392197634166,0.53125,0.050903446046157846,0.0,0.04117655626101642,0.0,0.07869304354942298,0.0,0.08910926813620128,0.13513513513513514,0.06750111595463187,0.6176470588235294,0.07069713383237793,0.4642857142857143,0.04636687841420062,0.02631578947368421,0.07802580888375653,0.14814814814814814,0.05145256473136552,0.0,0.0753535658930803,0.3111111111111111,0.07870896015356893,0.4230769230769231,0.05356601122055406,0.13043478260869565,0.08115904369149599,0,0
3,2000,0.236,0.0,0.18118526647918237,12421064,22.907511711120605,0.5,0.08931571899786482,0.13333333333333333,0.05915947319289749,0.59375,0.04660075913058191,0.10344827586206896,0.07557313239869735,0.11904761904761904,0.08154936277286937,0.0,0.048019604033821515,0.0,0.06297302559544608,0.5897435897435898,0.06853866816604927,0.20512820512820512,0.08755388589368318,0.0,0.044796420690942106,0.17073170731707318,0.09419960385674946,0.05714285714285714,0.061391970852620034,0.7037037037037037,0.06226135417700985,0.3103448275862069,0.05242162647055131,0.10256410256410256,0.06564539188763366,0,0
4,2500,0.212,0.0,0.15358737169544612,12501248,29.26746678352356,0.6071428571428571,0.0481171921059939,0.21875,0.0731070266076615,0.6388888888888888,0.07442074156327551,0.03571428571428571,0.05747180591292709,0.10526315789473684,0.0894074019799141,0.0,0.06504673220584643,0.0,0.06449283838285245,0.5135135135135135,0.04998393462464023,0.18421052631578946,0.07277927821937011,0.0,0.05267969603533691,0.08333333333333333,0.08181503244726376,0.07142857142857142,0.06430721536830186,0.4864864864864865,0.0909396046601768,0.125,0.03066774064073365,0.047619047619047616,0.08476375923333616,0,0
5,3000,0.204,0.0,0.14575043034431837,12582032,35.574214458465576,0.4722222222222222,0.06309616113914601,0.23809523809523808,0.08143483698226284,0.5,0.07480001683166657,0.0,0.09739313577602163,0.0,0.04837082540655348,0.0,0.058597077150420666,0.0,0.03042386349340756,0.71875,0.0458667680052727,0.06451612903225806,0.061496602413436234,0.0,0.03908338722876057,0.15,0.06814665898722293,0.12903225806451613,0.052157804522863074,0.2,0.06138281913409663,0.3225806451612903,0.08928639897040162,0.1951219512195122,0.1284636439583861,0,0
6,3500,0.244,0.16907344559424053,0.18700935584471448,19523552,41.947068214416504,0.4482758620689655,0.06771543334239828,0.4594594594594595,0.09100152969322237,0.6744186046511628,0.07942481533828231,0.03571428571428571,0.052790753431355794,0.125,0.062171648948007675,0.05555555555555555,0.08050874136457953,0.07692307692307693,0.04405697568983874,0.4166666666666667,0.04374823946498806,0.1111111111111111,0.051801015020718426,0.05,0.07361751231064273,0.1951219512195122,0.1061512138300583,0.16,0.04714252617406511,0.27906976744186046,0.09036970948010917,0.23684210526315788,0.05329407830885821,0.20833333333333334,0.05620580760287481,0,0
7,4000,0.268,0.0,0.21323485154644495,24313344,48.49290227890015,0.03571428571428571,0.07120696625545685,0.10344827586206896,0.05946082637601108,0.23684210526315788,0.09452564319641911,0.1935483870967742,0.08095691196774885,0.43333333333333335,0.03641093010951032,0.22580645161290322,0.07095721610405073,0.5454545454545454,0.058727088505618565,0.3076923076923077,0.09749297954051002,0.2,0.08057491340634428,0.3333333333333333,0.09070750264169733,0.4411764705882353,0.050655514648223134,0.4117647058823529,0.04705719086527735,0.36363636363636365,0.07580530845750337,0.0,0.042279709236814116,0.0625,0.04318129868881477,0,0
8,4500,0.376,0.3117553713535246,0.32985660649695425,27707416,55.270161867141724,0.0625,0.07181113187060163,0.15625,0.0674558950042751,0.41025641025641024,0.09975165660625054,0.25,0.060293987428227724,0.35,0.09553334496421577,0.35135135135135137,0.0678221392072391,0.5,0.051640055832272554,0.36363636363636365,0.05642227632994965,0.5625,0.042950587151734484,0.5,0.08012954902201232,0.65625,0.06067811304570133,0.6,0.08255205547397805,0.35294117647058826,0.06851919267054869,0.07692307692307693,0.0457390601583415,0.3793103448275862,0.04870095523465162,0,0
9,5000,0.432,0.0,0.3905736332969967,28749848,62.120495319366455,0.15151515151515152,0.051990557003392494,0.0,0.06124250335326653,0.6,0.06639900056340538,0.21875,0.04533781958711997,0.4857142857142857,0.08295976151649612,0.5135135135135135,0.05465881653117148,0.6176470588235294,0.08467346266173922,0.3611111111111111,0.08005747229442767,0.7714285714285715,0.07061059595821366,0.5384615384615384,0.09075964384358151,0.7878787878787878,0.09104719592365991,0.6206896551724138,0.05311231678171384,0.4074074074074074,0.04433008396603986,0.16666666666666666,0.0579791814178354,0.14285714285714285,0.0648415885979367,0,0
