,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.4414715719063545,0.3528701745676739,0.4187880311875419,1836704,1.030911922454834,0.5,0.08269560209062182,0.5555555555555556,0.07101326649479996,0.775,0.13354970010513642,0.045454545454545456,0.07679926637402108,0.46875,0.13508695157745257,0.3448275862068966,0.09825862030396565,0.4,0.11627055838555798,0.26666666666666666,0.10347828801993908,0.5,0.09653327298407305,0.3548387096774194,0.07967762210643786,0,0
1,1000,0.584,0.5687816714185799,0.5357598807260001,1528936,2.4559385776519775,0.5,0.08575451841692353,0.6382978723404256,0.08651069803939072,0.6888888888888889,0.07414321300468486,0.3902439024390244,0.07792601018215486,0.7017543859649122,0.1397305630389091,0.5,0.08694426205444557,0.6885245901639344,0.10716077972230034,0.6346153846153846,0.08991087850005205,0.5208333333333334,0.10436144490073256,0.5172413793103449,0.14751402481978962,0,0
2,1500,0.41,0.3768040118924281,0.3420847216460817,1744152,3.8855388164520264,0.2982456140350877,0.11352605107714817,0.2708333333333333,0.0746637116800189,0.5714285714285714,0.07760863336748408,0.5172413793103449,0.1313702345791566,0.4897959183673469,0.09411641414434883,0.22,0.09044871405686156,0.5490196078431373,0.10464291535619995,0.6153846153846154,0.10018902415200232,0.3508771929824561,0.1105621768721533,0.1891891891891892,0.10287183819346563,0,0
3,2000,0.592,0.5703796030507464,0.5455780736965441,2890400,5.2086615562438965,0.5348837209302325,0.1128737234755232,0.5918367346938775,0.0822022278458211,0.5957446808510638,0.11315113146625126,0.7358490566037735,0.09199096773913695,0.6046511627906976,0.07898133589979886,0.6065573770491803,0.1400842437553798,0.6037735849056604,0.08207032490162638,0.6666666666666666,0.11831767049868519,0.2857142857142857,0.09330127070117016,0.6226415094339622,0.08702710183402462,0,0
4,2500,0.638,0.632067349711744,0.596982489891163,2056480,6.604344129562378,0.7111111111111111,0.07501667401951395,0.5882352941176471,0.12062828625741702,0.5581395348837209,0.11009590725983731,0.7241379310344828,0.10183003283885027,0.5818181818181818,0.0925519169462429,0.7254901960784313,0.09470413428061988,0.68,0.08921755263080702,0.6666666666666666,0.10958439122009553,0.48936170212765956,0.10736424864283944,0.6428571428571429,0.0990068558914072,0,0
5,3000,0.626,0.6241361084264155,0.5840284729173618,2492592,8.022284507751465,0.6071428571428571,0.09537868913164053,0.6153846153846154,0.12395232582143492,0.5849056603773585,0.10965395680557559,0.5319148936170213,0.09470708152742018,0.6904761904761905,0.05566178869274879,0.673469387755102,0.0821254452193677,0.6428571428571429,0.06507942602858442,0.660377358490566,0.0943084247102622,0.5625,0.10329001684982597,0.6949152542372882,0.17584284521305849,0,0
6,3500,0.698,0.6926254629358376,0.6627085176151034,2535320,9.57386565208435,0.75,0.11184889864798458,0.7213114754098361,0.12629287972591835,0.660377358490566,0.08775518578360776,0.5686274509803921,0.10771595796033519,0.6153846153846154,0.06706756075951653,0.631578947368421,0.07253866941602873,0.703125,0.14175222244075045,0.8095238095238095,0.08515902987401566,0.7538461538461538,0.11903005258878933,0.75,0.0808395428030528,0,0
7,4000,0.658,0.6506343923648586,0.6193452738710583,2084192,11.060788869857788,0.6585365853658537,0.10704440581285511,0.6111111111111112,0.11814903001503188,0.6363636363636364,0.0962039574183572,0.75,0.09212110076295262,0.52,0.10985058211965743,0.4838709677419355,0.12694439933281543,0.8333333333333334,0.09689149428673309,0.8392857142857143,0.09152871386846485,0.7073170731707317,0.09522182109708545,0.5686274509803921,0.06604449528604679,0,0
8,4500,0.73,0.7202535058815084,0.6994483206953207,2708040,12.497318983078003,0.5918367346938775,0.10585286415520291,0.6851851851851852,0.1331658193259243,0.7868852459016393,0.12069940843801613,0.7307692307692307,0.10295006316166642,0.8333333333333334,0.09303699333845909,0.6744186046511628,0.057975925975497555,0.896551724137931,0.11236862087721801,0.6595744680851063,0.11099109666447372,0.6170212765957447,0.08963414561593001,0.7857142857142857,0.07332506244761176,0,0
9,5000,0.732,0.7153978734098924,0.7014300165327557,2562888,14.0654137134552,0.62,0.07787376578341873,0.72,0.10175829513664565,0.7608695652173914,0.09729844562575245,0.8448275862068966,0.08565795200903513,0.4772727272727273,0.10693882208800819,0.8360655737704918,0.12840270882637253,0.7962962962962963,0.15056647330986922,0.723404255319149,0.08435268323908617,0.6444444444444445,0.06950445038313405,0.8260869565217391,0.0976464035986779,0,0
