,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.5050167224080268,0.4460156670840365,0.48525247649554987,2108520,1.047516107559204,0.5416666666666666,0.08269560209062182,0.4444444444444444,0.07101326649479996,0.875,0.13354970010513642,0.13636363636363635,0.07679926637402108,0.46875,0.13508695157745257,0.41379310344827586,0.09825862030396565,0.43333333333333335,0.11627055838555798,0.5666666666666667,0.10347828801993908,0.47058823529411764,0.09653327298407305,0.4838709677419355,0.07967762210643786,0,0
1,1000,0.66,0.6380217658624031,0.6213622939208603,2389392,2.512617826461792,0.35714285714285715,0.08575451841692353,0.5531914893617021,0.08651069803939072,0.8444444444444444,0.07414321300468486,0.6585365853658537,0.07792601018215486,0.7192982456140351,0.1397305630389091,0.64,0.08694426205444557,0.6721311475409836,0.10716077972230034,0.7884615384615384,0.08991087850005205,0.5625,0.10436144490073256,0.7413793103448276,0.14751402481978962,0,0
2,1500,0.608,0.5944486143795674,0.5629877369007804,1862992,3.981480836868286,0.7017543859649122,0.11352605107714817,0.5833333333333334,0.0746637116800189,0.5952380952380952,0.07760863336748408,0.5344827586206896,0.1313702345791566,0.7346938775510204,0.09411641414434883,0.52,0.09044871405686156,0.6078431372549019,0.10464291535619995,0.7115384615384616,0.10018902415200232,0.631578947368421,0.1105621768721533,0.40540540540540543,0.10287183819346563,0,0
3,2000,0.61,0.6017918257637476,0.566080393064407,3054184,5.32273006439209,0.5348837209302325,0.1128737234755232,0.6530612244897959,0.0822022278458211,0.5531914893617021,0.11315113146625126,0.7924528301886793,0.09199096773913695,0.7209302325581395,0.07898133589979886,0.5409836065573771,0.1400842437553798,0.6415094339622641,0.08207032490162638,0.6842105263157895,0.11831767049868519,0.5476190476190477,0.09330127070117016,0.4339622641509434,0.08702710183402462,0,0
4,2500,0.736,0.7292471777717842,0.7060526432993364,2204224,6.7344324588775635,0.7777777777777778,0.07501667401951395,0.7058823529411765,0.12062828625741702,0.6511627906976745,0.11009590725983731,0.7758620689655172,0.10183003283885027,0.7454545454545455,0.0925519169462429,0.6666666666666666,0.09470413428061988,0.8,0.08921755263080702,0.8,0.10958439122009553,0.574468085106383,0.10736424864283944,0.8392857142857143,0.0990068558914072,0,0
5,3000,0.636,0.6251232995470349,0.5950552237876131,2169528,8.207812070846558,0.875,0.09537868913164053,0.6346153846153846,0.12395232582143492,0.6415094339622641,0.10965395680557559,0.5531914893617021,0.09470708152742018,0.7380952380952381,0.05566178869274879,0.6122448979591837,0.0821254452193677,0.5714285714285714,0.06507942602858442,0.5283018867924528,0.0943084247102622,0.5,0.10329001684982597,0.6779661016949152,0.17584284521305849,0,0
6,3500,0.668,0.6456874699321663,0.6285289747399703,1692720,9.722834825515747,0.7916666666666666,0.11184889864798458,0.819672131147541,0.12629287972591835,0.7547169811320755,0.08775518578360776,0.5098039215686274,0.10771595796033519,0.6410256410256411,0.06706756075951653,0.39473684210526316,0.07253866941602873,0.65625,0.14175222244075045,0.6904761904761905,0.08515902987401566,0.676923076923077,0.11903005258878933,0.65,0.0808395428030528,0,0
7,4000,0.632,0.6239815313980652,0.590087240128677,2837904,11.134456396102905,0.7073170731707317,0.10704440581285511,0.7592592592592593,0.11814903001503188,0.5,0.0962039574183572,0.6875,0.09212110076295262,0.74,0.10985058211965743,0.5967741935483871,0.12694439933281543,0.6666666666666666,0.09689149428673309,0.6071428571428571,0.09152871386846485,0.5121951219512195,0.09522182109708545,0.5294117647058824,0.06604449528604679,0,0
8,4500,0.766,0.7573054072278335,0.7392432258955992,2625272,12.603240489959717,0.8979591836734694,0.10585286415520291,0.7222222222222222,0.1331658193259243,0.8852459016393442,0.12069940843801613,0.7307692307692307,0.10295006316166642,0.875,0.09303699333845909,0.7441860465116279,0.057975925975497555,0.7586206896551724,0.11236862087721801,0.6595744680851063,0.11099109666447372,0.5957446808510638,0.08963414561593001,0.7619047619047619,0.07332506244761176,0,0
9,5000,0.63,0.620035920051213,0.5877749652394025,2214976,14.081290245056152,0.72,0.07787376578341873,0.72,0.10175829513664565,0.717391304347826,0.09729844562575245,0.7758620689655172,0.08565795200903513,0.5454545454545454,0.10693882208800819,0.6229508196721312,0.12840270882637253,0.46296296296296297,0.15056647330986922,0.6382978723404256,0.08435268323908617,0.5333333333333333,0.06950445038313405,0.5434782608695652,0.0976464035986779,0,0
