,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.17725752508361203,0.0,0.15323305327101733,1793600,1.4095616340637207,0.3333333333333333,0.05700390503885849,0.1,0.04792999588233027,0.125,0.04877496766423307,0.6785714285714286,0.09595629000587996,0.125,0.07201700290086778,0.0,0.04237567357240971,0.12,0.10279259354974676,0.21428571428571427,0.059320036844489575,0.09090909090909091,0.07123294148718179,0.25,0.06770786161777914,0.05,0.07757163694884847,0.05,0.07446934783886945,0.0,0.07086799310105484,0.23809523809523808,0.05237037787262214,0.09523809523809523,0.05297252411683393,0,0
1,1000,0.224,0.0,0.1664339269985176,1827552,3.419931411743164,0.125,0.05035363345426721,0.2,0.05843061574900707,0.2,0.06348096725303994,0.38461538461538464,0.0454911448424377,0.3055555555555556,0.059030470983476586,0.0,0.04754760736092551,0.2702702702702703,0.09832754475731005,0.30303030303030304,0.05946901955108318,0.10810810810810811,0.06887826078496141,0.4473684210526316,0.060948237207387464,0.10256410256410256,0.07109707395130772,0.5,0.06502634706365715,0.08333333333333333,0.0749617309336586,0.17857142857142858,0.07513455637631489,0.09523809523809523,0.10177918241054859,0,0
2,1500,0.266,0.0,0.21075947733782938,1834376,5.439509391784668,0.17142857142857143,0.06782239473466749,0.02631578947368421,0.06946392197634166,0.21875,0.050903446046157846,0.0,0.04117655626101642,0.3611111111111111,0.07869304354942298,0.0,0.08910926813620128,0.5135135135135135,0.06750111595463187,0.5294117647058824,0.07069713383237793,0.21428571428571427,0.04636687841420062,0.42105263157894735,0.07802580888375653,0.1111111111111111,0.05145256473136552,0.5789473684210527,0.0753535658930803,0.2222222222222222,0.07870896015356893,0.3076923076923077,0.05356601122055406,0.17391304347826086,0.08115904369149599,0,0
3,2000,0.272,0.0,0.21928285553730073,1836640,7.456796646118164,0.16666666666666666,0.08931571899786482,0.23333333333333334,0.05915947319289749,0.21875,0.04660075913058191,0.0,0.07557313239869735,0.30952380952380953,0.08154936277286937,0.034482758620689655,0.048019604033821515,0.5,0.06297302559544608,0.5641025641025641,0.06853866816604927,0.10256410256410256,0.08755388589368318,0.4411764705882353,0.044796420690942106,0.0975609756097561,0.09419960385674946,0.7428571428571429,0.061391970852620034,0.4444444444444444,0.06226135417700985,0.06896551724137931,0.05242162647055131,0.1282051282051282,0.06564539188763366,0,0
4,2500,0.256,0.1984003554771178,0.20147341035251085,3815744,9.377994298934937,0.10714285714285714,0.0481171921059939,0.3125,0.0731070266076615,0.4722222222222222,0.07442074156327551,0.03571428571428571,0.05747180591292709,0.2894736842105263,0.0894074019799141,0.11428571428571428,0.06504673220584643,0.5483870967741935,0.06449283838285245,0.2972972972972973,0.04998393462464023,0.15789473684210525,0.07277927821937011,0.3225806451612903,0.05267969603533691,0.1111111111111111,0.08181503244726376,0.5714285714285714,0.06430721536830186,0.2972972972972973,0.0909396046601768,0.08333333333333333,0.03066774064073365,0.11904761904761904,0.08476375923333616,0,0
5,3000,0.64,0.6208847201173783,0.6136194838814928,5491176,11.38093376159668,0.3888888888888889,0.06309616113914601,0.7142857142857143,0.08143483698226284,0.8,0.07480001683166657,0.7105263157894737,0.09739313577602163,0.5142857142857142,0.04837082540655348,0.6296296296296297,0.058597077150420666,0.6428571428571429,0.03042386349340756,0.53125,0.0458667680052727,0.5806451612903226,0.061496602413436234,0.4583333333333333,0.03908338722876057,0.825,0.06814665898722293,0.7096774193548387,0.052157804522863074,0.7428571428571429,0.06138281913409663,0.6129032258064516,0.08928639897040162,0.6341463414634146,0.1284636439583861,0,0
6,3500,0.446,0.4267987301247489,0.40260009144316294,1989600,13.318142890930176,0.3103448275862069,0.06771543334239828,0.40540540540540543,0.09100152969322237,0.6046511627906976,0.07942481533828231,0.39285714285714285,0.052790753431355794,0.425,0.062171648948007675,0.4722222222222222,0.08050874136457953,0.5384615384615384,0.04405697568983874,0.2916666666666667,0.04374823946498806,0.2962962962962963,0.051801015020718426,0.475,0.07361751231064273,0.4878048780487805,0.1061512138300583,0.48,0.04714252617406511,0.5348837209302325,0.09036970948010917,0.34210526315789475,0.05329407830885821,0.5,0.05620580760287481,0,0
7,4000,0.302,0.2534244514282306,0.2495236948378412,1810064,15.383519649505615,0.14285714285714285,0.07120696625545685,0.27586206896551724,0.05946082637601108,0.47368421052631576,0.09452564319641911,0.0967741935483871,0.08095691196774885,0.43333333333333335,0.03641093010951032,0.3548387096774194,0.07095721610405073,0.30303030303030304,0.058727088505618565,0.48717948717948717,0.09749297954051002,0.1,0.08057491340634428,0.40476190476190477,0.09070750264169733,0.4117647058823529,0.050655514648223134,0.4411764705882353,0.04705719086527735,0.09090909090909091,0.07580530845750337,0.2222222222222222,0.042279709236814116,0.1875,0.04318129868881477,0,0
8,4500,0.224,0.0,0.16459969684442605,1821872,17.408555030822754,0.0,0.07181113187060163,0.03125,0.0674558950042751,0.5897435897435898,0.09975165660625054,0.0,0.060293987428227724,0.15,0.09553334496421577,0.40540540540540543,0.0678221392072391,0.11538461538461539,0.051640055832272554,0.18181818181818182,0.05642227632994965,0.125,0.042950587151734484,0.34210526315789475,0.08012954902201232,0.34375,0.06067811304570133,0.37142857142857144,0.08255205547397805,0.029411764705882353,0.06851919267054869,0.2692307692307692,0.0457390601583415,0.3103448275862069,0.04870095523465162,0,0
9,5000,0.242,0.17714306225764428,0.1854962455460184,1827712,19.443474292755127,0.06060606060606061,0.051990557003392494,0.0625,0.06124250335326653,0.5428571428571428,0.06639900056340538,0.03125,0.04533781958711997,0.17142857142857143,0.08295976151649612,0.32432432432432434,0.05465881653117148,0.2647058823529412,0.08467346266173922,0.3611111111111111,0.08005747229442767,0.14285714285714285,0.07061059595821366,0.4358974358974359,0.09075964384358151,0.15151515151515152,0.09104719592365991,0.4482758620689655,0.05311231678171384,0.07407407407407407,0.04433008396603986,0.2777777777777778,0.0579791814178354,0.17857142857142858,0.0648415885979367,0,0
