,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.36789297658862874,0.3065569886816339,0.3442356208462791,3560384,1.5694432258605957,0.8333333333333334,0.08269560209062182,0.3333333333333333,0.07101326649479996,0.6,0.13354970010513642,0.09090909090909091,0.07679926637402108,0.40625,0.13508695157745257,0.3103448275862069,0.09825862030396565,0.26666666666666666,0.11627055838555798,0.43333333333333335,0.10347828801993908,0.14705882352941177,0.09653327298407305,0.22580645161290322,0.07967762210643786,0,0
1,1000,0.428,0.38659692758545233,0.3644331454781418,3560120,4.142741441726685,0.8333333333333334,0.08575451841692353,0.48936170212765956,0.08651069803939072,0.5333333333333333,0.07414321300468486,0.12195121951219512,0.07792601018215486,0.42105263157894735,0.1397305630389091,0.36,0.08694426205444557,0.4262295081967213,0.10716077972230034,0.5769230769230769,0.08991087850005205,0.2916666666666667,0.10436144490073256,0.25862068965517243,0.14751402481978962,0,0
2,1500,0.452,0.388591816284164,0.3903117420618144,3560192,6.6700146198272705,0.8245614035087719,0.11352605107714817,0.3958333333333333,0.0746637116800189,0.5952380952380952,0.07760863336748408,0.20689655172413793,0.1313702345791566,0.46938775510204084,0.09411641414434883,0.12,0.09044871405686156,0.5686274509803921,0.10464291535619995,0.7307692307692307,0.10018902415200232,0.2807017543859649,0.1105621768721533,0.2972972972972973,0.10287183819346563,0,0
3,2000,0.38,0.3226796310576358,0.31099474577928715,3560024,9.24006175994873,0.6046511627906976,0.1128737234755232,0.4489795918367347,0.0822022278458211,0.44680851063829785,0.11315113146625126,0.20754716981132076,0.09199096773913695,0.5116279069767442,0.07898133589979886,0.19672131147540983,0.1400842437553798,0.5471698113207547,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.09523809523809523,0.09330127070117016,0.1509433962264151,0.08702710183402462,0,0
4,2500,0.392,0.3377573144712805,0.324558519005679,3559832,11.80778980255127,0.6444444444444445,0.07501667401951395,0.5294117647058824,0.12062828625741702,0.3953488372093023,0.11009590725983731,0.22413793103448276,0.10183003283885027,0.23636363636363636,0.0925519169462429,0.43137254901960786,0.09470413428061988,0.64,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.0851063829787234,0.10736424864283944,0.17857142857142858,0.0990068558914072,0,0
5,3000,0.428,0.40294356417629107,0.3647550086624317,3559616,14.357009887695312,0.6071428571428571,0.09537868913164053,0.4807692307692308,0.12395232582143492,0.49056603773584906,0.10965395680557559,0.2765957446808511,0.09470708152742018,0.42857142857142855,0.05566178869274879,0.2653061224489796,0.0821254452193677,0.6428571428571429,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.2708333333333333,0.10329001684982597,0.2542372881355932,0.17584284521305849,0,0
6,3500,0.422,0.38030519233483046,0.356281489863104,3559808,16.895907640457153,0.6458333333333334,0.11184889864798458,0.45901639344262296,0.12629287972591835,0.41509433962264153,0.08775518578360776,0.2549019607843137,0.10771595796033519,0.2564102564102564,0.06706756075951653,0.3157894736842105,0.07253866941602873,0.671875,0.14175222244075045,0.5952380952380952,0.08515902987401566,0.27692307692307694,0.11903005258878933,0.225,0.0808395428030528,0,0
7,4000,0.486,0.45262887124313267,0.42698648401582134,3559832,19.48402976989746,0.6585365853658537,0.10704440581285511,0.5740740740740741,0.11814903001503188,0.4090909090909091,0.0962039574183572,0.3333333333333333,0.09212110076295262,0.54,0.10985058211965743,0.3548387096774194,0.12694439933281543,0.7037037037037037,0.09689149428673309,0.6785714285714286,0.09152871386846485,0.24390243902439024,0.09522182109708545,0.3137254901960784,0.06604449528604679,0,0
8,4500,0.46,0.38537463334348926,0.3984252108853844,3559832,22.04921245574951,0.46938775510204084,0.10585286415520291,0.48148148148148145,0.1331658193259243,0.5409836065573771,0.12069940843801613,0.28846153846153844,0.10295006316166642,0.6875,0.09303699333845909,0.4418604651162791,0.057975925975497555,0.7241379310344828,0.11236862087721801,0.574468085106383,0.11099109666447372,0.0851063829787234,0.08963414561593001,0.19047619047619047,0.07332506244761176,0,0
9,5000,0.464,0.42156164148431446,0.40289462426921435,3559808,24.620149850845337,0.54,0.07787376578341873,0.58,0.10175829513664565,0.45652173913043476,0.09729844562575245,0.3103448275862069,0.08565795200903513,0.5227272727272727,0.10693882208800819,0.4426229508196721,0.12840270882637253,0.7037037037037037,0.15056647330986922,0.6595744680851063,0.08435268323908617,0.15555555555555556,0.06950445038313405,0.2391304347826087,0.0976464035986779,0,0
