,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.39464882943143814,0.34879876288264994,0.37159908382618256,3560336,1.5973362922668457,0.7083333333333334,0.08269560209062182,0.48148148148148145,0.07101326649479996,0.525,0.13354970010513642,0.09090909090909091,0.07679926637402108,0.40625,0.13508695157745257,0.3448275862068966,0.09825862030396565,0.3,0.11627055838555798,0.4666666666666667,0.10347828801993908,0.23529411764705882,0.09653327298407305,0.3548387096774194,0.07967762210643786,0,0
1,1000,0.418,0.37549585755734516,0.3537124886733117,3559520,4.1564154624938965,0.8095238095238095,0.08575451841692353,0.5106382978723404,0.08651069803939072,0.5111111111111111,0.07414321300468486,0.12195121951219512,0.07792601018215486,0.5263157894736842,0.1397305630389091,0.4,0.08694426205444557,0.3442622950819672,0.10716077972230034,0.5192307692307693,0.08991087850005205,0.20833333333333334,0.10436144490073256,0.27586206896551724,0.14751402481978962,0,0
2,1500,0.47,0.4224446312655261,0.4106684576415174,3559640,6.6914472579956055,0.8596491228070176,0.11352605107714817,0.3958333333333333,0.0746637116800189,0.5714285714285714,0.07760863336748408,0.22413793103448276,0.1313702345791566,0.5306122448979592,0.09411641414434883,0.34,0.09044871405686156,0.5686274509803921,0.10464291535619995,0.7115384615384616,0.10018902415200232,0.17543859649122806,0.1105621768721533,0.32432432432432434,0.10287183819346563,0,0
3,2000,0.404,0.32960086057829485,0.33748627173734225,3559808,9.231522560119629,0.7209302325581395,0.1128737234755232,0.4489795918367347,0.0822022278458211,0.46808510638297873,0.11315113146625126,0.22641509433962265,0.09199096773913695,0.5813953488372093,0.07898133589979886,0.3114754098360656,0.1400842437553798,0.49056603773584906,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.047619047619047616,0.09330127070117016,0.16981132075471697,0.08702710183402462,0,0
4,2500,0.434,0.3582466014487151,0.3712815636649619,3559736,11.770774364471436,0.7777777777777778,0.07501667401951395,0.5294117647058824,0.12062828625741702,0.4418604651162791,0.11009590725983731,0.25862068965517243,0.10183003283885027,0.38181818181818183,0.0925519169462429,0.5686274509803921,0.09470413428061988,0.58,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.0425531914893617,0.10736424864283944,0.21428571428571427,0.0990068558914072,0,0
5,3000,0.434,0.39620620596349165,0.3711893631014807,3559784,14.307816505432129,0.6785714285714286,0.09537868913164053,0.4807692307692308,0.12395232582143492,0.5094339622641509,0.10965395680557559,0.3404255319148936,0.09470708152742018,0.5238095238095238,0.05566178869274879,0.30612244897959184,0.0821254452193677,0.5476190476190477,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.125,0.10329001684982597,0.2711864406779661,0.17584284521305849,0,0
6,3500,0.384,0.34088640628673095,0.31566200813206835,3559736,16.84372854232788,0.5,0.11184889864798458,0.45901639344262296,0.12629287972591835,0.41509433962264153,0.08775518578360776,0.27450980392156865,0.10771595796033519,0.46153846153846156,0.06706756075951653,0.3157894736842105,0.07253866941602873,0.578125,0.14175222244075045,0.5952380952380952,0.08515902987401566,0.1076923076923077,0.11903005258878933,0.15,0.0808395428030528,0,0
7,4000,0.466,0.42639309035163747,0.4049237544630718,3559880,19.40679383277893,0.5609756097560976,0.10704440581285511,0.5740740740740741,0.11814903001503188,0.5,0.0962039574183572,0.3958333333333333,0.09212110076295262,0.6,0.10985058211965743,0.3548387096774194,0.12694439933281543,0.5370370370370371,0.09689149428673309,0.6785714285714286,0.09152871386846485,0.14634146341463414,0.09522182109708545,0.27450980392156865,0.06604449528604679,0,0
8,4500,0.45,0.33173186387807413,0.3869953857470855,3559736,21.94583511352539,0.3877551020408163,0.10585286415520291,0.46296296296296297,0.1331658193259243,0.5737704918032787,0.12069940843801613,0.46153846153846156,0.10295006316166642,0.7291666666666666,0.09303699333845909,0.4418604651162791,0.057975925975497555,0.603448275862069,0.11236862087721801,0.574468085106383,0.11099109666447372,0.02127659574468085,0.08963414561593001,0.14285714285714285,0.07332506244761176,0,0
9,5000,0.434,0.3745154494040436,0.36964027174518316,3560024,24.492345333099365,0.46,0.07787376578341873,0.42,0.10175829513664565,0.4782608695652174,0.09729844562575245,0.4482758620689655,0.08565795200903513,0.5227272727272727,0.10693882208800819,0.4426229508196721,0.12840270882637253,0.5925925925925926,0.15056647330986922,0.6595744680851063,0.08435268323908617,0.06666666666666667,0.06950445038313405,0.21739130434782608,0.0976464035986779,0,0
