,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5117056856187291,0.4494586579800784,0.4741584990875785,4136176,1.6958446502685547,0.7450980392156863,0.15370886858542177,0.6612903225806451,0.21034896647915746,0.14754098360655737,0.23334557188141802,0.4,0.2197488464054971,0.6307692307692307,0.1762108950905109,0,0
1,1000,0.558,0.46905830403489346,0.4491250810110176,4262040,4.179163694381714,0.7528089887640449,0.17226521645631415,0.6976744186046512,0.15206922318683969,0.102803738317757,0.22667482509335454,0.6460176991150443,0.19707165822235237,0.6509433962264151,0.2518754697205222,0,0
2,1500,0.544,0.5197847868328243,0.42943228512369813,4680552,6.691131353378296,0.6571428571428571,0.18818976275716703,0.58,0.20897886794664075,0.2727272727272727,0.18456512820121035,0.6019417475728155,0.20483193950820228,0.6063829787234043,0.21343401506561901,0,0
3,2000,0.522,0.48763404254350695,0.4031565278193987,5164200,9.159367084503174,0.6086956521739131,0.19507595132134437,0.63,0.20514209920538823,0.20192307692307693,0.21906557965517867,0.5545454545454546,0.20038799540031166,0.6421052631578947,0.18032837253519482,0,0
4,2500,0.564,0.5432624824532511,0.45515800417878804,5412704,12.238805532455444,0.7395833333333334,0.19564496027693107,0.6237623762376238,0.21192594009868762,0.29245283018867924,0.18725605122686284,0.5473684210526316,0.19880194385090255,0.6407766990291263,0.20637110453424665,0,0
5,3000,0.568,0.5487415621417104,0.4578313253012048,5724032,15.261739253997803,0.6759259259259259,0.21933101495307541,0.66,0.2043610383329957,0.3516483516483517,0.13778723391211653,0.5473684210526316,0.1593878507388465,0.5794392523364486,0.2791328620628842,0,0
6,3500,0.572,0.5459368326988858,0.46217372291391257,7752968,17.73197865486145,0.7522935779816514,0.2381417783739029,0.5576923076923077,0.19547114374394295,0.36363636363636365,0.1396062301755452,0.5471698113207547,0.22691125231476617,0.580952380952381,0.19986959539184224,0,0
7,4000,0.654,0.6510641486582847,0.5661093805647098,10322032,20.17322325706482,0.7578947368421053,0.22519343582788703,0.6739130434782609,0.18832505818130996,0.5267857142857143,0.23679498145247294,0.7272727272727273,0.18842020815519797,0.5978260869565217,0.16126631638313219,0,0
8,4500,0.79,0.7779370842905541,0.7364841463843116,10647080,22.71600842475891,0.8640776699029126,0.2390186834811272,0.6902654867256637,0.22364947159968268,0.6373626373626373,0.15101291931395672,0.9809523809523809,0.22335971754169168,0.7640449438202247,0.16295920806354172,0,0
9,5000,0.82,0.8118630223952038,0.7744722651003347,11350784,25.86257839202881,0.96,0.1796320609200644,0.75,0.18295639763478763,0.6857142857142857,0.23534153091438068,0.9702970297029703,0.23491915654895532,0.7362637362637363,0.16715085398181204,0,0
10,5500,0.848,0.8365581371434437,0.8088204220037631,11689384,28.980984210968018,0.9489795918367347,0.19777669417397042,0.7674418604651163,0.15383637552908308,0.7614678899082569,0.19419167698362233,0.9743589743589743,0.2422582526394298,0.7582417582417582,0.21193700067389454,0,0
11,6000,0.904,0.8889585140782437,0.8793666750439808,12443000,31.68637752532959,0.9823008849557522,0.22506988690809257,0.7023809523809523,0.17396962194208357,0.8640776699029126,0.22918325122171956,0.99,0.14773510488587416,0.9405940594059405,0.22404213504222995,0,0
12,6500,0.906,0.9009739671981226,0.8823311451933525,13096784,34.29244780540466,0.9696969696969697,0.1642868941904552,0.8163265306122449,0.1727828805286267,0.8,0.16160449953544928,1.0,0.2160221923571871,0.9375,0.2853035333882815,0,0
13,7000,0.938,0.9297120868538443,0.9220600288629311,13912736,36.971160650253296,0.9724770642201835,0.19599687289098258,0.8390804597701149,0.1748163123587198,0.8602150537634409,0.18706351453045028,1.0,0.27846589234750385,0.9895833333333334,0.1636574078723435,0,0
14,7500,0.912,0.9112616624040124,0.8896612600684101,14172728,40.2175931930542,1.0,0.22961835339198683,0.7904761904761904,0.20784603580619382,0.8545454545454545,0.16884172177841586,1.0,0.20492454051089073,0.9302325581395349,0.1887693485125127,0,0
15,8000,0.912,0.908679979092776,0.8899444219330762,15161112,43.444586753845215,0.9896907216494846,0.20795743481206014,0.7247706422018348,0.19845138685051641,0.8924731182795699,0.1576640728395446,1.0,0.24490966367025244,0.967741935483871,0.19101744182762645,0,0
16,8500,0.946,0.9439068689488637,0.9322853445421987,15665736,46.18551063537598,0.9473684210526315,0.16710353398937935,0.9176470588235294,0.20182437592844651,0.9270833333333334,0.1927595388526905,0.9910714285714286,0.21543517677333976,0.9380530973451328,0.22287737445614375,0,0
17,9000,0.952,0.9459180489618461,0.9396271979473246,16473824,48.940953493118286,0.991869918699187,0.2504790372464767,0.8842105263157894,0.166447725650589,0.8987341772151899,0.16119177449312508,1.0,0.2074668460184126,0.9607843137254902,0.21441461659139688,0,0
18,9500,0.962,0.9589822897334431,0.9523850097986637,16943088,51.66529893875122,1.0,0.23885396902723205,0.8979591836734694,0.20693736200373175,0.9032258064516129,0.15772681806893793,1.0,0.1743449990365649,1.0,0.2221368518635334,0,0
19,10000,0.968,0.9684417857551469,0.9599543479566706,17373680,54.85554075241089,1.0,0.1997934979313426,0.8962264150943396,0.21887904697329102,0.9504950495049505,0.17440911633655834,1.0,0.19928217715092572,1.0,0.2076361616078824,0,0
20,10500,0.956,0.9560217551042075,0.9449446693927397,17905848,58.058648347854614,1.0,0.16812136480605006,0.8962264150943396,0.24635176889826182,0.8910891089108911,0.19460651040125707,1.0,0.2005276317075375,1.0,0.1903927241868936,0,0
21,11000,0.958,0.9572693452482697,0.9474337665458478,18776928,60.942347049713135,0.9902912621359223,0.20541504601369,0.8857142857142857,0.1946274183774087,0.9263157894736842,0.17555979381743345,1.0,0.21424693544848294,0.9893617021276596,0.21015080634298475,0,0
22,11500,0.964,0.9670399367328664,0.9548675362188022,19146056,63.673017263412476,1.0,0.1847579056061367,0.8907563025210085,0.1989688804524958,0.9702970297029703,0.22834424971198525,1.0,0.21461753241176326,0.978494623655914,0.17331143181761918,0,0
23,12000,0.976,0.9755841896780316,0.9699483110950835,20030056,66.51733589172363,1.0,0.17584159771947494,0.9345794392523364,0.1929739283140963,0.9550561797752809,0.17636760706858712,0.9900990099009901,0.20668765176719767,1.0,0.24812921513064398,0,0
