,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.15719063545150502,0.0,0.13253377548591672,12173240,4.116041421890259,0.3333333333333333,0.05700390503885849,0.15,0.04792999588233027,0.0,0.04877496766423307,0.7142857142857143,0.09595629000587996,0.0,0.07201700290086778,0.0,0.04237567357240971,0.04,0.10279259354974676,0.0,0.059320036844489575,0.36363636363636365,0.07123294148718179,0.25,0.06770786161777914,0.0,0.07757163694884847,0.0,0.07446934783886945,0.0,0.07086799310105484,0.0,0.05237037787262214,0.23809523809523808,0.05297252411683393,0,0
1,1000,0.2,0.0,0.1436449894668334,12259904,9.893791913986206,0.2916666666666667,0.05035363345426721,0.2857142857142857,0.05843061574900707,0.13333333333333333,0.06348096725303994,0.6923076923076923,0.0454911448424377,0.3333333333333333,0.059030470983476586,0.0,0.04754760736092551,0.0,0.09832754475731005,0.12121212121212122,0.05946901955108318,0.5135135135135135,0.06887826078496141,0.3157894736842105,0.060948237207387464,0.0,0.07109707395130772,0.0,0.06502634706365715,0.1388888888888889,0.0749617309336586,0.0,0.07513455637631489,0.21428571428571427,0.10177918241054859,0,0
2,1500,0.194,0.0,0.13514487932803118,12342224,15.779700517654419,0.42857142857142855,0.06782239473466749,0.07894736842105263,0.06946392197634166,0.34375,0.050903446046157846,0.11538461538461539,0.04117655626101642,0.2222222222222222,0.07869304354942298,0.0,0.08910926813620128,0.08108108108108109,0.06750111595463187,0.38235294117647056,0.07069713383237793,0.39285714285714285,0.04636687841420062,0.42105263157894735,0.07802580888375653,0.0,0.05145256473136552,0.0,0.0753535658930803,0.26666666666666666,0.07870896015356893,0.0,0.05356601122055406,0.08695652173913043,0.08115904369149599,0,0
3,2000,0.218,0.0,0.16071006933264642,12421952,21.67345690727234,0.4666666666666667,0.08931571899786482,0.06666666666666667,0.05915947319289749,0.375,0.04660075913058191,0.2413793103448276,0.07557313239869735,0.35714285714285715,0.08154936277286937,0.06896551724137931,0.048019604033821515,0.038461538461538464,0.06297302559544608,0.20512820512820512,0.06853866816604927,0.2564102564102564,0.08755388589368318,0.4117647058823529,0.044796420690942106,0.0,0.09419960385674946,0.17142857142857143,0.061391970852620034,0.3333333333333333,0.06226135417700985,0.0,0.05242162647055131,0.23076923076923078,0.06564539188763366,0,0
4,2500,0.264,0.0,0.20794806894295503,12509384,27.743950128555298,0.5714285714285714,0.0481171921059939,0.1875,0.0731070266076615,0.5,0.07442074156327551,0.14285714285714285,0.05747180591292709,0.4473684210526316,0.0894074019799141,0.05714285714285714,0.06504673220584643,0.0,0.06449283838285245,0.21621621621621623,0.04998393462464023,0.47368421052631576,0.07277927821937011,0.4838709677419355,0.05267969603533691,0.0,0.08181503244726376,0.10714285714285714,0.06430721536830186,0.35135135135135137,0.0909396046601768,0.0,0.03066774064073365,0.2857142857142857,0.08476375923333616,0,0
5,3000,0.21,0.0,0.1527023432606588,12592856,33.77797341346741,0.2777777777777778,0.06309616113914601,0.21428571428571427,0.08143483698226284,0.5,0.07480001683166657,0.07894736842105263,0.09739313577602163,0.22857142857142856,0.04837082540655348,0.037037037037037035,0.058597077150420666,0.0,0.03042386349340756,0.375,0.0458667680052727,0.3548387096774194,0.061496602413436234,0.4166666666666667,0.03908338722876057,0.0,0.06814665898722293,0.12903225806451613,0.052157804522863074,0.17142857142857143,0.06138281913409663,0.0,0.08928639897040162,0.3902439024390244,0.1284636439583861,0,0
6,3500,0.198,0.14456383779056362,0.13717423486074298,20860272,39.486088275909424,0.2413793103448276,0.06771543334239828,0.13513513513513514,0.09100152969322237,0.5116279069767442,0.07942481533828231,0.10714285714285714,0.052790753431355794,0.325,0.062171648948007675,0.05555555555555555,0.08050874136457953,0.11538461538461539,0.04405697568983874,0.16666666666666666,0.04374823946498806,0.037037037037037035,0.051801015020718426,0.25,0.07361751231064273,0.12195121951219512,0.1061512138300583,0.16,0.04714252617406511,0.2558139534883721,0.09036970948010917,0.02631578947368421,0.05329407830885821,0.3333333333333333,0.05620580760287481,0,0
7,4000,0.242,0.0,0.18539120566400288,24774264,45.594292879104614,0.0,0.07120696625545685,0.034482758620689655,0.05946082637601108,0.39473684210526316,0.09452564319641911,0.03225806451612903,0.08095691196774885,0.16666666666666666,0.03641093010951032,0.22580645161290322,0.07095721610405073,0.6060606060606061,0.058727088505618565,0.0,0.09749297954051002,0.15,0.08057491340634428,0.5476190476190477,0.09070750264169733,0.5294117647058824,0.050655514648223134,0.2647058823529412,0.04705719086527735,0.36363636363636365,0.07580530845750337,0.037037037037037035,0.042279709236814116,0.09375,0.04318129868881477,0,0
8,4500,0.338,0.0,0.2891626292822046,27153184,51.83556032180786,0.03125,0.07181113187060163,0.25,0.0674558950042751,0.5384615384615384,0.09975165660625054,0.0,0.060293987428227724,0.225,0.09553334496421577,0.5135135135135135,0.0678221392072391,0.4230769230769231,0.051640055832272554,0.06060606060606061,0.05642227632994965,0.5625,0.042950587151734484,0.5,0.08012954902201232,0.5625,0.06067811304570133,0.7428571428571429,0.08255205547397805,0.20588235294117646,0.06851919267054869,0.15384615384615385,0.0457390601583415,0.20689655172413793,0.04870095523465162,0,0
9,5000,0.382,0.25927863079250246,0.33771427836576173,28793920,58.30105233192444,0.09090909090909091,0.051990557003392494,0.0625,0.06124250335326653,0.5428571428571428,0.06639900056340538,0.03125,0.04533781958711997,0.17142857142857143,0.08295976151649612,0.43243243243243246,0.05465881653117148,0.7058823529411765,0.08467346266173922,0.16666666666666666,0.08005747229442767,0.7714285714285715,0.07061059595821366,0.38461538461538464,0.09075964384358151,0.7272727272727273,0.09104719592365991,0.8620689655172413,0.05311231678171384,0.18518518518518517,0.04433008396603986,0.3888888888888889,0.0579791814178354,0.14285714285714285,0.0648415885979367,0,0
