,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5418060200668896,0.4965184540802419,0.5065308729918382,4021136,1.6642837524414062,0.7254901960784313,0.15370886858542177,0.6612903225806451,0.21034896647915746,0.19672131147540983,0.23334557188141802,0.48333333333333334,0.2197488464054971,0.6615384615384615,0.1762108950905109,0,0
1,1000,0.572,0.47803866959623054,0.46550776762076024,4030288,4.1660144329071045,0.7528089887640449,0.17226521645631415,0.6976744186046512,0.15206922318683969,0.102803738317757,0.22667482509335454,0.6902654867256637,0.19707165822235237,0.6698113207547169,0.2518754697205222,0,0
2,1500,0.582,0.5727817237801115,0.47648437969661134,4387560,6.665297746658325,0.6571428571428571,0.18818976275716703,0.61,0.20897886794664075,0.3939393939393939,0.18456512820121035,0.6116504854368932,0.20483193950820228,0.6382978723404256,0.21343401506561901,0,0
3,2000,0.608,0.6048758506192997,0.5098235364731303,4850336,9.13414478302002,0.6739130434782609,0.19507595132134437,0.63,0.20514209920538823,0.4519230769230769,0.21906557965517867,0.6363636363636364,0.20038799540031166,0.6631578947368421,0.18032837253519482,0,0
4,2500,0.64,0.6365674803681983,0.5492743316739951,4968632,11.632807970046997,0.7395833333333334,0.19564496027693107,0.6237623762376238,0.21192594009868762,0.6037735849056604,0.18725605122686284,0.5368421052631579,0.19880194385090255,0.6990291262135923,0.20637110453424665,0,0
5,3000,0.594,0.5888447697932666,0.49114900059658384,5085312,14.128587007522583,0.6944444444444444,0.21933101495307541,0.64,0.2043610383329957,0.6263736263736264,0.13778723391211653,0.49473684210526314,0.1593878507388465,0.514018691588785,0.2791328620628842,0,0
6,3500,0.578,0.5636544584992575,0.47078799917733866,7153872,16.633318424224854,0.7706422018348624,0.2381417783739029,0.5769230769230769,0.19547114374394295,0.4805194805194805,0.1396062301755452,0.49056603773584906,0.22691125231476617,0.5428571428571428,0.19986959539184224,0,0
7,4000,0.688,0.6864601676201685,0.6089735555834064,9732880,19.04271650314331,0.8105263157894737,0.22519343582788703,0.6630434782608695,0.18832505818130996,0.5625,0.23679498145247294,0.7363636363636363,0.18842020815519797,0.6847826086956522,0.16126631638313219,0,0
8,4500,0.82,0.8122523054016096,0.7743082548009649,10004056,21.600605487823486,0.9223300970873787,0.2390186834811272,0.6460176991150443,0.22364947159968268,0.7802197802197802,0.15101291931395672,0.9809523809523809,0.22335971754169168,0.7752808988764045,0.16295920806354172,0,0
9,5000,0.818,0.808613623402844,0.772082911728463,10303240,24.291472911834717,0.97,0.1796320609200644,0.7019230769230769,0.18295639763478763,0.6666666666666666,0.23534153091438068,0.9900990099009901,0.23491915654895532,0.7692307692307693,0.16715085398181204,0,0
