,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5551839464882943,0.5285867821587265,0.5209119001795377,385984,0.20047307014465332,0.7254901960784313,0.15370886858542177,0.5645161290322581,0.21034896647915746,0.2786885245901639,0.23334557188141802,0.5,0.2197488464054971,0.7230769230769231,0.1762108950905109,0,0
1,1000,0.608,0.5754794642064208,0.5103036117607084,386056,0.45863890647888184,0.7303370786516854,0.17226521645631415,0.6511627906976745,0.15206922318683969,0.2616822429906542,0.22667482509335454,0.6637168141592921,0.19707165822235237,0.7641509433962265,0.2518754697205222,0,0
2,1500,0.618,0.6173890870917559,0.5216700976193696,386104,0.7181863784790039,0.6571428571428571,0.18818976275716703,0.66,0.20897886794664075,0.5656565656565656,0.18456512820121035,0.5825242718446602,0.20483193950820228,0.6276595744680851,0.21343401506561901,0,0
3,2000,0.586,0.5809264161674708,0.4812654116797979,386128,0.976097822189331,0.6086956521739131,0.19507595132134437,0.62,0.20514209920538823,0.4326923076923077,0.21906557965517867,0.6636363636363637,0.20038799540031166,0.6105263157894737,0.18032837253519482,0,0
4,2500,0.606,0.6039327091943705,0.5074014802960591,386128,1.2361626625061035,0.7395833333333334,0.19564496027693107,0.6039603960396039,0.21192594009868762,0.4811320754716981,0.18725605122686284,0.6210526315789474,0.19880194385090255,0.6019417475728155,0.20637110453424665,0,0
5,3000,0.58,0.5685050439933242,0.4742218483355366,386128,1.4939024448394775,0.6759259259259259,0.21933101495307541,0.67,0.2043610383329957,0.4175824175824176,0.13778723391211653,0.6,0.1593878507388465,0.5233644859813084,0.2791328620628842,0,0
6,3500,0.56,0.5378049833187035,0.44754155994174083,386128,1.752406120300293,0.6697247706422018,0.2381417783739029,0.5192307692307693,0.19547114374394295,0.36363636363636365,0.1396062301755452,0.6226415094339622,0.22691125231476617,0.5714285714285714,0.19986959539184224,0,0
7,4000,0.532,0.5272722146275356,0.41477176098678487,386200,2.0633468627929688,0.7052631578947368,0.22519343582788703,0.5108695652173914,0.18832505818130996,0.36607142857142855,0.23679498145247294,0.5363636363636364,0.18842020815519797,0.5760869565217391,0.16126631638313219,0,0
8,4500,0.548,0.5404469517406149,0.4331207954368733,385984,2.403118848800659,0.6699029126213593,0.2390186834811272,0.49557522123893805,0.22364947159968268,0.4065934065934066,0.15101291931395672,0.5428571428571428,0.22335971754169168,0.6292134831460674,0.16295920806354172,0,0
9,5000,0.568,0.5629714180704236,0.45894494263814434,385888,2.7630388736724854,0.75,0.1796320609200644,0.5288461538461539,0.18295639763478763,0.49523809523809526,0.23534153091438068,0.5346534653465347,0.23491915654895532,0.5384615384615384,0.16715085398181204,0,0
