,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5284280936454849,0.5118335459313264,0.49200702964275167,385712,0.19930624961853027,0.6470588235294118,0.15370886858542177,0.5645161290322581,0.21034896647915746,0.29508196721311475,0.23334557188141802,0.5166666666666667,0.2197488464054971,0.6307692307692307,0.1762108950905109,0,0
1,1000,0.592,0.5642044804278726,0.4897576348765663,385808,0.45453667640686035,0.7303370786516854,0.17226521645631415,0.6744186046511628,0.15206922318683969,0.2616822429906542,0.22667482509335454,0.6814159292035398,0.19707165822235237,0.6509433962264151,0.2518754697205222,0,0
2,1500,0.604,0.6027098563050942,0.5040800685271177,385832,0.7115566730499268,0.6571428571428571,0.18818976275716703,0.64,0.20897886794664075,0.5353535353535354,0.18456512820121035,0.5825242718446602,0.20483193950820228,0.6063829787234043,0.21343401506561901,0,0
3,2000,0.592,0.5860867418434558,0.4889984369363953,385856,0.9670217037200928,0.6086956521739131,0.19507595132134437,0.62,0.20514209920538823,0.4230769230769231,0.21906557965517867,0.6636363636363637,0.20038799540031166,0.6526315789473685,0.18032837253519482,0,0
4,2500,0.616,0.6127621933981339,0.5199495947074443,385856,1.2238893508911133,0.7395833333333334,0.19564496027693107,0.6039603960396039,0.21192594009868762,0.4716981132075472,0.18725605122686284,0.6210526315789474,0.19880194385090255,0.6601941747572816,0.20637110453424665,0,0
5,3000,0.588,0.5786503560755888,0.4843063920973709,385856,1.4789695739746094,0.6759259259259259,0.21933101495307541,0.66,0.2043610383329957,0.43956043956043955,0.13778723391211653,0.6,0.1593878507388465,0.5514018691588785,0.2791328620628842,0,0
6,3500,0.55,0.5302996216831936,0.4350197366438666,385856,1.7343196868896484,0.6697247706422018,0.2381417783739029,0.5192307692307693,0.19547114374394295,0.37662337662337664,0.1396062301755452,0.6226415094339622,0.22691125231476617,0.5142857142857142,0.19986959539184224,0,0
7,4000,0.526,0.5193197437623344,0.40750296248518764,386120,2.067486047744751,0.7052631578947368,0.22519343582788703,0.5108695652173914,0.18832505818130996,0.3392857142857143,0.23679498145247294,0.5363636363636364,0.18842020815519797,0.5760869565217391,0.16126631638313219,0,0
8,4500,0.54,0.5312484184209253,0.42255451838536207,385856,2.4240920543670654,0.6699029126213593,0.2390186834811272,0.504424778761062,0.22364947159968268,0.3956043956043956,0.15101291931395672,0.5523809523809524,0.22335971754169168,0.5730337078651685,0.16295920806354172,0,0
9,5000,0.544,0.5365110970179878,0.42851127186320365,203048,2.751493215560913,0.75,0.1796320609200644,0.5192307692307693,0.18295639763478763,0.45714285714285713,0.23534153091438068,0.504950495049505,0.23491915654895532,0.4945054945054945,0.16715085398181204,0,0
