,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.23411371237458195,0.0,0.2140886922531933,559496,0.3911151885986328,0.3333333333333333,0.05700390503885849,0.0,0.04792999588233027,0.25,0.04877496766423307,0.35714285714285715,0.09595629000587996,0.25,0.07201700290086778,0.1,0.04237567357240971,0.12,0.10279259354974676,0.35714285714285715,0.059320036844489575,0.5,0.07123294148718179,0.35,0.06770786161777914,0.2,0.07757163694884847,0.2,0.07446934783886945,0.08695652173913043,0.07086799310105484,0.14285714285714285,0.05237037787262214,0.23809523809523808,0.05297252411683393,0,0
1,1000,0.306,0.0,0.2541323646368463,559496,0.9477546215057373,0.08333333333333333,0.05035363345426721,0.2857142857142857,0.05843061574900707,0.3,0.06348096725303994,0.15384615384615385,0.0454911448424377,0.3055555555555556,0.059030470983476586,0.0,0.04754760736092551,0.32432432432432434,0.09832754475731005,0.5757575757575758,0.05946901955108318,0.32432432432432434,0.06887826078496141,0.5263157894736842,0.060948237207387464,0.2564102564102564,0.07109707395130772,0.5833333333333334,0.06502634706365715,0.08333333333333333,0.0749617309336586,0.32142857142857145,0.07513455637631489,0.2619047619047619,0.10177918241054859,0,0
2,1500,0.29,0.0,0.23900740842365203,559496,1.507690191268921,0.17142857142857143,0.06782239473466749,0.18421052631578946,0.06946392197634166,0.34375,0.050903446046157846,0.0,0.04117655626101642,0.3333333333333333,0.07869304354942298,0.05263157894736842,0.08910926813620128,0.2972972972972973,0.06750111595463187,0.6176470588235294,0.07069713383237793,0.4642857142857143,0.04636687841420062,0.42105263157894735,0.07802580888375653,0.1111111111111111,0.05145256473136552,0.4473684210526316,0.0753535658930803,0.2222222222222222,0.07870896015356893,0.4230769230769231,0.05356601122055406,0.21739130434782608,0.08115904369149599,0,0
3,2000,0.306,0.27623619605572414,0.2551378316997883,559496,2.064380407333374,0.16666666666666666,0.08931571899786482,0.3,0.05915947319289749,0.25,0.04660075913058191,0.10344827586206896,0.07557313239869735,0.40476190476190477,0.08154936277286937,0.3793103448275862,0.048019604033821515,0.5769230769230769,0.06297302559544608,0.5641025641025641,0.06853866816604927,0.1282051282051282,0.08755388589368318,0.3235294117647059,0.044796420690942106,0.21951219512195122,0.09419960385674946,0.34285714285714286,0.061391970852620034,0.3333333333333333,0.06226135417700985,0.2413793103448276,0.05242162647055131,0.2564102564102564,0.06564539188763366,0,0
4,2500,0.308,0.27093415336841437,0.25754578110046306,559496,2.6244566440582275,0.35714285714285715,0.0481171921059939,0.3125,0.0731070266076615,0.3333333333333333,0.07442074156327551,0.07142857142857142,0.05747180591292709,0.2631578947368421,0.0894074019799141,0.3142857142857143,0.06504673220584643,0.5483870967741935,0.06449283838285245,0.40540540540540543,0.04998393462464023,0.21052631578947367,0.07277927821937011,0.25806451612903225,0.05267969603533691,0.16666666666666666,0.08181503244726376,0.5714285714285714,0.06430721536830186,0.24324324324324326,0.0909396046601768,0.125,0.03066774064073365,0.40476190476190477,0.08476375923333616,0,0
5,3000,0.272,0.22563727810045095,0.2219163089761787,559496,3.183580160140991,0.25,0.06309616113914601,0.14285714285714285,0.08143483698226284,0.4,0.07480001683166657,0.02631578947368421,0.09739313577602163,0.37142857142857144,0.04837082540655348,0.25925925925925924,0.058597077150420666,0.2857142857142857,0.03042386349340756,0.5625,0.0458667680052727,0.16129032258064516,0.061496602413436234,0.2916666666666667,0.03908338722876057,0.125,0.06814665898722293,0.5161290322580645,0.052157804522863074,0.08571428571428572,0.06138281913409663,0.3870967741935484,0.08928639897040162,0.34146341463414637,0.1284636439583861,0,0
6,3500,0.284,0.2470120622386564,0.23125815982958836,559496,3.741060733795166,0.1724137931034483,0.06771543334239828,0.16216216216216217,0.09100152969322237,0.4883720930232558,0.07942481533828231,0.07142857142857142,0.052790753431355794,0.425,0.062171648948007675,0.3055555555555556,0.08050874136457953,0.5384615384615384,0.04405697568983874,0.375,0.04374823946498806,0.14814814814814814,0.051801015020718426,0.275,0.07361751231064273,0.12195121951219512,0.1061512138300583,0.48,0.04714252617406511,0.11627906976744186,0.09036970948010917,0.2631578947368421,0.05329407830885821,0.4166666666666667,0.05620580760287481,0,0
7,4000,0.346,0.0,0.2966441105236667,559496,4.302728176116943,0.14285714285714285,0.07120696625545685,0.27586206896551724,0.05946082637601108,0.5263157894736842,0.09452564319641911,0.0,0.08095691196774885,0.6,0.03641093010951032,0.45161290322580644,0.07095721610405073,0.45454545454545453,0.058727088505618565,0.6153846153846154,0.09749297954051002,0.35,0.08057491340634428,0.38095238095238093,0.09070750264169733,0.0,0.050655514648223134,0.47058823529411764,0.04705719086527735,0.12121212121212122,0.07580530845750337,0.2222222222222222,0.042279709236814116,0.4375,0.04318129868881477,0,0
8,4500,0.332,0.289499240875563,0.28262755912953086,559496,4.861013174057007,0.15625,0.07181113187060163,0.1875,0.0674558950042751,0.5128205128205128,0.09975165660625054,0.05555555555555555,0.060293987428227724,0.45,0.09553334496421577,0.32432432432432434,0.0678221392072391,0.5,0.051640055832272554,0.36363636363636365,0.05642227632994965,0.25,0.042950587151734484,0.34210526315789475,0.08012954902201232,0.21875,0.06067811304570133,0.4857142857142857,0.08255205547397805,0.20588235294117646,0.06851919267054869,0.34615384615384615,0.0457390601583415,0.5862068965517241,0.04870095523465162,0,0
9,5000,0.328,0.2755257884566261,0.27868204905820776,559496,5.420974493026733,0.24242424242424243,0.051990557003392494,0.1875,0.06124250335326653,0.45714285714285713,0.06639900056340538,0.03125,0.04533781958711997,0.45714285714285713,0.08295976151649612,0.2702702702702703,0.05465881653117148,0.4411764705882353,0.08467346266173922,0.4444444444444444,0.08005747229442767,0.3142857142857143,0.07061059595821366,0.358974358974359,0.09075964384358151,0.12121212121212122,0.09104719592365991,0.5862068965517241,0.05311231678171384,0.2222222222222222,0.04433008396603986,0.3333333333333333,0.0579791814178354,0.42857142857142855,0.0648415885979367,0,0
