,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.5551839464882943,0.5301597228507415,0.5208664878112901,203424,0.2027730941772461,0.7058823529411765,0.15370886858542177,0.6290322580645161,0.21034896647915746,0.2786885245901639,0.23334557188141802,0.5,0.2197488464054971,0.676923076923077,0.1762108950905109,0,0
1,1000,0.602,0.5770168593366295,0.5030317560210574,203352,0.4627070426940918,0.7303370786516854,0.17226521645631415,0.6744186046511628,0.15206922318683969,0.2803738317757009,0.22667482509335454,0.672566371681416,0.19707165822235237,0.6886792452830188,0.2518754697205222,0,0
2,1500,0.602,0.5976873478140664,0.5014805276791037,203256,0.7236413955688477,0.6571428571428571,0.18818976275716703,0.59,0.20897886794664075,0.47474747474747475,0.18456512820121035,0.6601941747572816,0.20483193950820228,0.6276595744680851,0.21343401506561901,0,0
3,2000,0.574,0.5626720180920438,0.466585193607036,203184,0.9841382503509521,0.6086956521739131,0.19507595132134437,0.63,0.20514209920538823,0.3557692307692308,0.21906557965517867,0.6545454545454545,0.20038799540031166,0.631578947368421,0.18032837253519482,0,0
4,2500,0.606,0.600522506079019,0.5077239855865581,203088,1.2455072402954102,0.7395833333333334,0.19564496027693107,0.6039603960396039,0.21192594009868762,0.42452830188679247,0.18725605122686284,0.6526315789473685,0.19880194385090255,0.6310679611650486,0.20637110453424665,0,0
5,3000,0.588,0.568270476361208,0.48385156974267746,203088,1.5056838989257812,0.6759259259259259,0.21933101495307541,0.66,0.2043610383329957,0.3516483516483517,0.13778723391211653,0.631578947368421,0.1593878507388465,0.5981308411214953,0.2791328620628842,0,0
6,3500,0.566,0.5356487655899678,0.45427750868880734,203088,1.7668077945709229,0.6697247706422018,0.2381417783739029,0.5192307692307693,0.19547114374394295,0.3246753246753247,0.1396062301755452,0.6509433962264151,0.22691125231476617,0.6,0.19986959539184224,0,0
7,4000,0.526,0.5161915208682983,0.4078464098502376,386344,2.0374183654785156,0.7052631578947368,0.22519343582788703,0.5108695652173914,0.18832505818130996,0.3125,0.23679498145247294,0.5545454545454546,0.18842020815519797,0.5869565217391305,0.16126631638313219,0,0
8,4500,0.546,0.5337628109423219,0.42980010349002534,386200,2.362184524536133,0.6699029126213593,0.2390186834811272,0.504424778761062,0.22364947159968268,0.3626373626373626,0.15101291931395672,0.5619047619047619,0.22335971754169168,0.6292134831460674,0.16295920806354172,0,0
9,5000,0.568,0.5604222836029391,0.4590018584288011,386104,2.727755546569824,0.75,0.1796320609200644,0.5288461538461539,0.18295639763478763,0.42857142857142855,0.23534153091438068,0.6039603960396039,0.23491915654895532,0.5384615384615384,0.16715085398181204,0,0
10,5500,0.584,0.570828940336511,0.4796852095517788,385864,3.0819735527038574,0.7755102040816326,0.19777669417397042,0.6046511627906976,0.15383637552908308,0.3669724770642202,0.19419167698362233,0.6410256410256411,0.2422582526394298,0.5494505494505495,0.21193700067389454,0,0
11,6000,0.502,0.4921816528655807,0.37709199525689324,385624,3.448737859725952,0.6548672566371682,0.22506988690809257,0.5595238095238095,0.17396962194208357,0.3883495145631068,0.22918325122171956,0.5,0.14773510488587416,0.40594059405940597,0.22404213504222995,0,0
12,6500,0.568,0.5674408091134808,0.45982714468629954,385456,3.8130152225494385,0.6262626262626263,0.1642868941904552,0.5612244897959183,0.1727828805286267,0.5052631578947369,0.16160449953544928,0.6082474226804123,0.2160221923571871,0.5446428571428571,0.2853035333882815,0,0
13,7000,0.606,0.6011108314871595,0.5050922739125847,385288,4.180373907089233,0.6605504587155964,0.19599687289098258,0.6551724137931034,0.1748163123587198,0.5053763440860215,0.18706351453045028,0.6379310344827587,0.27846589234750385,0.5625,0.1636574078723435,0,0
14,7500,0.554,0.5504309774364678,0.4407860091179466,385168,4.544706344604492,0.7087378640776699,0.22961835339198683,0.5142857142857142,0.20784603580619382,0.45454545454545453,0.16884172177841586,0.5463917525773195,0.20492454051089073,0.5581395348837209,0.1887693485125127,0,0
15,8000,0.558,0.5537835368218533,0.44559005774894517,385048,4.910599231719971,0.6391752577319587,0.20795743481206014,0.5596330275229358,0.19845138685051641,0.44086021505376344,0.1576640728395446,0.5688073394495413,0.24490966367025244,0.5806451612903226,0.19101744182762645,0,0
16,8500,0.606,0.6005860737000207,0.507822376343495,385000,5.276202917098999,0.7894736842105263,0.16710353398937935,0.6470588235294118,0.20182437592844651,0.46875,0.1927595388526905,0.625,0.21543517677333976,0.5221238938053098,0.22287737445614375,0,0
17,9000,0.582,0.5577825553070439,0.473084447671487,384976,5.588385820388794,0.7154471544715447,0.2504790372464767,0.6526315789473685,0.166447725650589,0.4177215189873418,0.16119177449312508,0.6274509803921569,0.2074668460184126,0.4411764705882353,0.21441461659139688,0,0
18,9500,0.58,0.5736756212190608,0.4747688983152587,385072,5.8512444496154785,0.6886792452830188,0.23885396902723205,0.6632653061224489,0.20693736200373175,0.4731182795698925,0.15772681806893793,0.6021505376344086,0.1743449990365649,0.4774774774774775,0.2221368518635334,0,0
19,10000,0.548,0.5447703208152066,0.4338705717907225,385096,6.113019704818726,0.6470588235294118,0.1997934979313426,0.5283018867924528,0.21887904697329102,0.43564356435643564,0.17440911633655834,0.5714285714285714,0.19928217715092572,0.5638297872340425,0.2076361616078824,0,0
20,10500,0.566,0.5566304953974328,0.4571417135309303,385120,6.374918460845947,0.7553191489361702,0.16812136480605006,0.6415094339622641,0.24635176889826182,0.4158415841584158,0.19460651040125707,0.52,0.2005276317075375,0.51,0.1903927241868936,0,0
21,11000,0.558,0.55161347817214,0.44578192396428934,385264,6.6408467292785645,0.6407766990291263,0.20541504601369,0.6095238095238096,0.1946274183774087,0.4631578947368421,0.17555979381743345,0.5769230769230769,0.21424693544848294,0.48936170212765956,0.21015080634298475,0,0
22,11500,0.538,0.529802371509592,0.42075938194273793,385288,6.987407922744751,0.6896551724137931,0.1847579056061367,0.5546218487394958,0.1989688804524958,0.3465346534653465,0.22834424971198525,0.5742574257425742,0.21461753241176326,0.5483870967741935,0.17331143181761918,0,0
23,12000,0.568,0.548264417310121,0.4586656107304505,385216,7.346196889877319,0.8163265306122449,0.17584159771947494,0.5887850467289719,0.1929739283140963,0.4044943820224719,0.17636760706858712,0.6138613861386139,0.20668765176719767,0.41509433962264153,0.24812921513064398,0,0
24,12500,0.554,0.5485113493502157,0.44392355569741465,385168,7.711797714233398,0.7386363636363636,0.21352982620332273,0.6210526315789474,0.19057093736309882,0.3673469387755102,0.17895492955252035,0.6236559139784946,0.17980120903967145,0.47244094488188976,0.23714309784138676,0,0
25,13000,0.552,0.5111769668907583,0.4350481974506551,571392,8.063559532165527,0.8135593220338984,0.22864048975359444,0.7472527472527473,0.20438143258659863,0.3626373626373626,0.19680062572154053,0.38613861386138615,0.19754933997121882,0.41,0.17262811196704753,0,0
26,13500,0.564,0.5177356980101689,0.4545964013369893,571464,8.425048112869263,1.0,0.16221054220220393,0.7157894736842105,0.21775283255447414,0.3431372549019608,0.2161651720773457,0.3883495145631068,0.21104178100570092,0.39,0.1928296721602751,0,0
27,14000,0.78,0.7691606483326131,0.7237818780823432,571488,8.769404411315918,0.9722222222222222,0.25574800680548704,0.8130841121495327,0.18585906615790876,0.6666666666666666,0.19629635842335694,0.9230769230769231,0.1697750438699126,0.5533980582524272,0.19232152474333444,0,0
28,14500,0.776,0.7648477575194981,0.7199887995519821,571488,9.088687896728516,0.989010989010989,0.1994556368765188,0.7254901960784313,0.18653783809717198,0.6382978723404256,0.17923819970287272,0.9611650485436893,0.2173374225950978,0.5945945945945946,0.21743090272833884,0,0
29,15000,0.776,0.7458230720621861,0.7190278363136452,571488,9.409523248672485,0.9907407407407407,0.18433093214831844,0.8152173913043478,0.13481338890945366,0.5566037735849056,0.23263998041743333,0.9428571428571428,0.23061042057125947,0.5444444444444444,0.21760527795353501,0,0
30,15500,0.766,0.7463224858917902,0.7069916304788809,571488,9.728970050811768,1.0,0.1850248332930883,0.6867469879518072,0.20085174948404272,0.580952380952381,0.2195398671659729,1.0,0.20165019871399575,0.5803571428571429,0.19293335134290035,0,0
31,16000,0.808,0.7852656540101235,0.7591522157996147,571536,10.04814076423645,1.0,0.2356757372405484,0.75,0.1791243151805351,0.6407766990291263,0.23897490927073728,0.98989898989899,0.18791629817430847,0.6276595744680851,0.15830874013387092,0,0
32,16500,0.804,0.7794511734250514,0.7543736528146775,571512,10.368886947631836,1.0,0.2066793366495342,0.7578947368421053,0.20819289094459545,0.6020408163265306,0.1812358657300078,0.9819819819819819,0.2486793479329299,0.6421052631578947,0.15521255874293274,0,0
33,17000,0.812,0.7987962519451205,0.764276328327967,571560,10.68826413154602,1.0,0.2601922413886334,0.7073170731707317,0.17356778893675898,0.6792452830188679,0.17043915675818008,0.967032967032967,0.18360911185580592,0.7,0.21219170106062132,0,0
34,17500,0.804,0.7922390978967601,0.7541986877219737,571560,11.009514808654785,1.0,0.1673333885852532,0.7982456140350878,0.2704153888212256,0.6413043478260869,0.1581693294042798,0.9883720930232558,0.13960418157918095,0.616822429906542,0.2644777116100601,0,0
35,18000,0.796,0.7717584790943615,0.7443403982274268,571584,11.328857660293579,1.0,0.1960305288645661,0.7472527472527473,0.2067665814009492,0.6,0.2168432760599397,0.9732142857142857,0.17363743845235363,0.6274509803921569,0.20672217522219163,0,0
36,18500,0.81,0.7783966735730422,0.7607052896725441,571608,11.64987587928772,1.0,0.20064320389542023,0.7407407407407407,0.16694642351083586,0.550561797752809,0.20999365913517803,0.9722222222222222,0.21514832651936094,0.7207207207207207,0.20726838693920507,0,0
37,19000,0.71,0.6974854500353399,0.6382758981983645,688088,11.94738507270813,0.9545454545454546,0.16326281729937356,0.7244897959183674,0.2031036816961254,0.544,0.21354470457769076,0.9263157894736842,0.20755043213290317,0.47368421052631576,0.21253836429390693,0,0
38,19500,0.774,0.755886070343688,0.7179202987548553,769968,12.258332252502441,0.9256198347107438,0.2383441134657067,0.9367088607594937,0.18967344961655888,0.5922330097087378,0.18281699752715716,0.925531914893617,0.16712762290546468,0.5192307692307693,0.22203781648511256,0,0
39,20000,0.832,0.8316909841526388,0.7900997026412454,804344,12.58190393447876,0.9021739130434783,0.16267981030705878,0.9489795918367347,0.2256399184183394,0.7647058823529411,0.22235892345867275,0.8415841584158416,0.20671283800497303,0.7222222222222222,0.1826085098109558,0,0
40,20500,0.842,0.838845009983071,0.8015982641103815,838456,12.909065008163452,0.956140350877193,0.20917453806359323,0.8198198198198198,0.27164659277865927,0.7446808510638298,0.19053410663333661,0.9487179487179487,0.14179224691282524,0.75,0.1868525156115855,0,0
