L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,semi_synth_1_gradual,6,0.6838415785953177,0.67892,0.6863455785953178,0.6683199999999999,0.597151491638796,0.56932,0.6830188628762541,0.6829599999999999,0.6796881070234113,0.6674,0.5907357591973244,0.5791200000000001,0.5869701137123745,0.52252,0.567720160535117,0.49728,0.6829957993311037,0.6829199999999999,0.6363695250836121,0.63208,0.6238335250836121,0.56484,0.6379455250836121,0.62092,0.6338815250836121,0.61184,0.6898772709030101,0.6778399999999999
1,semi_synth_1_sudden,6,0.6891500200668895,0.6786399999999999,0.6930181137123745,0.67228,0.6000474916387959,0.54332,0.6860272642140468,0.6707599999999999,0.6910620200668897,0.6840800000000001,0.603938381270903,0.5773599999999999,0.5687381137123746,0.4651999999999999,0.564696160535117,0.4718799999999999,0.6877522408026755,0.67368,0.647273525083612,0.63536,0.6316735250836121,0.5816,0.645393525083612,0.62808,0.641145525083612,0.62024,0.6965092709030101,0.6925999999999998
2,semi_synth_1_to_3_gradual,6,0.7015611772575251,0.725,0.7026019799331104,0.7132000000000001,0.6140501137123745,0.60332,0.7009909565217392,0.72588,0.6976429966555183,0.7093599999999999,0.6093118929765886,0.61292,0.6053061137123745,0.6313200000000001,0.5978801605351171,0.59224,0.7001578862876254,0.7220399999999999,0.658337525083612,0.6755200000000001,0.658337525083612,0.6755200000000001,0.654297525083612,0.66212,0.658337525083612,0.6755200000000001,0.7016691371237458,0.7033999999999999
3,semi_synth_1_to_3_sudden,6,0.7010171772575251,0.72036,0.7024019799331104,0.70744,0.6117781137123746,0.5975199999999999,0.7022970434782608,0.7206399999999998,0.6974680668896321,0.7102799999999999,0.6122958929765887,0.6127199999999999,0.6064421137123746,0.62996,0.598136160535117,0.5950000000000001,0.7018550903010033,0.7225599999999999,0.657937525083612,0.6741199999999999,0.657937525083612,0.6741199999999999,0.6552255250836121,0.66728,0.657937525083612,0.6741199999999999,0.7053171371237459,0.716
4,semi_synth_2_gradual,6,0.6105215785953176,0.60108,0.6303865150501672,0.61424,0.5165358929765886,0.45132,0.6108047357859532,0.60516,0.6092444682274247,0.5979200000000001,0.5343193578595318,0.50712,0.5419133110367893,0.5085200000000001,0.4930398929765885,0.4020399999999999,0.6097138461538462,0.60692,0.5704162408026755,0.56092,0.5570082408026755,0.5218799999999999,0.5698162408026756,0.5528000000000001,0.5637762408026756,0.54104,0.6386560267558529,0.66124
5,semi_synth_2_sudden,6,0.6197269565217391,0.6186,0.6270665150501673,0.60836,0.5147998929765886,0.4224,0.6206258461538462,0.61472,0.6172123344481606,0.62164,0.5453913578595319,0.5383600000000001,0.5453133110367893,0.50488,0.4931518929765886,0.3723599999999999,0.6206553578595317,0.6200399999999999,0.5789922408026755,0.57852,0.5659682408026756,0.55296,0.5779682408026756,0.574,0.5721122408026756,0.553,0.6408800267558529,0.6404000000000001
6,semi_synth_3_gradual,6,0.6932154916387959,0.68716,0.6989945150501673,0.6736800000000001,0.6234165618729097,0.58972,0.6927939799331103,0.6861999999999999,0.6960633578595318,0.6856399999999998,0.5923365618729096,0.5480800000000001,0.5632134046822741,0.52628,0.5999393177257525,0.5298,0.6926473578595317,0.6868799999999999,0.6491166822742476,0.6435200000000001,0.6367006822742475,0.584,0.6513006822742475,0.6346,0.6419806822742474,0.60848,0.7025524280936455,0.6895600000000002
7,semi_synth_3_sudden,6,0.700991491638796,0.68888,0.7098665150501672,0.6994400000000001,0.6293925618729097,0.59348,0.7043244682274247,0.6972,0.7015709163879599,0.7008399999999999,0.6144405618729097,0.6102,0.5825574046822741,0.5316400000000001,0.5964993177257525,0.50332,0.703290381270903,0.69556,0.6598686822742474,0.6533599999999999,0.6500446822742475,0.62556,0.6640686822742475,0.6702400000000001,0.6514366822742474,0.62864,0.7120564280936456,0.7072799999999999
8,semi_synth_3_to_6_gradual,6,0.7083406020066889,0.72464,0.7117735384615383,0.7208,0.6383898060200669,0.63592,0.7092014448160535,0.7278000000000001,0.7050397591973244,0.71172,0.6194724280936454,0.6166,0.5942054046822741,0.62896,0.6180273177257525,0.6184,0.7090210033444816,0.7269600000000002,0.6639886822742475,0.67732,0.6676446822742474,0.69048,0.6642606822742474,0.6752799999999999,0.6676446822742474,0.69048,0.7200935384615385,0.7198800000000002
9,semi_synth_3_to_6_sudden,6,0.7077804682274248,0.7244799999999999,0.7088775384615386,0.71568,0.643101806020067,0.6458800000000001,0.70610127090301,0.7227999999999999,0.7055114916387959,0.7151999999999998,0.6100964280936455,0.59884,0.5947094046822742,0.6150800000000001,0.6182353177257525,0.6184,0.7105836254180603,0.7245599999999999,0.6648206822742475,0.67732,0.6687726822742475,0.6921199999999998,0.6649326822742474,0.67916,0.6687726822742475,0.6921199999999998,0.7198935384615384,0.7148399999999999
10,semi_synth_4_gradual,6,0.6451177525083611,0.6437999999999999,0.6519453110367893,0.64004,0.5820927357859532,0.5272399999999999,0.649672508361204,0.6482399999999999,0.6443045083612039,0.6350000000000001,0.5719486020066891,0.54644,0.5170179799331104,0.5264,0.5500979799331104,0.46448,0.6458406421404683,0.64476,0.5997499665551841,0.5945199999999999,0.579829966555184,0.52428,0.6014219665551839,0.5930400000000001,0.5923899665551839,0.56016,0.6670552240802675,0.68292
11,semi_synth_4_sudden,6,0.6507148628762542,0.63528,0.6566733110367893,0.64452,0.5841567357859531,0.5122399999999999,0.6514727759197325,0.6317200000000001,0.6511129096989966,0.64004,0.5828766020066889,0.5582,0.5444099799331105,0.53112,0.5542899799331104,0.4233599999999999,0.6502813110367892,0.6408000000000001,0.606869966555184,0.6000800000000001,0.584437966555184,0.5268,0.6045579665551839,0.59408,0.6003739665551839,0.57244,0.6640072240802677,0.6644
12,semi_synth_5_gradual,6,0.7983463812709031,0.81928,0.737571050167224,0.73048,0.6581226488294315,0.6314799999999999,0.79472527090301,0.80036,0.7946450033444816,0.7963199999999999,0.6301517591973244,0.61224,0.7049513578595318,0.6206400000000001,0.6342774046822743,0.61136,0.7933621137123746,0.8066399999999999,0.7134835317725753,0.68424,0.7041555317725753,0.648,0.7426835317725752,0.7358,0.7326915317725752,0.7121999999999999,0.7828666488294315,0.7793200000000001
