L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,swap_cluster_global_gradual,10,0.9703905904941234,0.9450814074313576,0.5891700353152971,0.6063904803284139,0.9458780370974512,0.9569188437757018,0.97252443668346,0.9501977434224989,0.976755994349048,0.9814884119115546,0.829725582387335,0.7820368401577494,0.9263089725432944,0.8712816069313141,0.8392389084165139,0.7983217976837871,0.9712617949274504,0.937503940036156,0.9527248644281466,0.9422764524409112,0.8867190432500107,0.7790604120214105,0.9584322790771944,0.9681467606774818,0.914853160236802,0.8482175170716376,0.7842660840114222,0.7876911031738671
1,swap_cluster_global_gradual,15,0.9582470722027528,0.9147380362928628,0.4036583656531982,0.3905476231665248,0.8634058003279566,0.9051095578391206,0.9614941630309564,0.9347073828502253,0.9699931066077088,0.9803557785708942,0.7885814618396451,0.6677093176704632,0.8143346984983366,0.8741329107664481,0.7013502972537664,0.6085129817092825,0.9578682097213044,0.931276388104402,0.9150518795427268,0.8707049803114162,0.8818147362900821,0.7976682947321958,0.9292969362584854,0.961145803703128,0.9013636846460829,0.7965584411144457,0.3752939356179651,0.3699969002718156
2,swap_cluster_global_gradual,5,0.96382807231873,0.9360196961830392,0.8855099578850067,0.9046532317483428,0.9517254128542182,0.9718876014206204,0.9629125880271472,0.931592340112107,0.9616954969342696,0.929187912072906,0.8699440642441212,0.8214921673771375,0.9370839751379346,0.8964030030941232,0.8649673516430273,0.8164886895107795,0.9650035512156906,0.9392233367554303,0.9509580833744667,0.9234693142480552,0.9385633771477292,0.926601760505678,0.9443174073767036,0.9071816293634704,0.8980263181769221,0.8047362420212135,0.9631582037300292,0.9635057860101988
3,swap_cluster_global_sudden,10,0.9728660896073515,0.8876887901721847,0.6050067807688022,0.620038447778544,0.9328119098613564,0.8958595832332654,0.9739852306763755,0.8918915285836487,0.9795669294734376,0.9448644887710784,0.8146823996043452,0.814603044707849,0.9384391988340386,0.8804457079319945,0.8290391119491277,0.739099101761146,0.97261849575946,0.8820849660638465,0.9504477958902428,0.9133365756288714,0.8961116564935269,0.7894201468132969,0.9613603443550498,0.9530951051206517,0.9179216427708372,0.8314154699075517,0.7760871310188666,0.8041134284425113
4,swap_cluster_global_sudden,15,0.9618138184725183,0.7993268860957304,0.413661454814536,0.3903377683962831,0.8435906403601773,0.8092866879647869,0.9601519078559896,0.8039201593348527,0.971164480884152,0.9497509746333318,0.8131322095374399,0.8145993651550096,0.8172770428816725,0.8668589310037479,0.704946393216672,0.5448726249394789,0.9612474577313213,0.7687129363915458,0.9177289873238011,0.8152596264166793,0.9044535538602104,0.8059736549144361,0.9316065952212668,0.926019519505548,0.9044535538602104,0.8059736549144361,0.3795727923507019,0.3757054089237895
5,swap_cluster_global_sudden,5,0.975914480323172,0.926535225097358,0.8860883217167183,0.909337785493985,0.9632011756535176,0.9807105769156556,0.9750352895314018,0.9283904257284138,0.973242691437078,0.9274381119812946,0.882704601965239,0.8371224391053493,0.9522478767721688,0.9209536819065004,0.8424797623676443,0.7436106624123623,0.9778778397146648,0.9382007490963616,0.9683833066668514,0.946600450553964,0.9470781717347024,0.9010619560831008,0.9523623914055092,0.9135568938432036,0.9343538173893464,0.8776580649381011,0.972565311143008,0.969721159203362
6,swap_cluster_local_gradual,10,0.975458718928814,0.9768488250253023,0.6136195839881924,0.6678523590046584,0.9514720810261088,0.9770252575124478,0.9768411942119016,0.9806663936934854,0.9801853345527444,0.9897399056605628,0.8647745898000928,0.9107393405495696,0.9444875458311198,0.9486725750605046,0.8691344022475491,0.880946177228383,0.9750233091271452,0.9747887877517004,0.9562985727641854,0.9675293711310128,0.9384227641480206,0.9234487458804272,0.9596958515596342,0.975671591097931,0.943334550194869,0.94740812107553,0.7877107802599574,0.790931601030743
7,swap_cluster_local_gradual,15,0.9683951282067402,0.9826878379558176,0.4052941327213804,0.3879834982647199,0.8584298471396723,0.9401470259076504,0.9693856169132916,0.9825926029154808,0.9712612216890332,0.9881762246720712,0.8164535403837124,0.8974224100933954,0.7996273997129427,0.8759733668514146,0.7328797995539779,0.7933222280862308,0.9682000699597964,0.9829146881325852,0.926596381244675,0.950237841964795,0.9182500397931992,0.9414652379324464,0.9295385762686222,0.965317753704377,0.9182500397931992,0.9414652379324464,0.3739943524771688,0.383979554003092
8,swap_cluster_local_gradual,5,0.9782442431545546,0.9760403251703492,0.8954467949485235,0.9172885493306914,0.9611938780393418,0.9891089346403714,0.9775397373170812,0.9737397804654396,0.979385473282973,0.9783940026536884,0.876444813565749,0.8851687897659664,0.9594320497784354,0.9493438465194488,0.8964295834975137,0.9082755660608556,0.9786443115459654,0.9762335423447313,0.9642511947633512,0.9600143890499444,0.9449771382047067,0.9054431965432184,0.9649400022381684,0.9655486121738728,0.9312020394143644,0.8975340903049316,0.9581913527019362,0.968060867920661
9,swap_cluster_local_sudden,10,0.9775128189330532,0.9759613421268976,0.6113148100254997,0.6588232331109066,0.943769664490802,0.9693473199986002,0.9762395472836404,0.9762593743923288,0.9819367252797356,0.9880876414004176,0.8755757861992602,0.8932295314267055,0.945073167306978,0.9489471927503134,0.8695537942465217,0.8765671051589584,0.977777255548944,0.976657630799964,0.9584749419924012,0.969190500766552,0.9414224654477438,0.9292081603905744,0.9638709067059028,0.9829571456941084,0.9439601652509272,0.948270300992432,0.7676475441792188,0.7801300637359334
10,swap_cluster_local_sudden,15,0.9697846183913742,0.9803895122161822,0.4046143167659514,0.4035610261666047,0.8621946291109578,0.9442489071063463,0.969188128195831,0.9795398214191025,0.970159501147126,0.9885302580232068,0.8246069258333943,0.8744491397347154,0.8000134024387147,0.8705829088946905,0.7332101942533272,0.7912046209928413,0.969418334602648,0.9788124952868816,0.9282308189099728,0.9543103740015468,0.9207179056452977,0.943677706862167,0.9306313829330828,0.9679011817601172,0.9207179056452977,0.943677706862167,0.3685636198518786,0.3541486884186167
11,swap_cluster_local_sudden,5,0.9840284294890363,0.9791440290379124,0.9092836780247836,0.9094526509707088,0.9667831383805412,0.9938797400950324,0.9823263050897564,0.97521211082863,0.9829975163268369,0.9782090665220716,0.8810686185441612,0.8287669748866792,0.9665003934878272,0.9593799622086184,0.9078656716634472,0.9148978471948752,0.982759298744102,0.9751844117433373,0.9741529536552336,0.9745534486133364,0.9427215315834828,0.896715553796438,0.9677489089841042,0.9599719297383562,0.9396091462236535,0.9091074424454768,0.9748273499070532,0.9787541328800838
