L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,semi_synth_1_gradual,6,0.6598847655749542,0.7011480981924797,0.6548092604882991,0.5939994006076553,0.5371086088779093,0.255056856632899,0.6425224857706238,0.6378528124248583,0.6569338179331837,0.738306151994989,0.7273378594788887,0.6116018957631292,0.607463030657004,0.4588211755752283,0.5346237686288978,0.09912809977175,0.6546823555740379,0.6933958854035243,0.6207283344738939,0.5339569715747833,0.6095819532993418,0.5320926548659222,0.6315873913696334,0.6032900164459196,0.5768474891288526,0.4255149042699869,0.6649572097360591,0.593584678709822
1,semi_synth_1_sudden,6,0.6598351662553689,0.7284820470103769,0.7140994780797127,0.7444768578903893,0.5776346382294681,0.2743797579764519,0.6507331268126012,0.687580839137282,0.676950175989266,0.7742807767460945,0.7341894879130928,0.7077439983743598,0.5887358446910347,0.3318085306736855,0.5499034452411006,0.0555059127041992,0.6536473910871242,0.6948711456533927,0.6537961510792955,0.6787460541741676,0.6445763614419653,0.6854901855955106,0.6609221587731212,0.765765728916514,0.6126758309610213,0.5270264503174612,0.722954920237808,0.7604458365487186
2,semi_synth_1_to_3_gradual,6,0.614986990932591,0.5889368216490279,0.6747959971499826,0.6632510396385759,0.7402018232701506,0.7167688148973729,0.6106618477247114,0.5760191638951484,0.6340498376095772,0.7108034948225419,0.739718642398117,0.7295990432801169,0.613540698784022,0.5221495461793908,0.7887775940329096,0.8324836789543311,0.6171044759032747,0.5823130761928317,0.5879269491579292,0.5049738002590364,0.5879269491579292,0.5049738002590364,0.6278727365763002,0.6875477817443142,0.5879269491579292,0.5049738002590364,0.6756697128616277,0.6480501657114816
3,semi_synth_1_to_3_sudden,6,0.6142930183648503,0.5609342479198,0.6686592025959263,0.6646718186512114,0.7303893913548422,0.7040257067287544,0.6119593824447622,0.5876577538665044,0.6256995554777756,0.7122174005622557,0.7613273205333607,0.7713495539538947,0.6156738293441452,0.5375311263507379,0.7868538343239181,0.8175202830088141,0.607000423091933,0.5718388634413213,0.5934824220116971,0.5463710280808868,0.5934824220116971,0.5463710280808868,0.6265551531333897,0.6977377720479163,0.5934824220116971,0.5463710280808868,0.6768698500988831,0.658117874615118
4,semi_synth_2_gradual,6,0.6064543623505317,0.5610545542979604,0.6867226936501074,0.5500517688756843,0.664562110164436,0.2992837115676389,0.5875725526730282,0.5328165063615843,0.5910494919097448,0.5437314593341731,0.7335860294205249,0.4998592423249299,0.7361866072364502,0.5936615464019745,0.6757912287845386,0.3538310881559936,0.5974778951175269,0.5405751678596357,0.5597076088373667,0.4227441437095407,0.5765617774448584,0.465034614227544,0.5572637970897115,0.408315771355614,0.5158952978423179,0.3544781460552462,0.6940328174613448,0.5221198331439316
5,semi_synth_2_sudden,6,0.6532365914637798,0.6645304425189067,0.7306091561667647,0.7034104278965588,0.7019704952330473,0.3204871565057525,0.6443597339415909,0.6073228284645896,0.6379693035119773,0.7029603313497824,0.8036416556718571,0.7572846221002145,0.726280809091524,0.4749590423786817,0.733736004840935,0.3433761578551698,0.6360759085093378,0.685828854468503,0.5846777371975042,0.5453479093484765,0.5874883709374041,0.4479321063942542,0.6218493707062526,0.5873270009980053,0.5545264963536959,0.3793414282561481,0.7530870522544724,0.7113072867756762
6,semi_synth_3_gradual,6,0.6081645397997251,0.6050805614669834,0.6220749774353456,0.6097350180017412,0.5646273509152229,0.3383316975614494,0.6103781942205861,0.5761342723802729,0.6325974591113542,0.7040279349262676,0.6636175881411536,0.4799359913011271,0.5647233274690309,0.487092960148449,0.4923014114602703,0.1591099320444635,0.591365860824044,0.6071937303841112,0.5583228658989337,0.4863800579756197,0.5759676234866947,0.557405841683362,0.584770019044055,0.6556662388841716,0.523893324447311,0.3948025132065328,0.6083579611603928,0.5635189004301819
7,semi_synth_3_sudden,6,0.6441211606185403,0.6630680457073008,0.6691659992287998,0.7123840553253283,0.5701300146852681,0.3859254441797446,0.6473702506337232,0.6729518835736431,0.6423545158983872,0.7474925679143274,0.7571982274477526,0.8186987272473406,0.6119641351460321,0.5471542516674727,0.4745267129667421,0.0557531633744396,0.6413825357969831,0.6838660929008589,0.5855635428030928,0.5942552511833928,0.6174103170915903,0.6880787820529818,0.6150714781080457,0.7336327724073688,0.5633510449189774,0.5105565773407433,0.6536532206104136,0.6944582520660483
8,semi_synth_3_to_6_gradual,6,0.5879117736967575,0.5676937807984406,0.6001479511248645,0.5867489834470545,0.5940211877790463,0.5881443772278678,0.6059192215899837,0.5706289786404825,0.6017907806107989,0.6125203233633992,0.5640622398704247,0.509750047022736,0.4983101441453897,0.409049275800883,0.5353752266079543,0.5282821426098553,0.5947620160465171,0.5845247146951502,0.5865109158852854,0.6043575776988719,0.560015610228408,0.5195149914433699,0.572549257885783,0.5446421809383141,0.560015610228408,0.5195149914433699,0.6007411728952513,0.5873528682792053
9,semi_synth_3_to_6_sudden,6,0.596430323201051,0.5629462272161503,0.608986576363131,0.5942608123661024,0.6003113776328958,0.5972499834129029,0.6019377089811837,0.5729354169586846,0.6058410684283959,0.6046271183870557,0.5647294630943389,0.4617884547572851,0.5258937460363227,0.4105527183964705,0.5358723974131431,0.5277402133464707,0.6076929240941106,0.5776380653044757,0.5612393607018319,0.5355947941760771,0.5456464557562352,0.4820680542237561,0.5607767127767457,0.5429755673289176,0.5456464557562352,0.4820680542237561,0.6048252849275976,0.5957311471693858
10,semi_synth_4_gradual,6,0.6400541705337331,0.7022576014575076,0.6626464362877624,0.5929741236030941,0.4790411095074937,0.0613156724653692,0.6351736416406913,0.6673119279048444,0.6315389122965569,0.6862750089723688,0.642062029033947,0.5300377333958873,0.5407611300337575,0.5566394361920938,0.505199192537479,0.0620419459274836,0.643175853195754,0.7073351280494303,0.5674641633375782,0.4408100004231727,0.5532009196478443,0.4483920762678073,0.6045053353235215,0.6782611627280076,0.5445558601413609,0.402308475450892,0.6648960111108135,0.5819487496403491
11,semi_synth_4_sudden,6,0.6354298317834786,0.6870554244779525,0.7025020401569216,0.6933576778442081,0.5185737899360483,0.066384143938177,0.6583316917802604,0.7059072922130908,0.6547759257627657,0.7348285868364697,0.5996263645991947,0.182982490143606,0.6236010841058814,0.6277111727342648,0.5630889749229725,0.1323171475596608,0.6602478767560089,0.7014916120080895,0.6229123346505373,0.7032495863423778,0.6026100995845881,0.6096282033346451,0.6208584146712169,0.6606842003358835,0.5943291294053075,0.5593952615642591,0.7136167283030473,0.7008268444026203
12,semi_synth_5_gradual,6,0.7121875653579876,0.735877819112105,0.6410445194406916,0.5942942567504995,0.5629704038287356,0.3937780240796955,0.7272756808690474,0.7266672500057121,0.7330641429568178,0.7530330182602366,0.425895115917874,0.4168696998138207,0.6277097232993888,0.4627012958156729,0.3793097033755756,0.3442737067755199,0.7206081562766766,0.7441851926280516,0.6172111185470693,0.3942702484425295,0.6195525764196615,0.4564647838383625,0.6752720315781129,0.6274184630340609,0.6108368708514353,0.4338924985872258,0.6898768192104189,0.6445250786545894
13,semi_synth_5_sudden,6,0.7606289340912299,0.8098843694921334,0.6966875327416081,0.7281365296616285,0.5825378571091443,0.4397445594985223,0.746942302814024,0.7560551537659339,0.7656018873698976,0.8283791621807163,0.5227928536350911,0.7618595229295185,0.683551347377904,0.5123081312055635,0.4447850436060211,0.2532857059495614,0.7607606405539986,0.7815661760415479,0.6850113955390206,0.6098283847161623,0.6735364322434289,0.6677048404469882,0.7095466798854033,0.7086965790245208,0.665936389876417,0.5400794723197859,0.735239698629767,0.7649039972631592
14,semi_synth_6_gradual,6,0.4827827937415109,0.6720141458355897,0.4272738553416635,0.5686939241890455,0.1803053361014812,0.0793998221830491,0.4908205705126912,0.6663499783300157,0.4922526460967634,0.7013977527747035,0.2214838535575165,0.2819386200633076,0.3127712111609904,0.4542189322210586,0.1307969350762416,0.0401190615988991,0.4770393100149507,0.6565971900353729,0.4431993518352502,0.5119688796158527,0.4494730149575404,0.5952374621863075,0.4476012866828797,0.5694268928633306,0.3751378075187422,0.3195626162908486,0.4187784708369853,0.5531188206161556
