L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,semi_synth_1_gradual,6,0.6430577495031217,0.6307916395481333,0.6488960474424237,0.6045436071134392,0.5342942907743216,0.416305604721562,0.6435753569670181,0.6400988057945175,0.6400182797886818,0.6147614294128624,0.4894803891029045,0.4467352403219349,0.5135201040391033,0.4268893583723047,0.4436942539708141,0.2995357449216153,0.6449417672441741,0.6350373678068439,0.5842415744890229,0.5681043596735312,0.5581995890485,0.4185877350777744,0.5797354719632621,0.5160765401728861,0.588594612548119,0.5650654158931441,0.6578347645121577,0.63315132452562
1,semi_synth_1_sudden,6,0.6496082671868874,0.6168869370157855,0.6590869168051419,0.6231798938799343,0.521654256115357,0.3180085670613686,0.643816966049953,0.6046730562587248,0.6526724390014614,0.6344299932416103,0.5320791325181493,0.4545727597579249,0.4544637180787893,0.2661346144889426,0.4042859816475653,0.1511291206098467,0.6465243906349792,0.6056354595646714,0.601636868153367,0.5837533571702322,0.5722537488466831,0.462515933632496,0.5957937839316878,0.5617892845832175,0.5976877863652067,0.5788470881622844,0.6661009800323955,0.6569787564625945
2,semi_synth_1_to_3_gradual,6,0.6711405754312887,0.7110700973999282,0.6752378641204589,0.691033358461045,0.5630854661623927,0.5532880867921626,0.6706182072883439,0.7102493947470353,0.6649589422978066,0.6786061407422119,0.5454238773630053,0.5464887697496073,0.5405446685793949,0.6055724435905523,0.481858785794328,0.4552928026109598,0.6697294335597679,0.7065293090302363,0.6208532009200219,0.6592784916267708,0.6208532009200219,0.6592784916267708,0.6139038569797779,0.6318218144556816,0.6208532009200219,0.6592784916267708,0.6748008121189526,0.6810825589723835
3,semi_synth_1_to_3_sudden,6,0.6708298270932425,0.7049258749961821,0.676687303749324,0.6852640764014386,0.5640352276888174,0.5561600334732053,0.6725062645563414,0.7062071941596425,0.6652875707127903,0.6810178097357974,0.5402950671316221,0.5093657635163615,0.5421337329757286,0.5993594197736595,0.4862774488278547,0.4633444563851072,0.6722938280991474,0.7075689713455318,0.6204369053083385,0.6581843733779263,0.6204369053083385,0.6581843733779263,0.6147032615702561,0.6376998562363372,0.6204369053083385,0.6581843733779263,0.6798078609025879,0.6963146812997035
4,semi_synth_2_gradual,6,0.5672929032605103,0.5599723239984656,0.5606690279639167,0.5546648705555188,0.3824066800494167,0.3338088665954536,0.5681939001591566,0.5739824871264811,0.5681853335296752,0.5646470908456662,0.3926911670269059,0.3736898842726948,0.3909192926317441,0.3548155254424691,0.3348863062729797,0.2718082792278439,0.5674972920825195,0.5732640545654534,0.5119937848034272,0.5231451032529222,0.4928044770306296,0.4603945749380216,0.5065011267879104,0.4808566197557726,0.5038694426139733,0.4848100445732747,0.5683257177364944,0.6195303580638667
5,semi_synth_2_sudden,6,0.5672518337155343,0.5540592400023444,0.5470900631589202,0.5132047774973845,0.3662751625957823,0.2694382787924617,0.5728429161188744,0.5555107746938637,0.5776954394954038,0.5762572506767928,0.3977306098912996,0.3704621786488078,0.3623453070825673,0.3090811644706538,0.3272629891946578,0.2350712643914637,0.5736785872364806,0.5557180877242395,0.5174632677527995,0.519765309993492,0.4929809893647442,0.4485907655969205,0.5172616513609521,0.5252465903969347,0.5140861419284909,0.5055647246849869,0.5694662535823617,0.579257183681988
6,semi_synth_3_gradual,6,0.669829559227192,0.6575750618870018,0.6852542577914972,0.6490518618549532,0.5970486035890562,0.5323054216551293,0.6684641563265862,0.6510945620678632,0.6729975453662864,0.6573034541242159,0.5556320400386701,0.4922986797840804,0.4947373096941839,0.4085054285054882,0.5476320821142739,0.3834004150132923,0.6708145860997865,0.6646329887964534,0.6168099138735001,0.594722725005668,0.6065307273851271,0.5305601184469362,0.6220129431105569,0.5860223863722603,0.6086832977891213,0.5485338467739126,0.6860313083135688,0.6535490003006271
7,semi_synth_3_sudden,6,0.6728818298008218,0.631198818086882,0.6988567811311652,0.6821819181936045,0.5913518124239591,0.4793063110243288,0.6780434919340498,0.6529939856690402,0.6790024626983686,0.6733905362307027,0.5769805891948201,0.5611711298376395,0.5261807117633118,0.4399302868472496,0.5260969939989375,0.2534347807101328,0.6740150982751149,0.6439707208781406,0.6270299043902794,0.5831069159885941,0.6218760848673162,0.5768269799657453,0.642034222084938,0.6513466718054118,0.6205476958622489,0.569252251171851,0.6996433130222454,0.6836968565844624
8,semi_synth_3_to_6_gradual,6,0.6882327656763548,0.7161154216709216,0.7008925717967086,0.7113691482333944,0.615963280587153,0.6135864273034771,0.6896085672664501,0.7194016802523923,0.6854318961270226,0.701839100689455,0.5933206273846575,0.590927683349211,0.5377030594425207,0.5947235776984356,0.5927136437419264,0.6093371487905287,0.6891861727417802,0.7188681943932984,0.6435696326292815,0.6671821709971448,0.6469496505561055,0.6803347176050422,0.6429323143846074,0.6602267409888565,0.6469496505561055,0.6803347176050422,0.7091866169781212,0.7103216987825265
