L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,semi_synth_1_gradual,6,0.620011023596896,0.6307916395481333,0.6230291227390787,0.6045436071134392,0.5159935599117358,0.416305604721562,0.6190535717087697,0.6400988057945175,0.6150758632860429,0.6147614294128624,0.50822570687653,0.4467352403219349,0.5036529834251575,0.4268893583723047,0.4806051493758158,0.2995357449216153,0.6189488636686983,0.6350373678068439,0.5630403294767268,0.5681043596735312,0.5480275026942447,0.4185877350777744,0.5649232874778011,0.5160765401728861,0.5601315971250613,0.5650654158931441,0.6272482657475155,0.63315132452562
1,semi_synth_1_sudden,6,0.6265015057041143,0.6168869370157855,0.6310295438930325,0.6231798938799343,0.5195066871664703,0.3180085670613686,0.6227291058712454,0.6046730562587248,0.6287526900034481,0.6344299932416103,0.5241089986954016,0.4545727597579249,0.4815416592486222,0.2661346144889426,0.4769436270878225,0.1511291206098467,0.6248747922039419,0.6056354595646714,0.5761988031720781,0.5837533571702322,0.557424097207709,0.462515933632496,0.5739297615575584,0.5617892845832175,0.5688661213433397,0.5788470881622844,0.6352244400233706,0.6569787564625945
2,semi_synth_1_to_3_gradual,6,0.6413794301855296,0.7110700973999282,0.6425778281839629,0.691033358461045,0.5363220090162133,0.5532880867921626,0.6406992767761317,0.7102493947470353,0.6367031115671108,0.6786061407422119,0.5306347781843008,0.5464887697496073,0.5255787763425332,0.6055724435905523,0.5168542503678807,0.4552928026109598,0.6397061434571529,0.7065293090302363,0.5895034214721095,0.6592784916267708,0.5895034214721095,0.6592784916267708,0.5846496113869891,0.6318218144556816,0.5895034214721095,0.6592784916267708,0.6414540869914981,0.6810825589723835
3,semi_synth_1_to_3_sudden,6,0.640702328052798,0.7049258749961821,0.6423363742426534,0.6852640764014386,0.5335933550110142,0.5561600334732053,0.6422577341748132,0.7062071941596425,0.6364446072620973,0.6810178097357974,0.5342109406017089,0.5093657635163615,0.5269964842407645,0.5993594197736595,0.517129362200314,0.4633444563851072,0.6417186354814016,0.7075689713455318,0.5890505354151744,0.6581843733779263,0.5890505354151744,0.6581843733779263,0.5857606735408547,0.6376998562363372,0.5890505354151744,0.6581843733779263,0.6458427679806156,0.6963146812997035
4,semi_synth_2_gradual,6,0.5319403391068285,0.5599723239984656,0.555818240917324,0.5546648705555188,0.4191229567611064,0.3338088665954536,0.5322205844625981,0.5739824871264811,0.5303679589565192,0.5646470908456662,0.4407349240630352,0.3736898842726948,0.4495769820904793,0.3548155254424691,0.3907397782941686,0.2718082792278439,0.5309757710504804,0.5732640545654534,0.4839159642624022,0.5231451032529222,0.4678199478676389,0.4603945749380216,0.4830778623967946,0.4808566197557726,0.4759233937021046,0.4848100445732747,0.5657976298048041,0.6195303580638667
5,semi_synth_2_sudden,6,0.5430278284184699,0.5540592400023444,0.5517220558075261,0.5132047774973845,0.4170166110975679,0.2694382787924617,0.5440688170749866,0.5555107746938637,0.5399649338378522,0.5762572506767928,0.4538515960888479,0.3704621786488078,0.4535233896688621,0.3090811644706538,0.3908800692722753,0.2350712643914637,0.5440930978193064,0.5557180877242395,0.4940684383613231,0.519765309993492,0.4783259499761295,0.4485907655969205,0.4928693752661564,0.5252465903969347,0.4858033204556429,0.5055647246849869,0.5683945776270907,0.579257183681988
6,semi_synth_3_gradual,6,0.6312372851614557,0.6575750618870018,0.6382074952884698,0.6490518618549532,0.5474568822975647,0.5323054216551293,0.6307643285372114,0.6510945620678632,0.6345948852957483,0.6573034541242159,0.5100787158296649,0.4922986797840804,0.4751086478818146,0.4085054285054882,0.5192370641470011,0.3834004150132923,0.6305363074039103,0.6646329887964534,0.5782829709847804,0.594722725005668,0.5634082318611471,0.5305601184469362,0.5808138967782797,0.5860223863722603,0.5697002094846332,0.5485338467739126,0.6424742273112181,0.6535490003006271
7,semi_synth_3_sudden,6,0.6406954967622869,0.631198818086882,0.6512708785821039,0.6821819181936045,0.5545496321808202,0.4793063110243288,0.6446056633676901,0.6529939856690402,0.6411949913939377,0.6733905362307027,0.5365921860123313,0.5611711298376395,0.498394889191055,0.4399302868472496,0.5151598423086304,0.2534347807101328,0.6433390179342588,0.6439707208781406,0.5911160193306307,0.5831069159885941,0.5793449849724093,0.5768269799657453,0.5961666265831701,0.6513466718054118,0.5810086894655658,0.569252251171851,0.6538994277520922,0.6836968565844624
8,semi_synth_3_to_6_gradual,6,0.6494180974160404,0.7161154216709216,0.6535798671029824,0.7113691482333944,0.5654572116607628,0.6135864273034771,0.6505106601850313,0.7194016802523923,0.6454002019184957,0.701839100689455,0.5427685262506051,0.590927683349211,0.5124479080525539,0.5947235776984356,0.5408679232509119,0.6093371487905287,0.6501690539546964,0.7188681943932984,0.5961116880106051,0.6671821709971448,0.6005141357356422,0.6803347176050422,0.5964295741315911,0.6602267409888565,0.6005141357356422,0.6803347176050422,0.6635705973366165,0.7103216987825265
9,semi_synth_3_to_6_sudden,6,0.6487104436189411,0.7160267764541749,0.6500838726165652,0.705948808374681,0.5711205722150893,0.6239686834558132,0.6466671942101193,0.7151761697483832,0.6459120637042389,0.7039158782850805,0.5315147795400488,0.548598473789642,0.5130317482991479,0.5821572343704214,0.5411146889070144,0.6095789491823954,0.6521993429366009,0.7166782660999615,0.5971357389397564,0.6645479384277442,0.601884188842278,0.6792798785908687,0.5972530278647824,0.665163941463114,0.601884188842278,0.6792798785908687,0.66333902096762,0.7048825792269301
10,semi_synth_4_gradual,6,0.5736758947268127,0.5897467356284133,0.5816677449481521,0.5975332724265937,0.4979849968312356,0.3464725923622578,0.5791200077064037,0.6085027458048622,0.5725011661539331,0.6030360433332433,0.4856522668026037,0.4513573231276919,0.4197292189403081,0.4308598394460019,0.4596440802131425,0.2788671232554995,0.574597299690919,0.5994326368846372,0.519078337108242,0.5495748170655609,0.4950801823096047,0.4135804356002927,0.5211209251774394,0.5349383409526076,0.5102603747252972,0.5118910945881135,0.5998409074300524,0.6495891593505607
11,semi_synth_4_sudden,6,0.5802962432393408,0.5866253930907454,0.5873583563435593,0.5984797381484932,0.5003724371909032,0.2784906958068328,0.581252768275542,0.5774083054724989,0.5808359614762064,0.609997348729354,0.4988792423528637,0.4638763502149606,0.452659547703831,0.3460505106994045,0.464604945816308,0.3199439931337837,0.5797386037094621,0.5865061815546606,0.5276417639183704,0.5483183576298692,0.5006393403139702,0.4109422977089392,0.5249057822246095,0.5635386335478928,0.5198310436036109,0.5331099862301828,0.5961485818486517,0.6265790344624498
12,semi_synth_5_gradual,6,0.7577373546760903,0.7955470348561334,0.6845032438452188,0.6919416426551378,0.589181772615707,0.5651683215502181,0.7533743130407379,0.7690098645644052,0.7533009864005364,0.7665780295976409,0.5556085120686334,0.4883021088436215,0.6454226219012501,0.5616911867864661,0.5605339480093241,0.5391203704531368,0.7517020567030618,0.7711582529001659,0.6558506089783732,0.6076782301420723,0.644303803815762,0.5937082950409279,0.6908515082585056,0.6825637707714475,0.6788565572526021,0.670746154535176,0.7390459493636506,0.7489556396015054
13,semi_synth_5_sudden,6,0.7625493045380666,0.7773971693725328,0.7034671271199879,0.7336403149732353,0.5889236964227147,0.5576909269285523,0.7615094349388037,0.7520793487917752,0.7634198145939103,0.7831319274444762,0.5677177092420715,0.6010209119356363,0.6589136520742752,0.586608423525713,0.5632407684689807,0.4716764887409458,0.7569394985348007,0.7750900921389693,0.6877488406964194,0.6897865976650954,0.6859824820933283,0.7156973581816736,0.7014340431916056,0.7230632383419091,0.6901328703673482,0.6908678533820555,0.7482133292484652,0.7814793539156847
