id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
semi_synth_1_gradual,6,2829.666830301285,527.6341197490692,1023.478554725647,2473.624796152115,2500.6546490192413,255.0135328769684,1410.3915514945984,125.88649582862854,2766.675071954727,297.88064670562744,242.97453618049624,275.5008990764618,277.48977994918823,2534.03888630867
semi_synth_1_sudden,6,2706.3000025749207,510.0643219947815,1075.9141733646393,2683.9408071041107,2261.9718203544617,266.79385566711426,1189.9173939228058,119.93297696113586,2468.195928812027,266.91183042526245,257.81990480422974,275.1365773677826,267.48159646987915,2529.1778812408447
semi_synth_1_to_3_gradual,6,2636.424227952957,487.7658677101135,1079.9570062160492,2681.645616292953,2412.354819774628,252.51774549484253,1214.0666556358335,94.36394786834715,2689.4219076633453,267.6222982406616,261.43559217453003,238.41462469100952,236.41201949119568,2490.7248833179474
semi_synth_1_to_3_sudden,6,2680.126876354217,483.4363133907318,1020.4699325561523,2708.492213726044,2389.043821573257,263.29708671569824,1210.9192717075348,93.7753448486328,2649.400180339813,262.3960359096527,255.5132529735565,231.0884885787964,227.94907593727112,2459.441725730896
semi_synth_2_gradual,6,2787.646347522736,516.3933320045471,1121.946007728577,2778.177260875702,2215.949864387512,268.3011839389801,1461.9064943790436,124.14300560951231,2780.832125902176,264.8055648803711,247.81880593299863,268.5143613815308,249.5929672718048,2735.4377241134644
semi_synth_2_sudden,6,2467.585781812668,437.8110842704773,1124.9808204174042,2801.6733453273773,2235.0842871665955,284.010767698288,1422.5720102787018,124.295250415802,2729.836835861206,287.37424325942993,268.3100779056549,272.53219985961914,271.2222092151642,2552.314757823944
semi_synth_3_gradual,6,2756.8911905288696,522.0006749629974,1117.920273065567,2722.348910331726,2216.394496679306,359.882623910904,1193.7303702831268,126.33841133117676,2476.908248901367,296.7763216495514,282.92405915260315,269.76476097106934,273.3964681625366,2577.9552800655365
semi_synth_3_sudden,6,2785.8428184986115,535.5352628231049,1125.8002126216888,2453.6041791439056,2482.5947439670563,341.8465347290039,1263.3482747077942,124.0511736869812,2718.8513350486755,297.5178327560425,271.043961763382,271.0102336406708,272.3981249332428,2389.391752719879
semi_synth_3_to_6_gradual,6,2593.513176202774,491.9506831169128,1061.181091785431,2494.2254178524017,2226.128282546997,183.20493459701535,1261.4313161373138,96.16187262535097,2614.4819033145905,254.4933841228485,257.081494808197,235.6722147464752,231.5682988166809,2499.9026658535004
semi_synth_3_to_6_sudden,6,2639.174728155136,478.40433859825134,1067.10799741745,2692.185261011124,2392.965457677841,188.3032174110413,1319.2941246032717,96.93717956542967,2676.6605372428894,254.26119184494016,258.279393196106,233.21788549423215,232.5097851753235,2553.1246020793915
semi_synth_4_gradual,6,2726.55916595459,487.10097646713257,1007.5059723854064,2763.407034397125,2562.2225689888,295.1248633861542,983.760798215866,134.46787571907043,2757.841522693634,294.2271175384521,269.90728306770325,267.9481313228607,272.82102394104004,2571.092477798462
semi_synth_4_sudden,6,2797.1238963603973,482.8981387615204,1011.8392419815063,2358.723236322403,2510.014262199402,304.9395925998688,1170.9243774414062,134.2146189212799,2732.4270293712616,290.780059337616,261.7909872531891,272.6772382259369,275.44835782051086,2516.08540892601
semi_synth_5_gradual,6,2820.386375427246,436.3915212154389,983.6326637268066,2771.235148191452,2487.640945196152,222.55370926856995,1542.5700442790985,121.11121320724487,2754.0394570827484,256.0420939922333,286.2324481010437,263.3294334411621,267.9917526245117,2329.134837627411
semi_synth_5_sudden,6,2736.4595947265625,391.7992069721222,1042.5293731689453,2379.920121908188,2462.4704699516296,235.8224947452545,1379.7074472904203,111.84725093841551,2396.0949058532715,278.6187160015106,324.5719163417816,238.63853907585144,241.7776997089386,2283.0215113162994
semi_synth_6_gradual,6,2437.0187001228333,453.0139360427856,1156.2369627952576,2448.166568040848,2193.06285738945,290.90099906921387,1216.9122323989868,127.1205108165741,2672.710208654404,289.18505120277405,269.6937084197998,267.4917542934418,272.38780784606934,2628.5520057678223
semi_synth_6_sudden,6,2726.0853550434117,488.92123675346375,1134.6299846172333,2786.589305877685,2203.6333849430084,208.9566164016724,1089.552142381668,119.97071766853333,2743.034712076187,262.3759796619415,246.1281669139862,275.8908975124359,245.68471240997317,2333.2736291885376
