id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
semi_synth_1_gradual,6,0.67892,0.6683199999999999,0.56932,0.6829599999999999,0.6674,0.5791200000000001,0.52252,0.49728,0.6829199999999999,0.63208,0.56484,0.62092,0.61184,0.6778399999999999
semi_synth_1_sudden,6,0.6786399999999999,0.67228,0.54332,0.6707599999999999,0.6840800000000001,0.5773599999999999,0.46519999999999995,0.47187999999999997,0.67368,0.63536,0.5816,0.62808,0.62024,0.6925999999999998
semi_synth_1_to_3_gradual,6,0.725,0.7132000000000001,0.60332,0.72588,0.7093599999999999,0.61292,0.6313200000000001,0.59224,0.7220399999999999,0.6755200000000001,0.6755200000000001,0.66212,0.6755200000000001,0.7033999999999999
semi_synth_1_to_3_sudden,6,0.72036,0.70744,0.5975199999999999,0.7206399999999998,0.7102799999999999,0.6127199999999999,0.62996,0.5950000000000001,0.7225599999999999,0.6741199999999999,0.6741199999999999,0.66728,0.6741199999999999,0.716
semi_synth_2_gradual,6,0.60108,0.61424,0.45132000000000005,0.60516,0.5979200000000001,0.50712,0.5085200000000001,0.40203999999999995,0.60692,0.56092,0.5218799999999999,0.5528000000000001,0.54104,0.66124
semi_synth_2_sudden,6,0.6186,0.60836,0.4224,0.61472,0.62164,0.5383600000000001,0.50488,0.37235999999999997,0.6200399999999999,0.57852,0.55296,0.574,0.553,0.6404000000000001
semi_synth_3_gradual,6,0.68716,0.6736800000000001,0.58972,0.6861999999999999,0.6856399999999998,0.5480800000000001,0.52628,0.5298,0.6868799999999999,0.6435200000000001,0.584,0.6346,0.60848,0.6895600000000002
semi_synth_3_sudden,6,0.68888,0.6994400000000001,0.59348,0.6972,0.7008399999999999,0.6102,0.5316400000000001,0.50332,0.69556,0.6533599999999999,0.62556,0.6702400000000001,0.62864,0.7072799999999999
semi_synth_3_to_6_gradual,6,0.72464,0.7208,0.63592,0.7278000000000001,0.71172,0.6166,0.62896,0.6184,0.7269600000000002,0.67732,0.69048,0.6752799999999999,0.69048,0.7198800000000002
semi_synth_3_to_6_sudden,6,0.7244799999999999,0.71568,0.6458800000000001,0.7227999999999999,0.7151999999999998,0.59884,0.6150800000000001,0.6184,0.7245599999999999,0.67732,0.6921199999999998,0.67916,0.6921199999999998,0.7148399999999999
semi_synth_4_gradual,6,0.6437999999999999,0.64004,0.5272399999999999,0.6482399999999999,0.6350000000000001,0.54644,0.5264,0.46448000000000006,0.64476,0.5945199999999999,0.52428,0.5930400000000001,0.56016,0.68292
semi_synth_4_sudden,6,0.63528,0.64452,0.5122399999999999,0.6317200000000001,0.64004,0.5582,0.53112,0.42335999999999996,0.6408000000000001,0.6000800000000001,0.5268,0.59408,0.57244,0.6644
semi_synth_5_gradual,6,0.81928,0.73048,0.6314799999999999,0.80036,0.7963199999999999,0.61224,0.6206400000000001,0.61136,0.8066399999999999,0.68424,0.648,0.7358,0.7121999999999999,0.7793200000000001
semi_synth_5_sudden,6,0.8084799999999999,0.7511199999999999,0.62652,0.80456,0.8066000000000001,0.6386,0.62644,0.5868800000000001,0.8020799999999998,0.7194799999999999,0.73516,0.7436799999999999,0.7115600000000001,0.79872
semi_synth_6_gradual,6,0.6708,0.65984,0.55832,0.6682000000000001,0.65488,0.54844,0.6060800000000001,0.5104000000000001,0.6685199999999999,0.61664,0.5992799999999999,0.60152,0.58124,0.67756
semi_synth_6_sudden,6,0.66232,0.66356,0.54704,0.6605200000000001,0.6617200000000001,0.58076,0.5977999999999999,0.5439599999999999,0.6612,0.6139199999999999,0.59612,0.6209600000000001,0.5909200000000001,0.6770400000000001
