id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
semi_synth_1_gradual,6,401.885768,37.911952,55.41532,397.955544,381.026864,4.967424,30.762168,6.268776,395.169752,40.685512,21.052608,39.34108,49.636904,85.485344
semi_synth_1_sudden,6,378.099808,55.558904,54.005304,377.044672,374.389208,2.194168,20.8532,6.270056,384.655472,39.810168,21.159264,37.808976,48.392856,67.8024
semi_synth_1_to_3_gradual,6,441.494696,37.168992,57.439264,450.1912,402.0008,7.985,19.2774,7.107272,449.395176,46.963504,47.706776,40.509824,46.172528,98.475224
semi_synth_1_to_3_sudden,6,448.058304,25.941664,58.561664,449.140208,398.190784,5.460432,20.281616,7.108512,450.956016,47.190032,47.933144,40.905984,46.398896,66.143376
semi_synth_2_gradual,6,405.642792,27.931744,50.465872,410.7722,395.064352,4.120296,14.310712,4.687992,411.039336,41.022184,23.730584,39.072688,48.044184,91.70536
semi_synth_2_sudden,6,389.791896,30.003208,53.100864,392.4664,383.853272,6.28572,15.916704,4.687992,394.328632,39.14408,24.912288,38.389408,46.456848,104.225072
semi_synth_3_gradual,6,387.909904,43.496144,65.105448,389.281528,375.570296,7.990304,37.591072,8.057832,383.099784,38.984256,27.01488,37.813576,46.346888,72.821264
semi_synth_3_sudden,6,352.075888,60.653472,59.501616,354.412296,366.841632,4.23628,37.258576,6.383768,367.436752,37.256176,22.100136,37.101712,45.351912,123.300696
semi_synth_3_to_6_gradual,6,418.685928,60.20564,59.502624,434.542512,400.34996,1.465976,35.493008,6.13128,428.799184,39.774848,44.580936,40.594232,43.04696,123.769888
semi_synth_3_to_6_sudden,6,422.3556,43.402016,63.308616,428.863296,406.196488,4.363672,39.825976,6.13128,430.281056,39.889552,44.834256,40.308176,43.30028,164.186216
semi_synth_4_gradual,6,374.32536,30.951144,61.955072,375.4726,364.16216,4.12628,17.275296,5.06636,385.333136,38.2894,22.732104,35.632816,47.094496,85.874128
semi_synth_4_sudden,6,371.772584,30.831048,62.524816,364.773344,359.885648,6.420544,35.442368,5.067152,363.935192,36.290136,19.600824,35.741664,44.944104,74.69996
semi_synth_5_gradual,6,306.082488,8.84256,60.052656,298.346376,288.168536,2.914984,41.100184,6.182168,306.581784,24.827472,20.127976,28.071008,36.727736,47.900512
semi_synth_5_sudden,6,286.158552,9.964216,61.944976,281.136696,289.087744,6.940664,23.451808,6.46832,287.525232,26.410992,41.194256,27.387568,35.020864,42.049776
semi_synth_6_gradual,6,370.384816,48.586344,54.783664,381.9158,366.205416,9.303952,37.894008,4.688784,384.030664,37.98684,22.979376,35.902048,45.377288,101.263496
semi_synth_6_sudden,6,369.091824,27.484016,53.10152,374.000064,357.53564,2.441856,40.357672,5.881424,359.000488,37.817136,20.825984,36.09992,46.621952,119.18284
