id,n_class,ADWINBagging,ARF,AdaBoost,Bagging-CIDDM,Bagging-GT,DDM-HT,EFHT,HT,LB,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-NC,SRP
swap_cluster_global_gradual,10,107010433.16145182,2321606.287859825,29155929.03128911,106910733.3767209,92499724.63579474,3602005.5869837296,19815254.748435546,3470015.2891113893,106718798.53817272,10828268.02503129,7599475.624530664,9490083.464330412,11815074.703379223,5283344.23028786
swap_cluster_global_gradual,15,174793220.31539425,2792848.0,29059261.166458074,179252653.27659574,157971065.70212767,3269391.519399249,30027166.438047558,3017859.434292866,178735410.3729662,17497646.86858573,15215845.807259073,16212942.578222778,18392900.515644554,4422244.245306633
swap_cluster_global_gradual,5,65723930.51314142,2103677.9574468085,24729259.01376721,62356167.06883605,59768026.453066334,1427033.0613266584,7985087.259073842,2388142.4480600753,62425412.14518148,6169011.374217772,3749866.953692115,6186755.784730914,7744878.858573217,5820657.682102628
swap_cluster_global_sudden,10,105392380.86608261,2344922.9036295367,25977040.62077597,105979088.95118898,91271202.7534418,3029619.664580726,19747335.41927409,3378535.37922403,106058319.15894869,10598369.95244055,7691066.923654568,9347479.229036296,11775425.652065082,5221609.832290363
swap_cluster_global_sudden,15,178107925.34668335,2828552.540675845,30827276.20525657,177947960.47058824,158794102.69837296,3944959.599499374,27267367.519399248,3033440.1301627033,181886600.36045057,17603842.953692116,19579056.010012515,16099767.949937422,18399351.849812265,4458026.212765957
swap_cluster_global_sudden,5,55760715.624530666,1983469.576971214,20788636.355444305,58823835.47434293,56386562.51314142,1489983.7096370463,7324137.802252816,2141367.489361702,56122698.23279099,5208866.322903629,3448193.041301627,5769800.680851064,7095849.001251564,5749390.468085106
swap_cluster_local_gradual,10,109925294.43804756,2421917.236545682,24350371.24405507,105911704.3804756,92631428.33541927,3732506.723404255,21806572.29536921,3421741.6170212766,108945751.20901126,10839535.569461828,10391902.59824781,9466065.752190238,11062095.469336672,5286173.036295369
swap_cluster_local_gradual,15,172243972.66583228,2798846.3279098873,29750901.19649562,173460479.9299124,158431357.84730914,4022125.5669586984,24648062.678347934,3006201.361702128,175332053.70713392,17868182.45807259,18981899.2640801,16121586.433041302,17802212.005006257,4466664.971214018
swap_cluster_local_gradual,5,56242401.9824781,2116905.0613266584,20600342.237797245,55094251.2640801,51679540.04505632,1753523.4443053817,6862212.335419274,2205422.107634543,55659310.778473094,5670735.83979975,3586120.6408010013,5393547.434292866,6356525.486858573,5604651.163954943
swap_cluster_local_sudden,10,105817805.19649562,2370499.88485607,24093294.818523154,106887096.65081352,92075356.84605758,3487764.565707134,21625409.121401753,3378660.9161451813,107051918.93867335,10694271.799749687,9767605.006257823,9376083.964956196,11022497.381727159,5075542.618272841
swap_cluster_local_sudden,15,172665319.1088861,2772387.5644555693,28724313.551939923,174466294.18773466,157172309.72715893,3786128.1301627033,25140157.83729662,2999434.783479349,174839193.32165205,17858321.642052565,18917386.9436796,16077957.096370462,17737920.981226534,4414378.853566959
swap_cluster_local_sudden,5,53028197.40675845,2163749.0362953693,18481824.02002503,54865286.31789737,49587033.69211514,1465211.0838548185,6516041.2315394245,1905783.9899874844,55806034.05256571,5490977.892365457,3607187.3742177724,5261783.859824781,5999912.710888611,6099311.008760951
